arm,observer,family,rho_MG,rho_rough,rho_PRdelay,rho_specPR,mae_specPR,rho_specPR256,slope,mae_raw,ident,seed_sd,degen
noise,w_fro,norm,0.6785714285714287,-0.03571428571428572,-0.10714285714285716,-0.5,323.8368729360569,-0.21428571428571433,0.012139345481331736,10.995066248141516,1.5632994273494192,0.2576663031667092,0.0
noise_nopre,acc_probe,function,0.8571428571428573,-0.6071428571428572,-0.7142857142857144,-0.7142857142857144,22.59564436652311,-0.6071428571428572,1.0311726550734919,7.920872361393798,,1.0110113521450546,0.2653061224489796
noise_nopre,c_norm,norm,-0.7857142857142859,-0.642857142857143,-0.7500000000000002,-0.6785714285714287,7.9506960155368285,-0.6785714285714287,-0.05957726214874725,7.070593813434546,,0.22132300253925327,0.0
noise_nopre,c_proj1,projection,-0.25,0.21428571428571433,0.5,0.5714285714285715,7.313874499473724,0.42857142857142866,-0.026320813838847955,7.04243966209381,1.4772743207719654,0.24089090578039474,0.0
noise_nopre,fn_fro,norm,-0.21428571428571433,-0.6785714285714287,-0.6071428571428572,-0.42857142857142866,10.037074689365399,-0.3214285714285715,-0.007618159468462077,7.143118183250126,,0.24428264847748227,0.0
noise_nopre,fn_proj1,function,0.7857142857142859,0.5714285714285715,0.5714285714285715,0.28571428571428575,6.898660548792484,0.5714285714285715,0.11867904050534661,7.0674030620999035,,0.20811491448285438,0.0
noise_nopre,g_fro,gradient,-0.07142857142857144,-0.3571428571428572,0.07142857142857144,0.14285714285714288,27.781356274540762,0.07142857142857144,-0.00848450584358483,7.916248938289006,1.4277283054140193,0.1263404510234055,0.0
noise_nopre,g_proj,gradient,-0.03571428571428572,-0.14285714285714288,-0.07142857142857144,-0.25,13.046775450795035,0.1785714285714286,-0.0028265585360340824,7.313086041231329,,0.16880768762227744,0.0
noise_nopre,loss_full,loss,0.6071428571428572,-0.7142857142857144,-0.03571428571428572,-0.14285714285714288,22.322625078106114,0.03571428571428572,0.08321508406226022,7.404172494563276,,0.1356036872918193,0.0
noise_nopre,loss_probe,loss,0.4642857142857144,-0.5357142857142858,-0.5357142857142858,-0.6785714285714287,10.966929265105133,-0.6071428571428572,0.03806980828953659,7.14756271699825,,0.22374649787597084,0.0
noise_nopre,loss_step,loss*,0.6071428571428572,-0.7142857142857144,-0.25,-0.14285714285714288,22.319319698683355,0.03571428571428572,0.08320264090913411,7.403752218972864,,0.1359183202145934,0.0
noise_nopre,margin,function,-0.25,-0.21428571428571433,-0.3571428571428572,-0.5,11.076408490382168,-0.28571428571428575,-0.055124278480350994,7.158971602857585,,0.2499551906081796,0.0
noise_nopre,w_fro,norm,-0.7857142857142859,-0.642857142857143,-0.7500000000000002,-0.6785714285714287,7.951020547881266,-0.6785714285714287,-0.05934857129299958,7.07118987262861,1.528601487823273,0.22128878054486084,0.0
qp,acc_probe,function,,,,,,,,,,,1.0
qp,c_norm,norm,1.0,0.7142857142857144,1.0,0.9285714285714288,0.8889248186902756,1.0,0.9095574702011392,0.5410843784585564,,0.6658307407702085,0.0
qp,c_proj1,projection,1.0,-0.25,0.9642857142857145,0.9285714285714288,1.0800990745816639,0.9642857142857145,0.9899849076806083,0.47306152985689565,1.0462954961855697,0.6660746297407646,0.0
qp,fn_fro,norm,1.0,-0.21428571428571433,1.0,0.9285714285714288,1.5006547943422561,1.0,0.9549285636061584,0.5160820699735617,,0.7061036411106595,0.0
qp,fn_proj1,function,1.0,0.14285714285714288,1.0,0.7857142857142859,1.474719576527663,1.0,0.720178256442241,0.5755378934406773,,0.49310074715378793,0.0
qp,g_fro,gradient,1.0,-0.8928571428571429,0.8928571428571429,0.9642857142857145,4.147740660870112,0.9642857142857145,1.6809707810317633,1.8641599704715295,1.0431630920977204,0.8131913186136671,0.0
qp,g_proj,gradient,1.0,0.642857142857143,1.0,0.7857142857142859,1.4060156979816543,1.0,0.9297847484558817,0.5073571469024226,,0.6055169818860987,0.0
qp,loss_full,loss,1.0,-0.7857142857142859,0.7500000000000002,0.8928571428571429,3.2571456195931137,0.7857142857142859,1.6659424975002797,1.939921032905911,,0.6160867859180769,0.0
qp,loss_probe,loss,1.0,0.0,0.9642857142857145,0.7857142857142859,1.325534576734963,1.0,0.9083823365448009,0.24817707347413193,,0.3822256477275311,0.0
qp,loss_step,loss*,1.0,-0.1785714285714286,1.0,0.7500000000000002,1.5129373402979502,1.0,0.8469069188206702,0.4515916642197496,,0.43252353615287564,0.0
qp,margin,function,1.0,-0.1785714285714286,0.9642857142857145,0.7857142857142859,1.688648741780986,1.0,0.9488015721993585,0.32699598187763634,,0.6866834266322649,0.0
qp,w_fro,norm,1.0,0.7142857142857144,1.0,0.9285714285714288,0.8891236422198815,1.0,0.9095540298282998,0.5410855552614438,1.114587218976819,0.6657700375198742,0.0
qp_nopre,c_norm,norm,1.0,-0.4642857142857144,0.9642857142857145,0.8928571428571429,2.0969702429170036,1.0,1.065432713317283,0.36038056610544883,,0.5930653736710384,0.0
qp_nopre,c_proj1,projection,1.0,0.14285714285714288,0.9642857142857145,1.0,0.9169936028602351,1.0,1.029273078573762,0.2612587362824451,0.9461408966020738,0.5898318215029174,0.0
qp_nopre,fn_fro,norm,1.0,-0.25,0.9642857142857145,0.9642857142857145,1.836626732527467,1.0,1.1120407166745727,0.45529351907533605,,0.4145746672920093,0.0
qp_nopre,fn_proj1,function,1.0,0.3214285714285715,1.0,0.7500000000000002,1.050024457467133,1.0,1.117271372051403,0.8497033494597057,,0.38324024503109877,0.0
qp_nopre,g_fro,gradient,1.0,-0.3571428571428572,0.8928571428571429,0.42857142857142866,3.6928569510396025,0.7857142857142859,1.4544043156607787,1.029361607188314,0.9911635270417272,0.5420798753495031,0.0
qp_nopre,g_proj,gradient,1.0,-0.14285714285714288,1.0,0.8928571428571429,0.5435059786103869,1.0,1.061922324498168,0.22362961609317936,,0.6778368754689236,0.0
qp_nopre,loss_full,loss,1.0,-0.42857142857142866,0.8571428571428573,0.4642857142857144,2.4323746364929377,0.7857142857142859,1.2982184054565156,0.7433962926161357,,0.3531796767050217,0.0
qp_nopre,loss_probe,loss,0.9642857142857145,-0.6071428571428572,1.0,0.5,1.126852574527305,0.9642857142857145,0.8816461233106647,0.5529078842932046,,0.40292979942324353,0.0
qp_nopre,loss_step,loss*,1.0,-0.10714285714285716,0.8928571428571429,0.5714285714285715,2.358398398616768,0.9642857142857145,0.9208779555567248,0.4255835188733165,,0.6828345612865425,0.0
qp_nopre,margin,function,0.9642857142857145,-0.4642857142857144,0.9642857142857145,0.9642857142857145,2.0358722688961093,1.0,1.1715875920677052,0.6254915402849747,,0.3259091221398852,0.0
qp_nopre,w_fro,norm,1.0,-0.4642857142857144,0.9642857142857145,0.8928571428571429,2.0969709790829723,1.0,1.0654329807000222,0.3603809772356185,0.9834880542604236,0.5930652710364405,0.0
qp_slow,acc_probe,function,,,,,,,,,,,1.0
qp_slow,c_norm,norm,0.9642857142857145,0.7500000000000002,0.7500000000000002,0.7857142857142859,1.4691973815926893,0.8928571428571429,0.2491177484155573,1.5185132524027551,,0.1149578407122412,0.0
qp_slow,c_proj1,projection,0.9642857142857145,-0.25,-0.21428571428571433,0.9642857142857145,1.2409182393201716,0.8928571428571429,0.27202294703644186,1.518363249638147,1.219671214229432,0.2284711438332582,0.0
qp_slow,fn_fro,norm,1.0,-0.1785714285714286,-0.10714285714285716,0.8928571428571429,1.348482754419042,0.8214285714285715,0.25501743786109576,1.5503206609535793,,0.17674569414277322,0.0
qp_slow,fn_proj1,function,0.9642857142857145,0.14285714285714288,0.14285714285714288,0.8928571428571429,1.7475454936479071,0.8214285714285715,0.23749297962669075,1.5865772060228502,,0.2269755678241776,0.0
qp_slow,g_fro,gradient,0.9642857142857145,-0.9642857142857145,-0.21428571428571433,1.0,7.542803625268811,1.0,0.3945079037577332,1.1734289568071408,1.282071438494985,0.11971692068378807,0.0
qp_slow,g_proj,gradient,0.8928571428571429,0.642857142857143,0.642857142857143,1.0,0.9140789401360168,0.8571428571428573,0.26137910322396174,1.4827585088424091,,0.19695242603777993,0.0
qp_slow,loss_full,loss,0.8928571428571429,-0.7500000000000002,-0.21428571428571433,1.0,5.495815787381976,0.6785714285714287,0.3903251332223793,1.1761488847276342,,0.08408898604146722,0.0
qp_slow,loss_probe,loss,0.7857142857142859,-0.21428571428571433,-0.07142857142857144,0.7142857142857144,1.6805702983270858,0.6071428571428572,0.24729137330609144,1.4944307956982057,,0.18175385796834323,0.0
qp_slow,loss_step,loss*,0.8928571428571429,-0.3214285714285715,-0.5357142857142858,1.0,1.2952174358029964,0.8928571428571429,0.24603912256040586,1.5231050390426337,,0.18724064327003373,0.0
qp_slow,margin,function,0.7500000000000002,-0.1785714285714286,-0.1785714285714286,1.0,1.4131296616930964,0.8928571428571429,0.2589223121399162,1.4764401824377216,,0.1671585926628528,0.0
qp_slow,w_fro,norm,0.9642857142857145,0.7500000000000002,0.7500000000000002,0.7857142857142859,1.4691527662820936,0.8928571428571429,0.24910345148453628,1.5185186935142556,1.3148990586428027,0.11496157527338001,0.0
