control,mode,seed,observer,mg_all,mg_first,mg_second,rough_all,acorr_all,prd_all,spec_all,traj_PR,n_windows
obs_scale,qp,0,loss_probe,4.96356111565815,4.9631106787299935,4.964488756131222,0.48872389276146533,3.0,3.242117728664797,2.0448936310734136,3.996776836285415,8
obs_scale,qp,0,w_fro,4.078076254815638,4.077369911786288,4.078460497181954,0.649197359425063,2.0,3.028318874336194,6.149068568944115,3.996776836285415,8
obs_scale,qp,0,c_norm,4.07786383625705,4.077158462804732,4.078249577852249,0.6491998248581689,2.0,3.0281981589295035,6.14880747347684,3.996776836285415,8
obs_scale,qp,0,fn_fro,4.695771432118532,4.69761282278945,4.694059278515837,0.648602505300288,2.0,2.7466694101626707,5.595588298902575,3.996776836285415,8
obs_scale,qp,0,g_fro,6.698980222100908,6.712113654992998,6.689736979766225,0.905952831195387,2.0,12.380174239116604,17.44429702467257,3.996776836285415,8
obs_scale,qp,0,g_proj,5.5398668424537085,5.5410159287501095,5.539493026397894,0.6374751148737897,2.0,4.662515004955305,6.741761194341395,3.996776836285415,8
obs_scale,qp,0,c_proj1,5.556855315907357,5.562721504625223,5.553813073966143,0.5370924835942291,3.0,5.083964845714628,3.674138736989869,3.996776836285415,8
obs_scale,qp,0,fn_proj1,5.871487157774363,5.872249159649485,5.869795453881828,0.5494619160132164,3.0,3.3076105996467273,2.0977108951113514,3.996776836285415,8
obs_scale,qp,0,margin,5.375635256367875,5.376323290526869,5.3736958984972425,0.6841774912526897,2.0,3.2389674778655664,6.639706950529075,3.996776836285415,8
obs_scale,qp,0,acc_probe,3.8911904347354875,3.8911904347354875,3.8859713465380645,0.8921409962169724,2.0,9.415256794885984,14.0364475232129,3.996776836285415,8
obs_scale,qp,1,loss_step,5.167766333749805,5.166032306681016,5.169839556828411,0.5109204864351866,3.0,4.491767624582904,6.697851017205313,3.9994423342619334,8
obs_scale,qp,1,loss_full,5.55317566681629,5.5609089265498195,5.5502660180234,1.0411373952633762,2.0,7.499010167860886,8.281366726259636,3.9994423342619334,8
obs_scale,qp,1,loss_probe,5.390145342779467,5.391470049687879,5.38949235402958,0.5339484932467846,3.0,4.309580993348179,6.650036499330804,3.9994423342619334,8
obs_scale,qp,1,w_fro,5.792193047176964,5.790950164273063,5.792218880433532,0.6577628363787108,2.0,4.20229688452174,6.113479979566585,3.9994423342619334,8
obs_scale,qp,1,c_norm,5.792683325165276,5.79145667196541,5.792683325165276,0.6577770797386724,2.0,4.2015069939280005,6.112270325932741,3.9994423342619334,8
obs_scale,qp,1,fn_fro,6.671130880440623,6.671789635864974,6.669806318377083,0.6864106004456677,2.0,3.6672917815363837,6.313210682656969,3.9994423342619334,8
obs_scale,qp,1,g_fro,6.435915520276657,6.437494024741506,6.433798036047665,1.0634635175725957,2.0,7.6421794107431795,8.09364396627885,3.9994423342619334,8
obs_scale,qp,1,g_proj,5.6384981901836095,5.639585259400846,5.636932588171778,0.7054778642476962,2.0,1.8237234515087493,3.8668982632191207,3.9994423342619334,8
obs_scale,qp,1,c_proj1,5.936630332234557,5.935012056040954,5.937013482521516,0.7240203492316203,2.0,1.9746583999898906,4.190031112642204,3.9994423342619334,8
obs_scale,qp,1,fn_proj1,4.718833801751819,4.719013567433075,4.718729953671655,0.67321957169277,2.0,2.5247391015756118,3.7929349736934106,3.9994423342619334,8
obs_scale,qp,1,margin,4.5602356347935755,4.561364990251879,4.559471365729868,0.6090918677336754,2.0,4.465115811952842,8.33505807450998,3.9994423342619334,8
obs_scale,qp,2,loss_step,6.840379598898801,6.844694733874343,6.838923851655368,0.6463014641915543,2.0,2.9595446884176484,4.3649710379365985,3.9991431934054082,8
obs_scale,qp,2,loss_full,6.488179575069669,6.495359432789877,6.487273057183698,0.9646878000568424,2.0,11.655868181996457,11.86909723615268,3.9991431934054082,8
obs_scale,qp,2,loss_probe,6.545430464290602,6.546938310070999,6.543462812869388,0.5642823097253165,3.0,3.5814150364750192,2.451078437068926,3.9991431934054082,8
obs_scale,qp,2,w_fro,5.7888439094502475,5.792881443001797,5.784490086635761,0.5788879664068072,3.0,4.926969434152825,4.514243621079041,3.9991431934054082,8
obs_scale,qp,2,c_norm,5.788642770433396,5.792749749668603,5.784361442690143,0.5788860326970121,3.0,4.926854307796857,4.51414147340188,3.9991431934054082,8
obs_scale,qp,2,fn_fro,5.8607427315450895,5.860143003652694,5.861369796014845,0.6618582977583815,2.0,2.486046330638538,3.6540087866331965,3.9991431934054082,8
obs_scale,qp,2,g_fro,6.037282471484484,6.036524303624347,6.0431981827313415,1.007275398751514,2.0,11.6461531183847,10.514617677977284,3.9991431934054082,8
obs_scale,qp,2,g_proj,5.847867823564204,5.843544130228398,5.850772853448189,0.5018901478282034,3.0,5.415471223827051,5.010214575026858,3.9991431934054082,8
obs_scale,qp,2,c_proj1,5.0569118416615435,5.055388327048638,5.057797291052538,0.6971589396628779,2.0,3.3230757803001874,6.476700738515536,3.9991431934054082,8
obs_scale,qp,2,fn_proj1,5.847116136887928,5.849613291952943,5.844249459721687,0.56361348491312,3.0,3.736220839315118,2.474498691424656,3.9991431934054082,8
obs_scale,qp,2,margin,6.885619173407586,6.87696002220534,6.89308271434782,0.6656604862274825,2.0,3.5091402501196853,5.317819551902397,3.9991431934054082,8
obs_scale,qp,2,acc_probe,1.5363058896523776,1.547426956174494,1.527561686250884,1.15989520196626,1.0,10.180426180700307,22.29828044429199,3.9991431934054082,8
obs_scale,qp,3,loss_step,5.5387333098905405,5.5401886754248935,5.5387333098905405,0.6971023572625605,2.0,3.0265771952090277,6.102401678445904,3.9998114032661167,8
obs_scale,qp,3,loss_full,6.2138788149198945,6.206640073995369,6.228012924774561,1.0449012287857515,2.0,5.466948962498649,7.719946447204734,3.9998114032661167,8
obs_scale,qp,3,loss_probe,4.6472273002925295,4.647786062066015,4.646953295599185,0.6649464789883262,2.0,2.2533073740647005,3.331200660006028,3.9998114032661167,8
obs_scale,qp,3,w_fro,5.630601890354525,5.6288912710628,5.632740644327782,0.5516093442797596,3.0,3.5368961517733615,2.223303632714663,3.9998114032661167,8
obs_scale,qp,3,c_norm,5.630469192318547,5.628768050789082,5.632649134728039,0.5516085366110705,3.0,3.5366871914686895,2.2231583830011603,3.9998114032661167,8
obs_scale,qp,3,fn_fro,6.357879639723162,6.360184907866373,6.356440875425668,0.6327128758841528,2.0,5.733957978090352,7.395034597711737,3.9998114032661167,8
obs_scale,qp,3,g_fro,5.171083862716283,5.1642835872187245,5.171083862716283,1.05905362749441,2.0,6.494951999703807,8.36256906944511,3.9998114032661167,8
obs_scale,qp,3,g_proj,6.2019274526766335,6.200615727059105,6.202766452140397,0.5640100800979462,3.0,5.462952457136202,6.296360859171958,3.9998114032661167,8
