family,rank,seed,observer,period,factor,tau,MG,ident,deg,cross
mf,1,2,loss,5.91715976331361,4,1,1.190332318093255,0.8879592420829843,False,169.0
mf,1,2,loss,5.91715976331361,8,1,1.190332318093255,0.8879592420829843,False,169.0
mf,1,2,state_norm,11.811023622047244,2,1,1.2962329326268787,0.9500341613853625,False,84.0
mf,1,2,state_norm,11.811023622047244,4,1,1.2962329326268787,0.9500341613853625,False,84.0
mf,1,2,state_norm,11.811023622047244,8,1,1.2962329326268787,0.9500341613853625,False,84.0
mf,1,2,velocity_norm,5.91715976331361,2,1,1.3393586953032472,0.9868447227633057,False,169.0
mf,1,2,velocity_norm,5.91715976331361,4,1,1.3393586953032472,0.9868447227633057,False,169.0
mf,1,2,velocity_norm,5.91715976331361,8,1,1.3393586953032472,0.9868447227633057,False,169.0
mf,1,2,random_projection,11.811023622047244,2,1,2.4756038275239938,1.1806320036377265,False,84.0
mf,1,2,random_projection,11.811023622047244,4,1,2.4756038275239938,1.1806320036377265,False,84.0
mf,1,2,random_projection,11.811023622047244,8,1,2.4756038275239938,1.1806320036377265,False,84.0
mf,2,0,loss,5.928853754940712,2,1,1.1842110705504667,0.976990836758059,False,168.0
mf,2,0,loss,5.928853754940712,4,1,1.1842110705504667,0.976990836758059,False,168.0
mf,2,0,loss,5.928853754940712,8,1,1.1842110705504667,0.976990836758059,False,168.0
mf,2,0,state_norm,11.857707509881424,2,1,1.7245999388278102,1.1393362974423675,False,84.0
mf,2,0,state_norm,11.857707509881424,4,1,1.7245999388278102,1.1393362974423675,False,84.0
mf,2,0,state_norm,11.857707509881424,8,1,1.7245999388278102,1.1393362974423675,False,84.0
mf,2,0,velocity_norm,5.928853754940712,2,1,1.2005151474379265,1.0094924680029551,False,168.0
mf,2,0,velocity_norm,5.928853754940712,4,1,1.2005151474379265,1.0094924680029551,False,168.0
mf,2,0,velocity_norm,5.928853754940712,8,1,1.2005151474379265,1.0094924680029551,False,168.0
mf,2,0,random_projection,11.857707509881424,2,1,2.346736560640613,1.177645890574829,False,82.0
mf,2,0,random_projection,11.857707509881424,4,1,2.346736560640613,1.177645890574829,False,82.0
mf,2,0,random_projection,11.857707509881424,8,1,2.346736560640613,1.177645890574829,False,82.0
mf,2,1,loss,5.928853754940712,2,1,2.5430323497634357,1.0236562456410345,False,168.0
mf,2,1,loss,5.928853754940712,4,1,2.5430323497634357,1.0236562456410345,False,168.0
mf,2,1,loss,5.928853754940712,8,1,2.5430323497634357,1.0236562456410345,False,168.0
mf,2,1,state_norm,11.857707509881424,2,1,3.1474749966880817,1.1650995064652525,False,84.0
mf,2,1,state_norm,11.857707509881424,4,1,3.1474749966880817,1.1650995064652525,False,84.0
mf,2,1,state_norm,11.857707509881424,8,1,3.1474749966880817,1.1650995064652525,False,84.0
mf,2,1,velocity_norm,5.928853754940712,2,1,2.600353452475909,0.9261078862742607,False,168.0
mf,2,1,velocity_norm,5.928853754940712,4,1,2.600353452475909,0.9261078862742607,False,168.0
mf,2,1,velocity_norm,5.928853754940712,8,1,2.600353452475909,0.9261078862742607,False,168.0
mf,2,1,random_projection,11.857707509881424,2,1,2.7993796757214393,1.0203238063154507,False,60.0
mf,2,1,random_projection,11.857707509881424,4,1,2.7993796757214393,1.0203238063154507,False,60.0
mf,2,1,random_projection,11.857707509881424,8,1,2.7993796757214393,1.0203238063154507,False,60.0
mf,2,2,loss,10.204081632653063,2,1,3.3551979990568235,1.0861318501666168,False,98.0
mf,2,2,loss,10.204081632653063,4,1,3.3551979990568235,1.0861318501666168,False,98.0
mf,2,2,loss,10.204081632653063,8,1,3.3551979990568235,1.0861318501666168,False,98.0
mf,2,2,state_norm,20.408163265306126,2,2,2.6947011697155716,1.1834959940552077,False,51.0
mf,2,2,state_norm,20.408163265306126,4,1,2.3310205696014163,1.1614937798321352,False,51.0
mf,2,2,state_norm,20.408163265306126,8,1,2.3310205696014163,1.1614937798321352,False,51.0
mf,2,2,velocity_norm,10.204081632653063,2,1,2.8706937415337586,1.1181568477327153,False,97.0
mf,2,2,velocity_norm,10.204081632653063,4,1,2.8706937415337586,1.1181568477327153,False,97.0
mf,2,2,velocity_norm,10.204081632653063,8,1,2.8706937415337586,1.1181568477327153,False,97.0
mf,2,2,random_projection,20.408163265306126,2,2,3.4099385657895396,1.2174081035031306,False,49.0
mf,2,2,random_projection,20.408163265306126,4,1,2.8303359840782587,1.2162829952113206,False,49.0
mf,2,2,random_projection,20.408163265306126,8,1,2.8303359840782587,1.2162829952113206,False,49.0
mf,4,0,loss,7.957559681697614,2,1,3.259429599172965,1.1236336734284034,False,126.0
mf,4,0,loss,7.957559681697614,4,1,3.259429599172965,1.1236336734284034,False,126.0
mf,4,0,loss,7.957559681697614,8,1,3.259429599172965,1.1236336734284034,False,126.0
mf,4,0,state_norm,7.957559681697614,2,1,3.2678373492604647,1.4250824485962836,False,89.0
mf,4,0,state_norm,7.957559681697614,4,1,3.2678373492604647,1.4250824485962836,False,89.0
mf,4,0,state_norm,7.957559681697614,8,1,3.2678373492604647,1.4250824485962836,False,89.0
mf,4,0,velocity_norm,7.957559681697614,2,1,3.1886206836036717,1.1195433245362814,False,125.0
mf,4,0,velocity_norm,7.957559681697614,4,1,3.1886206836036717,1.1195433245362814,False,125.0
mf,4,0,velocity_norm,7.957559681697614,8,1,3.1886206836036717,1.1195433245362814,False,125.0
mf,4,0,random_projection,15.957446808510639,2,2,4.2792155364039575,1.3102182362868524,False,63.0
mf,4,0,random_projection,15.957446808510639,4,1,3.1619982692929787,1.3846886910531844,False,63.0
mf,4,0,random_projection,15.957446808510639,8,1,3.1619982692929787,1.3846886910531844,False,63.0
mf,4,1,loss,5.9405940594059405,2,1,3.418432635919545,0.863531071481289,False,167.0
mf,4,1,loss,5.9405940594059405,4,1,3.418432635919545,0.863531071481289,False,167.0
mf,4,1,loss,5.9405940594059405,8,1,3.418432635919545,0.863531071481289,False,167.0
mf,4,1,state_norm,5.9405940594059405,2,1,2.5546226552777584,0.8880365718622864,False,112.0
mf,4,1,state_norm,5.9405940594059405,4,1,2.5546226552777584,0.8880365718622864,False,112.0
mf,4,1,state_norm,5.9405940594059405,8,1,2.5546226552777584,0.8880365718622864,False,112.0
mf,4,1,velocity_norm,5.9405940594059405,2,1,3.2898407943535646,0.9400348033563614,False,167.0
mf,4,1,velocity_norm,5.9405940594059405,4,1,3.2898407943535646,0.9400348033563614,False,167.0
mf,4,1,velocity_norm,5.9405940594059405,8,1,3.2898407943535646,0.9400348033563614,False,167.0
mf,4,1,random_projection,13.452914798206278,2,1,2.9199724222452144,1.215344853940242,False,76.0
mf,4,1,random_projection,13.452914798206278,4,1,2.9199724222452144,1.215344853940242,False,76.0
mf,4,1,random_projection,13.452914798206278,8,1,2.9199724222452144,1.215344853940242,False,76.0
mf,4,2,loss,5.952380952380953,2,1,2.8495700041265164,1.0237001762221554,False,167.0
mf,4,2,loss,5.952380952380953,4,1,2.8495700041265164,1.0237001762221554,False,167.0
mf,4,2,loss,5.952380952380953,8,1,2.8495700041265164,1.0237001762221554,False,167.0
mf,4,2,state_norm,5.952380952380953,2,1,3.083632232655546,1.157218675271691,False,166.0
mf,4,2,state_norm,5.952380952380953,4,1,3.083632232655546,1.157218675271691,False,166.0
mf,4,2,state_norm,5.952380952380953,8,1,3.083632232655546,1.157218675271691,False,166.0
mf,4,2,velocity_norm,5.952380952380953,2,1,2.9186044903704587,0.9720478736129581,False,167.0
mf,4,2,velocity_norm,5.952380952380953,4,1,2.9186044903704587,0.9720478736129581,False,167.0
mf,4,2,velocity_norm,5.952380952380953,8,1,2.9186044903704587,0.9720478736129581,False,167.0
