cfg_id,mae,rho,sd,n,score,max_E,tau,k_neighbors,theiler,window,stride,dither
7,0.9290826080707182,0.7916666666666667,0.23270998298528614,4,1.4621042662300279,10,1,20,autocorr,8000,2000,1e-09
9,0.8810920787208243,0.8333333333333334,0.8111915188486983,4,1.6200211714785067,10,2,5,embedding,8000,2000,1e-09
11,0.8810920787208243,0.8333333333333334,0.8111915188486983,4,1.6200211714785067,10,2,5,autocorr,8000,2000,1e-09
25,0.8743052281651675,0.8166666666666667,0.8276339320622962,4,1.6547888608629824,20,1,5,embedding,8000,2000,1e-09
27,0.8743052281651675,0.8166666666666667,0.8276339320622962,4,1.6547888608629824,20,1,5,autocorr,8000,2000,1e-09
17,0.7343386919419941,0.7666666666666667,1.0979652622965195,4,1.7499879897569204,10,4,5,embedding,8000,2000,1e-09
19,0.7343386919419941,0.7666666666666667,1.0979652622965195,4,1.7499879897569204,10,4,5,autocorr,8000,2000,1e-09
24,0.870854118390148,0.6916666666666667,0.7066935903361127,4,1.840867580224871,20,1,5,embedding,4000,2000,1e-09
26,0.870854118390148,0.6916666666666667,0.7066935903361127,4,1.840867580224871,20,1,5,autocorr,4000,2000,1e-09
8,0.8751522826675704,0.6916666666666667,0.7004363422117903,4,1.8420371204401322,10,2,5,embedding,4000,2000,1e-09
10,0.8751522826675704,0.6916666666666667,0.7004363422117903,4,1.8420371204401322,10,2,5,autocorr,4000,2000,1e-09
33,0.8634887750226083,0.8166666666666667,1.4038922360877555,4,1.9321015597331528,20,2,5,embedding,8000,2000,1e-09
35,0.8634887750226083,0.8166666666666667,1.4038922360877555,4,1.9321015597331528,20,2,5,autocorr,8000,2000,1e-09
16,1.03795296458537,0.725,0.8066307379343298,4,1.991268333552535,10,4,5,embedding,4000,2000,1e-09
18,1.03795296458537,0.725,0.8066307379343298,4,1.991268333552535,10,4,5,autocorr,4000,2000,1e-09
41,0.7606446097099531,0.7666666666666667,1.9720115468087402,4,2.21331704978099,20,4,5,embedding,8000,2000,1e-09
43,0.7606446097099531,0.7666666666666667,1.9720115468087402,4,2.21331704978099,20,4,5,autocorr,8000,2000,1e-09
32,1.4287867058353079,0.7416666666666667,1.2711423563615094,4,2.581024550682729,20,2,5,embedding,4000,2000,1e-09
34,1.4287867058353079,0.7416666666666667,1.2711423563615094,4,2.581024550682729,20,2,5,autocorr,4000,2000,1e-09
40,2.027894525885041,0.6833333333333333,1.291430172510313,4,3.306942945473531,20,4,5,embedding,4000,2000,1e-09
42,2.027894525885041,0.6833333333333333,1.291430172510313,4,3.306942945473531,20,4,5,autocorr,4000,2000,1e-09
