run,arm,mode,lr,seed,step,window,tau,signal,MG,MG40,ident,degenerate,points,mg_seconds,validity_seconds,cheap_seconds,std,residual_std,acorr1,spectral_entropy,crossings,mg_seconds_rep0,mg_seconds_rep1,mg_seconds_rep2,validity_seconds_rep0,validity_seconds_rep1,validity_seconds_rep2,cheap_seconds_rep0,cheap_seconds_rep1,cheap_seconds_rep2
gd_constant_lr0.01_s0,gd,constant,0.01,0,639,512,4,probe_loss,13.699849464626674,13.742867599109491,1.003140044319019,False,436,0.01219990011304617,0.023381900042295456,0.0001922000665217638,0.1595149814974738,0.03280245117774143,0.9998941366942865,0.03602173345564234,2.0,,,,,,,,,
gd_constant_lr0.01_s0,gd,constant,0.01,0,767,512,4,probe_loss,14.22832018915831,12.618863809242574,0.8868835984488099,False,436,0.012360699940472841,0.023719299817457795,0.00020039989612996578,0.10376661446716823,0.028264916024678042,0.9998905240905636,0.08350103852207374,2.0,,,,,,,,,
gd_constant_lr0.01_s0,gd,constant,0.01,0,895,512,4,probe_loss,13.716527883464199,13.071518902795269,0.9529757832194171,False,436,0.012669600080698729,0.023937500081956387,0.0002031000331044197,0.05950749363383307,0.015484689664352671,0.9527286016425907,0.16612765054450532,14.0,,,,,,,,,
gd_constant_lr0.01_s0,gd,constant,0.01,0,1023,512,4,probe_loss,11.34924751647126,11.233564084681285,0.989806951375227,False,436,0.01316150021739304,0.02473330032080412,0.00019180006347596645,0.036575069116973564,0.009193888667669736,0.7721138090333078,0.29966524347068113,80.0,,,,,,,,,
gd_constant_lr0.01_s0,gd,constant,0.01,0,511,512,4,grad_norm,10.778321491639941,8.886599413856612,0.8244882490051333,False,436,0.013406000100076199,0.024746099952608347,0.00020319991745054722,0.2530618031273834,0.18540024948588976,0.9996694595798218,0.42359386676002475,2.0,,,,,,,,,
gd_constant_lr0.01_s0,gd,constant,0.01,0,639,512,4,grad_norm,9.493967932073305,16.044673029161192,1.6899860146944203,False,436,0.012928599957376719,0.02427170006558299,0.00019480008631944656,0.064949690763076,0.01836688854123581,0.9995914663805301,0.2304831614601445,3.0,,,,,,,,,
gd_constant_lr0.01_s0,gd,constant,0.01,0,767,512,4,grad_norm,13.349842545957598,13.786486012568517,1.0327077615415874,False,436,0.012101500062271953,0.02361209993250668,0.00021980004385113716,0.06793292183001598,0.012864169606534685,0.9999062353119422,0.08198113774734982,2.0,,,,,,,,,
gd_constant_lr0.01_s0,gd,constant,0.01,0,895,512,4,grad_norm,6.0121387880338855,5.492084120540334,0.9134992245141398,False,436,0.013729400001466274,0.025180500000715256,0.00021820003166794777,0.5307812832824715,0.4817076860227965,0.9795266064398535,0.5644786744500842,6.0,,,,,,,,,
gd_constant_lr0.01_s0,gd,constant,0.01,0,1023,512,4,grad_norm,5.572343714363774,26.587530905868203,4.771337209033569,False,436,0.014328000135719776,0.025999600300565362,0.00021490012295544147,0.674771348452363,0.48526654403708747,0.9786839160197502,0.5848287243128197,13.0,,,,,,,,,
gd_constant_lr0.03_s0,gd,constant,0.03,0,511,512,1,train_loss,6.6382766818446495,7.186888448023419,1.0826437029476634,False,493,0.005225899862125516,0.012225199723616242,0.00019970000721514225,0.31220924541797873,0.15172730133302323,0.9981620347544699,0.31478952951460715,2.0,0.0056501999497413635,0.005225899862125516,0.005220899824053049,0.012600000016391277,0.012196499854326248,0.012225199723616242,0.00020670006051659584,0.00019970000721514225,0.00019529997371137142
gd_constant_lr0.03_s0,gd,constant,0.03,0,639,512,1,train_loss,6.386789625119532,7.912971583857217,1.2389591717151827,False,493,0.005385999800637364,0.01256199972704053,0.00018560001626610756,0.11678116963477753,0.035184847478071365,0.9774673164413717,0.27951848944086854,14.0,0.005385999800637364,0.005442899884656072,0.005352200008928776,0.012465999694541097,0.01256199972704053,0.01259800000116229,0.00018560001626610756,0.00018569990061223507,0.00018249987624585629
gd_constant_lr0.03_s0,gd,constant,0.03,0,767,512,1,train_loss,6.969860126311454,9.10515143588205,1.3063607118182758,False,493,0.005833500064909458,0.013878700090572238,0.00021900003775954247,0.07145226432037347,0.014799265112208604,0.9258953703435852,0.4874231339000731,42.0,0.005797900026664138,0.005942799849435687,0.005833500064909458,0.013878700090572238,0.013959899777546525,0.013587800087407231,0.00021920003928244114,0.00021900003775954247,0.00018239999189972878
gd_constant_lr0.03_s0,gd,constant,0.03,0,895,512,1,train_loss,7.1246042933222995,10.026567452046255,1.4073156963178837,False,493,0.006303099915385246,0.014516000170260668,0.00018720002844929695,0.055855195058025865,0.011532802869657634,0.828732989348643,0.7177767125945381,74.0,0.00631579989567399,0.00628349999897182,0.006303099915385246,0.014516000170260668,0.014491200214251876,0.014520799973979592,0.00019940012134611607,0.00018660002388060093,0.00018720002844929695
gd_constant_lr0.03_s0,gd,constant,0.03,0,1023,512,1,train_loss,7.514905516842916,10.536377790911125,1.4020639071637402,False,493,0.006378500023856759,0.015088499756529927,0.00019399984739720821,0.04977650773369479,0.011207757944329875,0.7777860151259987,0.7418659947522764,95.0,0.006378500023856759,0.006363100139424205,0.006432999856770039,0.015003599924966693,0.01519519998691976,0.015088499756529927,0.00018660002388060093,0.00019399984739720821,0.0002047999296337366
gd_constant_lr0.03_s0,gd,constant,0.03,0,511,512,1,probe_loss,6.828364809914433,7.779247951740591,1.139254882874085,False,493,0.0054107999894768,0.01248780032619834,0.00018640002235770226,0.2690409859812304,0.14595827490411592,0.9966591506003785,0.29179991176917974,8.0,0.005366500001400709,0.0054107999894768,0.005491800140589476,0.012568000005558133,0.012423900188878179,0.01248780032619834,0.00019660010002553463,0.00017220014706254005,0.00018640002235770226
gd_constant_lr0.03_s0,gd,constant,0.03,0,639,512,1,probe_loss,6.926660596968159,8.354602278508848,1.2061515302432615,False,493,0.006331700133159757,0.01449030009098351,0.00018449989147484303,0.07623028564647837,0.03293221595038211,0.9035522955307659,0.29458922311089863,52.0,0.006338699953630567,0.006256100023165345,0.006331700133159757,0.014508699998259544,0.01441910001449287,0.01449030009098351,0.0001852000132203102,0.00017799995839595795,0.00018449989147484303
gd_constant_lr0.03_s0,gd,constant,0.03,0,767,512,1,probe_loss,6.908908575536213,8.858804768172496,1.282229265493638,False,493,0.007423499831929803,0.01728839986026287,0.00018249987624585629,0.03371152882009351,0.01686548257544645,0.34830687713034214,0.5465011106509517,199.0,0.007435899926349521,0.007423499831929803,0.007407000055536628,0.01728839986026287,0.017286699963733554,0.01731069991365075,0.0001846000086516142,0.00018159998580813408,0.00018249987624585629
gd_constant_lr0.03_s0,gd,constant,0.03,0,895,512,1,probe_loss,7.1348321561221795,9.450510274521463,1.3245595786597826,False,493,0.008424999890848994,0.01918260008096695,0.0001875001471489668,0.01982637788719914,0.015410218726902132,-0.10625238875929346,0.690953384564084,268.0,0.008393099997192621,0.008424999890848994,0.00851329998113215,0.01918260008096695,0.019205199787393212,0.019156700000166893,0.0001875001471489668,0.00018209987320005894,0.00018820003606379032
