seed,k,cfg_id,functional_rank,functional_ratio,trajectory_rank,trajectory_pr,trajectory_ratio,update_rank,update_pr,update_ratio,mean_accuracy,min_accuracy,resonance_margin
1,4,2,4,0.9982462899495199,4,3.854143309705835,0.7658306517349807,4,3.957608533273259,0.8698141643171236,0.95,0.95,0.0004903788202217374
1,5,2,5,0.9958266215364245,5,4.707087150016909,0.7119100268068609,5,4.963472693013758,0.8920872036171056,0.95,0.95,0.0001619152441695304
1,6,2,6,0.9958677200519843,6,5.735768647534171,0.7124541912228981,6,5.885068145003563,0.841295412807194,0.95,0.95,2.2570798234644585e-05
2,1,2,1,1.0,1,1.0,1.0,1,1.0,1.0,0.96,0.96,0.2276467529817257
2,2,2,2,0.9989020677017516,2,1.9488054957327043,0.8491484057926906,2,1.9992362875959724,0.9806424483257615,0.96,0.96,0.00212413854328819
1,7,2,7,0.9961761741255375,7,6.527676486193587,0.6940376753429299,7,6.90830415666467,0.8512095481692351,0.95,0.95,9.56924100065093e-06
1,8,2,8,0.9928458020405965,8,7.554635949363429,0.7026992915214789,8,7.861253792730534,0.8297594890959935,0.95289,0.95,1.3001557233993655e-05
2,3,2,3,0.9993302920927764,3,2.7270875803234857,0.6589392081881235,3,2.940372110499366,0.8416553184695069,0.96,0.96,0.00212413854328819
2,4,2,4,0.9989346380221733,4,3.6509469920616944,0.6854332176693047,4,3.936184112230268,0.8452494649892444,0.96,0.96,0.0004903788202217374
2,5,2,5,0.9988502251185755,5,4.780982881616014,0.7261027496320531,5,4.871399771096111,0.8116826716915454,0.96,0.96,0.0001619152441695304
2,6,2,6,0.9960541570040254,6,5.656819893942593,0.7272464967968254,6,5.947506950696767,0.8704800833589472,0.96,0.96,2.2570798234644585e-05
1,1,3,1,1.0,1,1.0,1.0,1,1.0,1.0,0.95,0.95,0.14632467631852863
2,7,2,7,0.997168288119885,7,6.751108625547914,0.7734597138151743,7,6.972753672955107,0.9012172733417497,0.96,0.96,9.56924100065093e-06
2,8,2,8,0.9956285915707355,8,7.609652539259833,0.7056178925667592,8,7.929448596756306,0.8768558763844538,0.96,0.96,1.3001557233993655e-05
1,2,3,2,0.9995949780425825,2,1.9396590859104297,0.8367403955190281,2,1.9932417463704337,0.9433719271525817,0.95,0.95,0.025307436087193658
1,3,3,3,0.9991822394120736,3,2.874727123604463,0.7897063360052177,3,2.9850101391444337,0.917493863372997,0.95,0.95,0.00016293722914784148
1,4,3,4,0.9986011604802433,4,3.8854433411164573,0.7919189902670468,4,3.957976963449783,0.8705054834401031,0.95,0.95,0.00016293722914784148
1,5,3,5,0.996555764409355,5,4.755254461635387,0.736190813455729,5,4.962926246838428,0.8926245676615572,0.95,0.95,0.00016293722914784148
1,6,3,6,0.9961922973283209,6,5.777789842557085,0.7295178979435294,6,5.88536930923173,0.8419189829667025,0.95,0.95,2.8213497793139197e-05
2,1,3,1,1.0,1,1.0,1.0,1,1.0,1.0,0.96,0.96,0.14632467631852863
1,7,3,7,0.9970438950159115,7,6.6059083885124705,0.7155587199344584,7,6.908022288151356,0.8514366201290446,0.95,0.95,1.196155125082754e-05
2,2,3,2,0.9990389638123711,2,1.9618671936086067,0.8690708789215792,2,1.9991794393917857,0.9799415948832806,0.96,0.96,0.025307436087193658
1,8,3,8,0.9945159581536007,8,7.62464777006344,0.7257419563224272,8,7.861429643218212,0.8298617614003789,0.9521219999999999,0.95,1.9805118642413078e-05
2,3,3,3,0.9990430760186256,3,2.7618935321969906,0.6813900604486918,3,2.9394979960316356,0.8404498777311146,0.96,0.96,0.00016293722914784148
2,4,3,4,0.9990527887939844,4,3.7023001152106816,0.7040338443205587,4,3.9353612438699526,0.8443143926746535,0.96,0.96,0.00016293722914784148
2,5,3,5,0.9986230660150949,5,4.8106381453839,0.7507984036262653,5,4.871513824209266,0.8123008416542037,0.96,0.96,0.00016293722914784148
2,6,3,6,0.9966001765315606,6,5.714660747990489,0.7446662102239254,6,5.946785997728464,0.8700590811826556,0.96,0.96,2.8213497793139197e-05
2,7,3,7,0.9967831034132023,7,6.811099412830185,0.7997601279588674,7,6.973163196841368,0.9025639320742881,0.96,0.96,1.196155125082754e-05
2,8,3,8,0.9953505521247435,8,7.680396045586162,0.7340834614587742,8,7.929406234537755,0.8764437713058575,0.96,0.96,1.9805118642413078e-05
