run,lr,seed,window_start,nn_over_travel,nn_over_scale,points,rises,eta_lam_over_2,at_eos,diverged
eos_lr1e+06_s2,1000000.0,2.0,17196,1.0077812853470745,0.06232905106515518,2611,0.49993749218652334,0.9560690159560181,True,False
eos_lr1e+06_s2,1000000.0,2.0,21196,1.007862945805041,0.06330313531359891,2611,0.49993749218652334,0.9560690159560181,True,False
eos_lr2.5e+06_s1,2500000.0,1.0,502,0.06365564869730463,6.328545507513674e-05,2611,0.46580822602825356,0.989163382314473,True,False
eos_lr2.5e+06_s1,2500000.0,1.0,4502,0.02981714145141798,0.005154142821734239,2611,0.5000625078134767,0.989163382314473,True,False
eos_lr2.5e+06_s1,2500000.0,1.0,8502,0.021075713877071453,0.004823940315011015,2611,0.5000625078134767,0.989163382314473,True,False
eos_lr2.5e+06_s1,2500000.0,1.0,12502,0.02751279850138696,0.0056566781797038725,2611,0.5000625078134767,0.989163382314473,True,False
eos_lr2.5e+06_s1,2500000.0,1.0,16502,0.025088656793745317,0.005332784536415416,2611,0.5000625078134767,0.989163382314473,True,False
eos_lr2.5e+06_s1,2500000.0,1.0,20502,0.023261621806480344,0.004666639356764064,2611,0.5000625078134767,0.989163382314473,True,False
eos_lr2e+06_s1,2000000.0,1.0,613,0.6572945877098002,0.00020696982417005682,2611,0.4773096637079635,0.9763589332578704,True,False
eos_lr2e+06_s1,2000000.0,1.0,4613,1.0130770302182213,0.04775196856205366,2611,0.5000625078134767,0.9763589332578704,True,False
eos_lr2e+06_s1,2000000.0,1.0,8613,1.0131244177189278,0.05872607809581216,2611,0.5000625078134767,0.9763589332578704,True,False
eos_lr2e+06_s1,2000000.0,1.0,12613,1.013165519396942,0.06140821460456465,2611,0.5000625078134767,0.9763589332578704,True,False
eos_lr2e+06_s1,2000000.0,1.0,16613,1.013193190488278,0.06285025482841672,2611,0.5000625078134767,0.9763589332578704,True,False
eos_lr2e+06_s1,2000000.0,1.0,20613,1.013213393092446,0.0636299030055076,2611,0.5000625078134767,0.9763589332578704,True,False
eos_lr2e+06_s2,2000000.0,2.0,612,0.26843934638576267,0.00012905692543752062,2611,0.47643455431928994,0.9761597539181821,True,False
eos_lr2e+06_s2,2000000.0,2.0,4612,1.0130555565199504,0.0315372988087207,2611,0.49993749218652334,0.9761597539181821,True,False
eos_lr2e+06_s2,2000000.0,2.0,8612,1.0131244229482599,0.0585289778052114,2611,0.49993749218652334,0.9761597539181821,True,False
eos_lr2e+06_s2,2000000.0,2.0,12612,1.013160659036816,0.06119361172136,2611,0.49993749218652334,0.9761597539181821,True,False
eos_lr2e+06_s2,2000000.0,2.0,16612,1.0131871603368392,0.06258605706853271,2611,0.49993749218652334,0.9761597539181821,True,False
eos_lr2e+06_s2,2000000.0,2.0,20612,1.0132082898224992,0.0635274635326027,2611,0.49993749218652334,0.9761597539181821,True,False
eos_lr300000_s1,300000.0,1.0,3985,1.006384270615695,0.005817335124246706,2611,0.0,0.7486986305593746,False,False
eos_lr300000_s1,300000.0,1.0,7985,1.0065030190327995,0.047507809293973025,2611,0.0,0.7486986305593746,False,False
eos_lr300000_s1,300000.0,1.0,11985,1.0065523760625186,0.056683841655208116,2611,0.0,0.7486986305593746,False,False
eos_lr300000_s1,300000.0,1.0,15985,1.00657842165962,0.060235220389969354,2611,0.0,0.7486986305593746,False,False
eos_lr300000_s1,300000.0,1.0,19985,1.0065947193695048,0.062005669951656295,2611,0.0,0.7486986305593746,False,False
eos_lr300000_s2,300000.0,2.0,3977,1.0063730632637866,0.004953714923462184,2611,0.0,0.7068462764436845,False,False
eos_lr300000_s2,300000.0,2.0,7977,1.0065009878996645,0.046747741223563205,2611,0.0,0.7068462764436845,False,False
eos_lr300000_s2,300000.0,2.0,11977,1.0065524029340578,0.056646614481741894,2611,0.0,0.7068462764436845,False,False
eos_lr300000_s2,300000.0,2.0,15977,1.0065787494007885,0.060256324602300064,2611,0.0,0.7068462764436845,False,False
eos_lr300000_s2,300000.0,2.0,19977,1.0065953190472339,0.062039252752343996,2611,0.0,0.7068462764436845,False,False
