run,column,right_step,log_stride,MG,MG_2E,ident_ratio,LB,TwoNN,PRdelay,roughness,acorr,oscillations,degenerate
lowdata15_s1,weight_norm,49990,10,4.141428223957102,5.947415697654129,1.4360784193360763,4.781840926585466,8.04148102814687,2.3324109896105476,0.10381554943568141,20.0,167,False
lowdata15_s1,weight_norm,59990,10,4.043965154520418,6.393032380725657,1.5808821630372876,4.614471877224688,7.605652142751865,2.4304292614516676,0.10472019651915107,19.0,162,False
lowdata15_s1,weight_norm,69990,10,4.0797329426453866,6.341541292159422,1.5544010799999646,4.596671953753944,7.8973141193334655,2.2814830745243246,0.09880799287467486,24.0,157,False
lowdata15_s1,weight_norm,79990,10,4.07346437664385,6.256541133920847,1.5359263161337982,5.0695865601776955,9.709348684052253,2.171225962784666,0.09259034051844399,355.0,150,False
lowdata15_s1,weight_norm,89990,10,4.125506079484387,6.759483957048645,1.6384617612521997,4.826977106447441,7.995838590203275,2.382990161868706,0.09483423924525283,23.0,142,False
lowdata15_s1,weight_norm,99990,10,4.35341901497269,6.627897052317675,1.5224578726564992,5.261822529490851,11.10890326784412,1.8670808821887706,0.07857849797722516,343.0,134,False
lowdata15_s1,weight_norm,109990,10,4.449239793840903,6.6671388219022045,1.498489434336973,5.739474839076562,13.03348052906066,1.3581009857594952,0.05702885547280962,761.0,145,False
lowdata15_s1,weight_norm,119990,10,4.523774677088261,7.992688849657409,1.7668185133398204,5.90034308043447,16.503271491717246,1.237913303043999,0.049052555613360097,903.0,156,False
lowdata15_s1,train_loss,39990,10,3.923794757426624,6.596696073488967,1.6812031416789328,8.155135748024165,5.348584812214924,1.0389122092670648,0.05699705104181389,32.0,76,False
lowdata15_s1,train_loss,49990,10,3.61490790327505,5.418263870322949,1.4988663654236078,4.155430733661117,4.867984334266935,13.989687969307852,0.7800438623834027,3.0,237,False
lowdata15_s1,train_loss,59990,10,3.6026188460775925,5.628693580293194,1.562389423022511,4.241707782841897,4.4016327747957975,14.658791636981187,0.7859574943964148,3.0,238,False
lowdata15_s1,train_loss,69990,10,3.5305274140364564,5.448937836637116,1.5433778576462995,4.201343163472434,4.406156724374446,14.955383406724025,0.7668042689209332,3.0,235,False
