cfg_id,observer,rho,mae_raw,rho_rough,rho_prd,mae_prd,degenerate,sd_across_seeds,max_E,tau,k_neighbors,theiler,window,stride,dither,rho_spec64,mae_spec64,rho_spec256,mae_spec256,rho_spec1024,mae_spec1024,rho_spec0,mae_spec0
10,c_norm,0.7,0.7927812288120273,-0.5,0.9166666666666666,1.495991928985984,0.0,0.4329043445884222,10,2,5,autocorr,4000,2000,1e-09,0.9333333333333332,2.5233755815080188,0.9333333333333332,2.454365255163166,0.9333333333333332,2.090756418050574,0.9,1.62716490844114
10,c_proj1,0.9333333333333332,0.8799403021709788,-0.33333333333333337,0.21666666666666667,1.9903470835022778,0.0,0.6105134303275374,10,2,5,autocorr,4000,2000,1e-09,0.7,2.0318872248946307,0.7333333333333334,1.771972032725298,0.43333333333333335,1.7107486028423107,0.3666666666666667,1.7206774966915692
10,g_fro,0.8499999999999999,2.5075304205654665,-0.09999999999999999,0.8333333333333333,2.5133663603094365,0.0,0.6489714192381068,10,2,5,autocorr,4000,2000,1e-09,0.8666666666666667,3.067380783733959,0.9,4.830808252209464,0.9,6.909005465881978,0.8499999999999999,14.37833305636728
10,w_fro,0.7,0.7922639125311527,-0.5,0.9166666666666666,1.4959629196283843,0.0,0.43272891924036244,10,2,5,autocorr,4000,2000,1e-09,0.9333333333333332,2.5233220997073835,0.9333333333333332,2.4543087896863245,0.9333333333333332,2.0906131416902283,0.9,1.6271219053902566
11,c_norm,0.6166666666666666,0.8850603175187545,-0.5,0.9166666666666666,1.496005567232551,0.0,0.6588121239904013,10,2,5,autocorr,8000,2000,1e-09,0.9333333333333332,2.5324049275422493,0.9333333333333332,2.4726562016485425,0.9666666666666667,2.1586762063604694,0.9333333333333332,0.5354707092627388
11,c_proj1,0.6833333333333333,0.8607516131733578,-0.33333333333333337,0.21666666666666667,1.9901501128701522,0.0,0.766146268928726,10,2,5,autocorr,8000,2000,1e-09,0.7,2.0513118003972735,0.7333333333333334,1.8807193601526624,0.43333333333333335,1.806864812963565,0.7,1.3133733693648426
11,g_fro,0.9,1.8775770971825676,-0.09999999999999999,0.8333333333333333,2.511756056623499,0.0,0.3560468033629565,10,2,5,autocorr,8000,2000,1e-09,0.8666666666666667,2.742515728913402,0.9,3.738005996895111,0.8666666666666667,4.025876546557467,0.8499999999999999,5.426599205252837
11,w_fro,0.6166666666666666,0.8850536726105811,-0.5,0.9166666666666666,1.4959755015754685,0.0,0.6588675883979643,10,2,5,autocorr,8000,2000,1e-09,0.9333333333333332,2.5323512429587733,0.9333333333333332,2.4725999752942065,0.9666666666666667,2.158608639591557,0.9333333333333332,0.5353263130008229
12,c_norm,0.8333333333333333,0.548537538694354,-0.5,0.9166666666666666,1.495991928985984,0.0,0.3115179552733803,10,2,20,embedding,4000,2000,1e-09,0.9333333333333332,2.5233755815080188,0.9333333333333332,2.454365255163166,0.9333333333333332,2.090756418050574,0.9,1.62716490844114
12,c_proj1,0.8833333333333333,0.515781114159865,-0.33333333333333337,0.21666666666666667,1.9903470835022778,0.0,0.2317974961677566,10,2,20,embedding,4000,2000,1e-09,0.7,2.0318872248946307,0.7333333333333334,1.771972032725298,0.43333333333333335,1.7107486028423107,0.3666666666666667,1.7206774966915692
12,g_fro,0.8666666666666667,1.5627296878823795,-0.09999999999999999,0.8333333333333333,2.5133663603094365,0.0,0.40374253338592475,10,2,20,embedding,4000,2000,1e-09,0.8666666666666667,3.067380783733959,0.9,4.830808252209464,0.9,6.909005465881978,0.8499999999999999,14.37833305636728
12,w_fro,0.8333333333333333,0.5486398396695603,-0.5,0.9166666666666666,1.4959629196283843,0.0,0.31161474674597095,10,2,20,embedding,4000,2000,1e-09,0.9333333333333332,2.5233220997073835,0.9333333333333332,2.4543087896863245,0.9333333333333332,2.0906131416902283,0.9,1.6271219053902566
