run,ladder,n_samples,row_stride,window_steps,left_step,right_step,centre_step,PR_pos,PR_pos_det,PR_step,fn_PR_pos,fn_PR_pos_det,fn_PR_step,move
a_add,fixed_n,60,1,3000,47450,50400,48925,1.0001575965471412,1.0038395113431884,1.0235124779293394,1.000353695649398,1.079342563044957,1.4875414933704252,25.803338080644608
a_add,fixed_n,60,1,3000,51100,54050,52575,1.0001278323958327,1.0059145127388178,1.0336652291734367,1.000318021377721,1.1252974939902605,1.734295441254443,22.648225277662277
a_add,fixed_n,60,1,3000,54750,57700,56225,1.0001055464652946,1.0088022559716348,1.0471541467565852,1.0003111478781193,1.174416689072952,2.0150242177138633,20.082131892442703
a_add,fixed_n,60,1,3000,58400,61350,59875,1.0000883211631806,1.01329280772866,1.065337013363417,1.0003184119721915,1.2350743487031581,2.4228203112044113,17.96224758028984
a_add,fixed_n,60,1,3000,62050,65000,63525,1.0000766059332085,1.0178568015507274,1.0854608724641246,1.0003263272314804,1.2798483767178301,2.8648668662195025,16.187189549207687
a_add,fixed_n,60,1,3000,65700,68650,67175,1.0000683282234952,1.0230810044392151,1.1084732183154444,1.0003284503669643,1.3625307444639647,3.476107650922871,14.683789283037186
a_add,fixed_n,60,1,3000,69350,72300,70825,1.0000624518095078,1.0292124255445638,1.136639999628457,1.0003635317119044,1.4071424161788404,4.172740857093925,13.397437110543251
a_add,fixed_n,60,1,3000,73000,75950,74475,1.0000560769723381,1.037913743733132,1.171075619344782,1.0003914220441836,1.4616786892382292,4.9207566594094745,12.286878302693367
a_add,fixed_n,60,1,3000,76650,79600,78125,1.000052658676366,1.0474635900736486,1.2141154060141892,1.000421387931259,1.4917002076133006,5.853644968644648,11.320364266633987
a_add,fixed_n,60,1,3000,80300,83250,81775,1.000048446446379,1.0569292417522456,1.2529126607364702,1.0004438210537494,1.5705727922046817,7.184409085852749,10.47309322655201
a_add,fixed_n,60,1,3000,83950,86900,85425,1.0000469370647975,1.0701737421035766,1.3109507639939577,1.000456006121784,1.5651741904185874,8.156370439238778,9.725637674331665
a_add,fixed_n,60,1,3000,87600,90550,89075,1.0000457309635198,1.0829627233725434,1.3729202477909066,1.0004939652610974,1.5888186121512058,9.61250644650488,9.06195031106472
a_add,fixed_n,60,1,3000,91250,94200,92725,1.0000438595265781,1.0947367135208803,1.4304924430657275,1.000529518277687,1.6367528658676276,11.405754201873375,8.469999894499779
a_add,fixed_n,60,1,3000,94900,97850,96375,1.0000422537170395,1.108882146268413,1.5068923827836707,1.0005456676455764,1.6202827181784862,13.426711785082947,7.9388607442379
a_add,fixed_n,60,1,3000,98550,101500,100025,1.0000450646195893,1.1228827466909854,1.589880630003104,1.0006019995234234,1.5820207621265292,14.24215924618408,7.460613735020161
a_add,fixed_n,60,1,3000,102200,105150,103675,1.0000418585982511,1.1305968851294261,1.6633773472737308,1.0005987588159706,1.6577054323028162,17.517702307431932,7.027725599706173
a_add,fixed_n,60,1,3000,105850,108800,107325,1.0000426614974276,1.1426897309585184,1.7554360988523419,1.0006071436350883,1.6626499529017693,20.61152783613423,6.635032594203949
a_add,fixed_n,60,1,3000,109500,112450,110975,1.000042268470302,1.1630231969652176,1.8737482653889173,1.0006126527475065,1.6755936911525586,22.88318932165287,6.276706501841545
a_add,fixed_n,60,1,3000,113150,116100,114625,1.00004264200473,1.1767504348116609,1.9861467951072767,1.000633048425767,1.6434851485064823,25.233463245769016,5.949389323592186
a_add,fixed_n,60,1,3000,116800,119750,118275,1.0000444348462045,1.1861976416783313,2.105412131276685,1.0006556174901795,1.6580381743772574,27.60434923016928,5.648995526134968
a_add,fixed_n,60,1,3000,120450,123400,121925,1.0000442006579746,1.1917004886489793,2.22302408943125,1.0006440412379494,1.693219705928941,30.637204856631527,5.3724386394023895
a_add,fixed_n,60,1,3000,124100,127050,125575,1.0000445487905163,1.1996397012933921,2.3448979579802622,1.0007023200687781,1.6577491619310099,30.69516738894233,5.118554264307022
a_add,fixed_n,60,1,3000,127750,130700,129225,1.0000441109428735,1.2052186630582704,2.4880908664451638,1.0006965314778353,1.6684529113442539,33.54495181670836,4.88226880133152
