run,column,smooth,seed,observed,surr_median,surr_max,p,n,generalises
mod_wd1_s44,train_loss,101,0,2.1118483814737075,2.2651130564769395,11.567677073103066,0.65,39,True
mod_wd1_s44,train_loss,101,1,2.1118483814737075,2.40194491984119,11.16757836027173,0.725,39,True
mod_wd1_s44,train_loss,101,2,2.1118483814737075,2.1863895002039095,10.824080362316156,0.575,39,True
mod_wd1_s44,train_loss,101,3,2.1118483814737075,2.1993054083218553,11.655420883799463,0.6,39,True
mod_wd1_s44,train_loss,101,4,2.1118483814737075,2.123750448349394,9.24463741690544,0.525,39,True
mod_wd1_s44,train_loss,201,0,2.1118483814737075,2.2231323544586976,6.131320352807967,0.575,39,True
mod_wd1_s44,train_loss,201,1,2.1118483814737075,2.1584579069866043,4.94013408422431,0.525,39,True
mod_wd1_s44,train_loss,201,2,2.1118483814737075,2.141150589163613,5.628990114150677,0.55,39,True
mod_wd1_s44,train_loss,201,3,2.1118483814737075,2.305987514379131,5.91255794976783,0.575,39,True
mod_wd1_s44,train_loss,201,4,2.1118483814737075,2.231783417133551,6.668139552089954,0.6,39,True
mod_wd1_s44,train_loss,401,0,2.1118483814737075,3.214601648988443,5.246599273273945,0.75,39,True
mod_wd1_s44,train_loss,401,1,2.1118483814737075,3.3624641820319168,6.383205002980869,0.875,39,True
mod_wd1_s44,train_loss,401,2,2.1118483814737075,3.6880574815976224,5.700542207847497,0.925,39,True
mod_wd1_s44,train_loss,401,3,2.1118483814737075,3.3499284170916357,5.379328216732912,0.85,39,True
mod_wd1_s44,train_loss,401,4,2.1118483814737075,3.0892843845937756,5.1663461134470126,0.725,39,True
s5_wd0,train_loss,101,0,1.3039097109538234,1.3604945848971433,1.775470120047209,0.625,39,False
s5_wd0,train_loss,101,1,1.3039097109538234,1.3530675328485184,2.4084692171790882,0.65,39,False
s5_wd0,train_loss,101,2,1.3039097109538234,1.3494952881277247,1.8775076188626458,0.675,39,False
s5_wd0,train_loss,101,3,1.3039097109538234,1.4269163489898156,1.9585123955716195,0.725,39,False
s5_wd0,train_loss,101,4,1.3039097109538234,1.3534483493739022,1.7242412304460528,0.625,39,False
s5_wd0,train_loss,201,0,1.3039097109538234,1.4287874323515257,2.08386107033725,0.75,39,False
s5_wd0,train_loss,201,1,1.3039097109538234,1.4357366495065205,2.0575331813769773,0.825,39,False
s5_wd0,train_loss,201,2,1.3039097109538234,1.3689543725611395,1.66250117006363,0.65,39,False
s5_wd0,train_loss,201,3,1.3039097109538234,1.3357535436009045,1.8835575491849534,0.6,39,False
s5_wd0,train_loss,201,4,1.3039097109538234,1.4083166924404447,1.8231743639198819,0.825,39,False
s5_wd0,train_loss,401,0,1.3039097109538234,1.915156889919043,2.604943501445792,0.975,39,False
s5_wd0,train_loss,401,1,1.3039097109538234,1.693870562062715,2.4098671206385656,1.0,39,False
s5_wd0,train_loss,401,2,1.3039097109538234,1.80896927197811,2.4919377547264228,0.975,39,False
s5_wd0,train_loss,401,3,1.3039097109538234,1.8395271345160837,2.95000009003983,1.0,39,False
s5_wd0,train_loss,401,4,1.3039097109538234,1.814947568302151,2.4255262428921553,0.975,39,False
s5_wd1,train_loss,101,0,7.188096698204651,1.7976115339658094,2.6631135842357803,0.025,39,True
s5_wd1,train_loss,101,1,7.188096698204651,1.8186674327150454,2.571551713164417,0.025,39,True
s5_wd1,train_loss,101,2,7.188096698204651,1.8237502601247348,2.9567428604553356,0.025,39,True
s5_wd1,train_loss,101,3,7.188096698204651,1.8483247934147102,3.021935956229092,0.025,39,True
s5_wd1,train_loss,101,4,7.188096698204651,1.8904969142914148,2.9103479649205997,0.025,39,True
s5_wd1,train_loss,201,0,7.188096698204651,1.776115611097741,2.96089910371037,0.025,39,True
s5_wd1,train_loss,201,1,7.188096698204651,2.1228280564873137,3.250707638377158,0.025,39,True
s5_wd1,train_loss,201,2,7.188096698204651,1.8543998254659801,2.9948473203182235,0.025,39,True
s5_wd1,train_loss,201,3,7.188096698204651,1.7565416706097867,3.0998485281961767,0.025,39,True
s5_wd1,train_loss,201,4,7.188096698204651,1.799770347623167,3.668545935898722,0.025,39,True
s5_wd1,train_loss,401,0,7.188096698204651,2.2092915088350646,3.4766230956336313,0.025,39,True
s5_wd1,train_loss,401,1,7.188096698204651,2.0621053022197713,3.445230064969205,0.025,39,True
s5_wd1,train_loss,401,2,7.188096698204651,2.2833527555325683,3.4422525033371087,0.025,39,True
s5_wd1,train_loss,401,3,7.188096698204651,2.010915403854421,3.5544732700751185,0.025,39,True
s5_wd1,train_loss,401,4,7.188096698204651,2.1814307001386326,3.5926651411659107,0.025,39,True
mod_wd0,weight_norm,101,0,0.9998327184567153,1.8013317435396254,3.8199017388124896,0.875,39,False
mod_wd0,weight_norm,101,1,0.9998327184567153,2.2511416849175605,3.3278435659983296,0.95,39,False
mod_wd0,weight_norm,101,2,0.9998327184567153,2.167170889572799,4.1351621978061,0.975,39,False
mod_wd0,weight_norm,101,3,0.9998327184567153,2.090289613135705,3.6442245091402494,0.95,39,False
mod_wd0,weight_norm,101,4,0.9998327184567153,1.4388850538361138,3.8036499853682932,0.9,39,False
mod_wd0,weight_norm,201,0,0.9998327184567153,2.544412414350868,5.051303738879482,1.0,39,False
mod_wd0,weight_norm,201,1,0.9998327184567153,2.264510636861477,4.1482286932655486,0.975,39,False
