run,column,smooth,seed,kind,i,depth,n_windows,grid_match
mod_wd0,weight_norm,101,2,surrogate,23,0.9875822836329129,195,True
mod_wd0,weight_norm,101,2,surrogate,24,2.167170889572799,195,True
mod_wd0,weight_norm,101,2,surrogate,25,2.3558879855312234,195,True
mod_wd0,weight_norm,101,2,surrogate,26,3.0350756195400885,195,True
mod_wd0,weight_norm,101,2,surrogate,27,1.935262140050231,195,True
mod_wd0,weight_norm,101,2,surrogate,28,1.870959443545205,195,True
mod_wd0,weight_norm,101,2,surrogate,29,2.2985189044305825,195,True
mod_wd0,weight_norm,101,2,surrogate,30,1.266262567878544,195,True
mod_wd0,weight_norm,101,2,surrogate,31,1.6649666361199693,195,True
mod_wd0,weight_norm,101,2,surrogate,32,2.4157638682939706,195,True
mod_wd0,weight_norm,101,2,surrogate,33,1.7227731611303894,195,True
mod_wd0,weight_norm,101,2,surrogate,34,2.599960057134992,195,True
mod_wd0,weight_norm,101,2,surrogate,35,1.3024814118187547,195,True
mod_wd0,weight_norm,101,2,surrogate,36,1.4879489158857406,195,True
mod_wd0,weight_norm,101,2,surrogate,37,1.000469693650503,195,True
mod_wd0,weight_norm,101,2,surrogate,38,2.9294705099647707,195,True
mod_wd0,weight_norm,101,3,observed,-1,0.9998327184567153,195,True
mod_wd0,weight_norm,101,3,surrogate,0,3.242481390045756,195,True
mod_wd0,weight_norm,101,3,surrogate,1,2.103606683287813,195,True
mod_wd0,weight_norm,101,3,surrogate,2,1.0215839133741287,195,True
mod_wd0,weight_norm,101,3,surrogate,3,3.209748851656212,195,True
mod_wd0,weight_norm,101,3,surrogate,4,1.2868716108482432,195,True
mod_wd0,weight_norm,101,3,surrogate,5,3.378089023335692,195,True
mod_wd0,weight_norm,101,3,surrogate,6,1.203493025901116,195,True
mod_wd0,weight_norm,101,3,surrogate,7,2.349983800979502,195,True
mod_wd0,weight_norm,101,3,surrogate,8,2.090289613135705,195,True
mod_wd0,weight_norm,101,3,surrogate,9,2.0831003187893815,195,True
mod_wd0,weight_norm,101,3,surrogate,10,2.8542926423511874,195,True
mod_wd0,weight_norm,101,3,surrogate,11,1.872620136743744,195,True
mod_wd0,weight_norm,101,3,surrogate,12,2.7293738859063956,195,True
mod_wd0,weight_norm,101,3,surrogate,13,2.7624957893449915,195,True
mod_wd0,weight_norm,101,3,surrogate,14,1.8876389362990358,195,True
mod_wd0,weight_norm,101,3,surrogate,15,1.160432705163671,195,True
mod_wd0,weight_norm,101,3,surrogate,16,2.566212753899718,195,True
mod_wd0,weight_norm,101,3,surrogate,17,2.261822797853407,195,True
mod_wd0,weight_norm,101,3,surrogate,18,2.709294819384927,195,True
mod_wd0,weight_norm,101,3,surrogate,19,1.6431722053492814,195,True
mod_wd0,weight_norm,101,3,surrogate,20,0.8496665959847103,195,True
mod_wd0,weight_norm,101,3,surrogate,21,1.181154707160084,195,True
mod_wd0,weight_norm,101,3,surrogate,22,1.0564445899520236,195,True
mod_wd0,weight_norm,101,3,surrogate,23,1.6390102163363953,195,True
mod_wd0,weight_norm,101,3,surrogate,24,1.3523884080601336,195,True
mod_wd0,weight_norm,101,3,surrogate,25,2.404813698430738,195,True
mod_wd0,weight_norm,101,3,surrogate,26,2.396028026867668,195,True
mod_wd0,weight_norm,101,3,surrogate,27,1.0103974805575062,195,True
mod_wd0,weight_norm,101,3,surrogate,28,2.292775810376554,195,True
mod_wd0,weight_norm,101,3,surrogate,29,0.9998267777468214,195,True
mod_wd0,weight_norm,101,3,surrogate,30,1.360616046510274,195,True
mod_wd0,weight_norm,101,3,surrogate,31,3.121733550910711,195,True
mod_wd0,weight_norm,101,3,surrogate,32,2.084737115918219,195,True
mod_wd0,weight_norm,101,3,surrogate,33,1.947187564663162,195,True
mod_wd0,weight_norm,101,3,surrogate,34,3.2423614957529887,195,True
mod_wd0,weight_norm,101,3,surrogate,35,2.1187387264452484,195,True
mod_wd0,weight_norm,101,3,surrogate,36,2.599566210405233,195,True
mod_wd0,weight_norm,101,3,surrogate,37,3.6442245091402494,195,True
mod_wd0,weight_norm,101,3,surrogate,38,1.1557991395044984,195,True
mod_wd0,weight_norm,101,4,observed,-1,0.9998327184567153,195,True
mod_wd0,weight_norm,101,4,surrogate,0,1.3420764023354215,195,True
mod_wd0,weight_norm,101,4,surrogate,1,2.935598698868804,195,True
mod_wd0,weight_norm,101,4,surrogate,2,2.1991373374665644,195,True
mod_wd0,weight_norm,101,4,surrogate,3,1.0441131567356228,195,True
mod_wd0,weight_norm,101,4,surrogate,4,1.46786968233318,195,True
mod_wd0,weight_norm,101,4,surrogate,5,1.9093771990425852,195,True
mod_wd0,weight_norm,101,4,surrogate,6,0.9997455589542503,195,True
mod_wd0,weight_norm,101,4,surrogate,7,1.3130650307711724,195,True
mod_wd0,weight_norm,101,4,surrogate,8,3.453119415613781,195,True
mod_wd0,weight_norm,101,4,surrogate,9,1.140027413988355,195,True
mod_wd0,weight_norm,101,4,surrogate,10,1.2491907608891104,195,True
mod_wd0,weight_norm,101,4,surrogate,11,0.9882630116024579,195,True
mod_wd0,weight_norm,101,4,surrogate,12,1.3968558032090566,195,True
mod_wd0,weight_norm,101,4,surrogate,13,2.211922008719435,195,True
mod_wd0,weight_norm,101,4,surrogate,14,1.1944295685626702,195,True
mod_wd0,weight_norm,101,4,surrogate,15,0.909097898257361,195,True
mod_wd0,weight_norm,101,4,surrogate,16,1.2028623527051072,195,True
mod_wd0,weight_norm,101,4,surrogate,17,1.5266637937135608,195,True
mod_wd0,weight_norm,101,4,surrogate,18,1.0328082209171403,195,True
mod_wd0,weight_norm,101,4,surrogate,19,1.000542659269691,195,True
mod_wd0,weight_norm,101,4,surrogate,20,1.110901228292115,195,True
mod_wd0,weight_norm,101,4,surrogate,21,3.214554988151306,195,True
mod_wd0,weight_norm,101,4,surrogate,22,3.3743005178071956,195,True
mod_wd0,weight_norm,101,4,surrogate,23,1.3943072742984655,195,True
mod_wd0,weight_norm,101,4,surrogate,24,2.7651197509368455,195,True
mod_wd0,weight_norm,101,4,surrogate,25,2.095249520266584,195,True
mod_wd0,weight_norm,101,4,surrogate,26,1.2913537759110971,195,True
mod_wd0,weight_norm,101,4,surrogate,27,1.7598055190329358,195,True
mod_wd0,weight_norm,101,4,surrogate,28,1.4755686044415097,195,True
mod_wd0,weight_norm,101,4,surrogate,29,3.8036499853682932,195,True
mod_wd0,weight_norm,101,4,surrogate,30,3.3169140983478496,195,True
mod_wd0,weight_norm,101,4,surrogate,31,1.4388850538361138,195,True
mod_wd0,weight_norm,101,4,surrogate,32,1.3552466063395197,195,True
mod_wd0,weight_norm,101,4,surrogate,33,3.087445876251544,195,True
mod_wd0,weight_norm,101,4,surrogate,34,1.5906350567818561,195,True
mod_wd0,weight_norm,101,4,surrogate,35,2.3306924953765757,195,True
mod_wd0,weight_norm,101,4,surrogate,36,1.5094165734937424,195,True
mod_wd0,weight_norm,101,4,surrogate,37,1.1462693839396172,195,True
mod_wd0,weight_norm,101,4,surrogate,38,0.9730610712775797,195,True
mod_wd0,weight_norm,201,0,observed,-1,0.9998327184567153,195,True
mod_wd0,weight_norm,201,0,surrogate,0,3.7547591717503956,195,True
mod_wd0,weight_norm,201,0,surrogate,1,3.6446788119133866,195,True
mod_wd0,weight_norm,201,0,surrogate,2,3.780210279320651,195,True
mod_wd0,weight_norm,201,0,surrogate,3,2.9308932258408698,195,True
mod_wd0,weight_norm,201,0,surrogate,4,4.028845770987962,195,True
mod_wd0,weight_norm,201,0,surrogate,5,1.857635136617694,195,True
mod_wd0,weight_norm,201,0,surrogate,6,1.6081369561279566,195,True
mod_wd0,weight_norm,201,0,surrogate,7,1.4490418044649989,195,True
mod_wd0,weight_norm,201,0,surrogate,8,1.8050982311583348,195,True
mod_wd0,weight_norm,201,0,surrogate,9,1.625181057883259,195,True
mod_wd0,weight_norm,201,0,surrogate,10,2.4749950346023892,195,True
mod_wd0,weight_norm,201,0,surrogate,11,2.0644158359554132,195,True
mod_wd0,weight_norm,201,0,surrogate,12,1.0024182914937487,195,True
mod_wd0,weight_norm,201,0,surrogate,13,2.6496803707959553,195,True
mod_wd0,weight_norm,201,0,surrogate,14,2.724259147451864,195,True
mod_wd0,weight_norm,201,0,surrogate,15,2.4772538356324443,195,True
mod_wd0,weight_norm,201,0,surrogate,16,4.361084877080565,195,True
mod_wd0,weight_norm,201,0,surrogate,17,1.3898672676502069,195,True
mod_wd0,weight_norm,201,0,surrogate,18,2.833555015071791,195,True
mod_wd0,weight_norm,201,0,surrogate,19,2.3144147104343054,195,True
mod_wd0,weight_norm,201,0,surrogate,20,1.412795272935421,195,True
mod_wd0,weight_norm,201,0,surrogate,21,2.9907487595546978,195,True
mod_wd0,weight_norm,201,0,surrogate,22,2.6593451395305148,195,True
mod_wd0,weight_norm,201,0,surrogate,23,3.9980948268776006,195,True
mod_wd0,weight_norm,201,0,surrogate,24,4.40694063047884,195,True
mod_wd0,weight_norm,201,0,surrogate,25,4.253390217032699,195,True
mod_wd0,weight_norm,201,0,surrogate,26,2.4870386824332997,195,True
mod_wd0,weight_norm,201,0,surrogate,27,2.544412414350868,195,True
mod_wd0,weight_norm,201,0,surrogate,28,1.6960190920321598,195,True
mod_wd0,weight_norm,201,0,surrogate,29,1.2383825841854021,195,True
mod_wd0,weight_norm,201,0,surrogate,30,1.007625659746632,195,True
mod_wd0,weight_norm,201,0,surrogate,31,2.7867350855052058,195,True
mod_wd0,weight_norm,201,0,surrogate,32,3.9671907124327714,195,True
mod_wd0,weight_norm,201,0,surrogate,33,2.671856194165665,195,True
mod_wd0,weight_norm,201,0,surrogate,34,5.051303738879482,195,True
mod_wd0,weight_norm,201,0,surrogate,35,3.34307739719862,195,True
mod_wd0,weight_norm,201,0,surrogate,36,2.2233334091809045,195,True
mod_wd0,weight_norm,201,0,surrogate,37,1.963148124221162,195,True
mod_wd0,weight_norm,201,0,surrogate,38,1.0199619432178482,195,True
mod_wd0,weight_norm,201,1,observed,-1,0.9998327184567153,195,True
mod_wd0,weight_norm,201,1,surrogate,0,2.314586647548525,195,True
mod_wd0,weight_norm,201,1,surrogate,1,1.8981752546974213,195,True
mod_wd0,weight_norm,201,1,surrogate,2,3.6961849587206177,195,True
mod_wd0,weight_norm,201,1,surrogate,3,4.1482286932655486,195,True
mod_wd0,weight_norm,201,1,surrogate,4,1.033065523382698,195,True
mod_wd0,weight_norm,201,1,surrogate,5,2.9991032610710238,195,True
mod_wd0,weight_norm,201,1,surrogate,6,2.8176509769447926,195,True
mod_wd0,weight_norm,201,1,surrogate,7,2.899589849467469,195,True
