run,ladder,n_samples,row_stride,window_steps,n_windows,PR_pos_det_med,PR_pos_det_min,PR_pos_det_max,PR_step_med,PR_step_min,PR_step_max,fn_PR_pos_det_med,fn_PR_pos_det_min,fn_PR_pos_det_max,fn_PR_step_med,fn_PR_step_min,fn_PR_step_max,at_gen_centre,PR_pos_det_at_gen,PR_step_at_gen,fn_PR_pos_det_at_gen,fn_PR_step_at_gen,t_mem,t_gen
a_add,fixed_dt,1200,1,59950,13,1.024585440613711,1.0064962604670136,1.5446758466695627,1.0546152034586047,1.0192833970873665,3.0994126067187944,1.0370451161746455,1.01111846510059,2.4126924471315885,1.1027357608972757,1.0681730920176826,5.552868503845843,29975.0,1.5446758466695627,3.0994126067187944,2.4126924471315885,5.552868503845843,9250,11800
a_add,fixed_dt,2400,1,119950,13,1.2448936916459945,1.0770502999948577,1.641615638552142,1.5058901891601033,1.1522912604117277,3.093785230087997,1.435994220618221,1.113107663676506,1.9442248657425303,1.4920623889266291,1.1879116342204221,5.616207582067043,59975.0,1.4802982161454277,3.093785230087997,1.9442248657425303,5.616207582067043,9250,11800
x_no_grok,fixed_n,60,1,2950,41,1.0034862495784744,1.001595090866604,1.087006842389807,1.0167543319824195,1.0060396705261256,1.201498289614432,1.0071607478109068,1.0021971311003484,1.1784473102516506,1.0481580530366417,1.010047327538073,1.3773008635900572,,,,,,9900,
x_no_grok,fixed_n,60,2,5900,41,1.0051538991694218,1.002705921772415,1.3599099877549348,1.0137689288516847,1.0093860091565685,1.7724294318641443,1.0063053477300268,1.0037525663045386,1.4930785375368845,1.0264076629670251,1.0155527384076557,2.060271765298895,,,,,,9900,
x_no_grok,fixed_n,60,4,11800,41,1.0200325411081568,1.0071677108651145,1.8260483804328953,1.0454229278704963,1.0180862042146255,2.4907207036495853,1.024305738204606,1.0087230285283926,2.1183041892091086,1.0555693285381866,1.024970450002373,2.961714311242586,,,,,,9900,
x_no_grok,fixed_n,60,10,29500,13,1.1120571590142798,1.0474278559031123,1.7351118454930026,1.252798323151743,1.1077503678394298,2.8967489298245175,1.1351032946039634,1.052261255178549,3.02125265509602,1.3032445074928103,1.1188723662976225,3.0089335853349466,,,,,,9900,
x_no_grok,fixed_n,60,20,59000,13,1.3453385455604412,1.196003491797629,1.9117171755107591,1.7888291315453277,1.4438059588455283,3.1565303763346426,1.3970277670932532,1.2084381721851636,2.988213215807523,1.9056534204464466,1.490544004981008,3.144242162479108,,,,,,9900,
x_no_grok,fixed_n,60,40,118000,13,2.009213152866926,1.7577775320942908,2.2705251358124054,2.878362983393092,2.7451135862186176,3.297268117127264,2.279567672498005,1.899550174503361,3.2932460627239655,3.1253187537829223,2.926831070675012,4.015410464127447,,,,,,9900,
x_no_grok,fixed_dt,60,1,2950,41,1.0034862495784744,1.001595090866604,1.087006842389807,1.0167543319824195,1.0060396705261256,1.201498289614432,1.0071607478109068,1.0021971311003484,1.1784473102516506,1.0481580530366417,1.010047327538073,1.3773008635900572,,,,,,9900,
x_no_grok,fixed_dt,120,1,5950,41,1.0051643629928468,1.0027083089788997,1.358136948513816,1.0151587827673652,1.0102379932511432,1.7770566057670947,1.0063120376058132,1.0037590116291844,1.4918356586297807,1.031101045127853,1.0180282469066495,2.0686475905841597,,,,,,9900,
x_no_grok,fixed_dt,240,1,11950,41,1.0200816143703806,1.0071815912051045,1.8267779880974777,1.0468086406191555,1.0196303323589802,2.4982033899524607,1.0243230799064373,1.0087381253020287,2.14344825508816,1.057943334737634,1.0285900896312463,2.9862248409158094,,,,,,9900,
x_no_grok,fixed_dt,600,1,29950,13,1.1123299251308976,1.0473797058595404,1.7208529129917047,1.2599672621830842,1.1109919856258719,2.910563127960393,1.1350848381465517,1.0523513982352601,2.899929099022793,1.3112885172346571,1.1235502153223353,3.0381048893473115,,,,,,9900,
x_no_grok,fixed_dt,1200,1,59950,13,1.3457547098518527,1.1965989830387471,1.9114510182221762,1.80867271536796,1.4559640391200404,3.1945111295443653,1.3971220795073995,1.2094163968384772,2.785831532781218,1.9279862849106781,1.507445189936107,3.2064214766835892,,,,,,9900,
x_no_grok,fixed_dt,2400,1,119950,13,2.0133708139148503,1.77032027782521,2.269253841994829,2.917746124680341,2.804999110249267,3.4136248572050225,2.2855776778827295,1.9151105309842356,3.005175592728714,3.212427639181821,3.096677069273927,4.315760199674527,,,,,,9900,
