run,column,right_step,log_stride,MG,MG_2E,ident_ratio,LB,TwoNN,PRdelay,roughness,acorr,oscillations,degenerate
lowdata15_s1,val_loss,39990,10,4.359566180914832,6.042661940712885,1.3860695514077195,7.200219322978119,5.095591894836549,3.954677923329203,0.13940058895245316,10.0,170.0,False
lowdata15_s1,val_loss,49990,10,4.057793134651901,5.413541504651038,1.3341097796291284,4.47514250265036,5.2811910551703525,3.763810150756495,0.15052670400746554,10.0,168.0,False
lowdata15_s1,val_loss,59990,10,4.12887866388259,5.716899872064858,1.3846131934254937,4.57984938001663,5.962528496765,3.706112963229404,0.1304167834202669,12.0,163.0,False
lowdata15_s1,val_loss,69990,10,4.222302488374522,5.704926596769649,1.3511411398111126,4.841854381729934,7.876594037827386,2.8725873229325076,0.10870596804764157,16.0,156.0,False
lowdata15_s1,val_loss,79990,10,4.2569056405639065,6.644774710119035,1.5609400985545008,5.236382691417392,10.684367582473156,1.5966578911053415,0.07375483093093187,631.0,152.0,False
lowdata15_s1,val_loss,89990,10,4.312454400720182,8.332226945912238,1.9321310260163567,5.38215110695048,11.275089628247168,1.2993497474661606,0.05639532801214099,868.0,149.0,False
lowdata15_s1,val_loss,99990,10,4.446939510704864,10.418096461655356,2.3427565040128084,5.582312063731464,15.672765614357541,1.2144472945646916,0.050770633827941565,736.0,124.0,False
lowdata15_s1,val_loss,109990,10,4.892855195690579,10.211474415808619,2.0870174994760635,7.2603519173585465,14.853573197701044,1.1442607992179357,0.049663925255953666,724.0,128.0,False
lowdata15_s1,val_loss,119990,10,3.3452152200160548,5.611550364638929,1.6774856012439157,6.084735437626772,7.107033968085924,1.0690673678735034,0.043634474521395905,914.0,116.0,False
lowdata15_s1,train_acc,39990,10,0.5369238814217171,6.104276429216329,11.368979180163969,259058.6079193736,5.128160529248158,1.0981771067369555,0.07991714035621654,30.0,70.0,True
lowdata15_s1,train_acc,49990,10,0.49262651828701465,5.644246365835926,11.457455407521257,320058.5925042674,5.106843846154013,17.584152004444825,0.9322221794020437,2.0,224.0,True
lowdata15_s1,train_acc,59990,10,0.5311819213321598,5.506333152995673,10.366190813095164,356373.4893383294,4.8379835121798695,17.865239600171268,0.9249265309298819,2.0,210.0,True
lowdata15_s1,train_acc,69990,10,0.5110069889260709,4.822961106047478,9.438150965769339,443529.6726424577,5.447698912391454,18.474227408867694,0.905467213658264,2.0,194.0,True
lowdata15_s1,train_acc,79990,10,0.4936993727862939,3.4152405723760375,6.9176522406772065,541822.1452785946,6.025021114784961,18.59257301975208,0.9243069991533733,2.0,192.0,True
lowdata15_s1,train_acc,89990,10,0.5006406342716688,3.668012404923876,7.32663741979333,512770.22468597017,5.288506134772696,18.660432653605046,0.9129003636668979,2.0,188.0,True
lowdata15_s1,train_acc,99990,10,0.4290963918896687,4.863383928803953,11.334012638480655,388330.7964639505,4.984251938389642,18.91009335439837,0.916469486988044,2.0,206.0,True
lowdata15_s1,train_acc,109990,10,0.4450461958008604,5.032119379346327,11.306959652336833,310858.9963431346,5.2869046178758845,18.780597688919553,0.9176823611371644,2.0,216.0,True
lowdata15_s1,train_acc,119990,10,0.43328417176325507,1.0829131997761594,2.499314007638985,510348.96945697017,5.2070289429205525,18.612805436383585,0.9073942114732657,2.0,186.0,True
lowdata15_s1,val_acc,39990,10,1.8246439734347653,17.68428047384409,9.691907424852127,88623.08721553437,10.959582653676861,3.7799419497363385,0.8251568056976915,57.0,676.0,True
lowdata15_s1,val_acc,49990,10,1.8226318487692135,16.824927605470037,9.231116869175512,86684.69918611107,11.151601794558662,2.778066104140239,0.7120218658123834,255.0,704.0,True
