run,column,right_step,MG,MG_2E,ident_ratio,PRdelay,roughness,acorr,oscillations,degenerate
g_p2_p97,train_loss,53320,18.541495617234673,18.492772833634614,0.9973722301260978,1.0000303028655244,0.0011199747038600984,600.0,2,False
g_p2_p97,train_loss,63320,20.045556510742074,20.029854339529585,0.9992166757154348,1.0000062815530604,0.0007056295463953142,662.0,2,False
g_p2_p97,train_loss,73320,22.452008817409787,22.45590004442406,1.0001733130895287,1.0000021914793764,0.0005274360991329247,687.0,2,False
g_p2_p97,train_loss,83320,24.13424038589467,24.10626433346965,0.9988408148763873,1.0000009719247944,0.0004246014016768671,699.0,2,False
g_p2_p97,train_loss,93320,25.377032041673843,25.365332757186913,0.9995389813723008,1.0000004971443721,0.0003567837101081887,706.0,2,False
g_p2_p97,weight_norm,33320,19.801086171750462,20.194895709201305,1.019888279563809,1.0039483742276574,0.0021051253686704165,412.0,2,False
g_p2_p97,weight_norm,43320,20.047698315674243,20.111206421938448,1.0031678502571315,1.0000864494523019,0.0008320773538198431,627.0,2,False
g_p2_p97,weight_norm,53320,22.86495615727329,22.89434591856703,1.0012853626786593,1.0000070062968283,0.0005162548481371268,687.0,2,False
g_p2_p97,weight_norm,63320,25.572297545255744,25.548943171694468,0.9990867315101452,1.0000015793796557,0.0003487745433538169,706.0,2,False
g_p2_p97,weight_norm,73320,26.7296168418924,26.717328693774903,0.9995402796759046,1.0000005505985528,0.0002688731207484709,713.0,2,False
g_p2_p97,weight_norm,83320,27.197159712644407,27.15879412742033,0.998589353240212,1.0000002457411454,0.00022127107059491199,717.0,2,False
g_p2_p97,weight_norm,93320,27.77245849573155,27.70145961079739,0.9974435505972555,1.0000001239525178,0.00018958360792798308,720.0,2,False
g_p2x_p97,train_loss,33320,18.307749999889136,17.699371981580242,0.9667693726256598,1.000649310329388,0.000851615817518233,674.0,2,False
g_p2x_p97,train_loss,43320,18.828006848428668,18.767972361676982,0.9968114263376372,1.000186824155043,0.001975616404291789,469.0,2,False
g_p2x_p97,train_loss,53320,20.166564160872817,20.127518872684014,0.9980638601658999,1.000016006954875,0.0007773115432731241,653.0,2,False
g_p2x_p97,train_loss,63320,23.024743307511844,23.046279388367378,1.0009353451010465,1.0000044400604313,0.0005018619138109271,689.0,2,False
g_p2x_p97,train_loss,73320,25.521593606252658,25.48820164635141,0.9986916193237609,1.0000018114917402,0.00035958147722516036,704.0,2,False
g_p2x_p97,train_loss,83320,26.8622997522164,26.831539331893516,0.9988548850766082,1.0000007258665025,0.00027167681232674704,713.0,2,False
g_p2x_p97,train_loss,93320,27.382400277981393,27.362846908464014,0.9992859146999943,1.0000000751675304,0.00022614893798633123,718.0,2,False
g_p2x_p97,weight_norm,33320,18.753207937469178,18.34604165348846,0.9782881795296903,1.0005908965233328,0.0009020335395028408,632.0,2,False
g_p2x_p97,weight_norm,43320,19.75846122054313,19.68057315789967,0.9960579894469475,1.0003741284921346,0.002288162794350013,438.0,2,False
g_p2x_p97,weight_norm,53320,21.610234958397797,21.59993869612677,0.999523546953985,1.000014697122681,0.0006491989681537721,670.0,2,False
g_p2x_p97,weight_norm,63320,24.820199028041344,24.821049574212925,1.0000342683058512,1.0000045985934365,0.00039356985452869284,700.0,2,False
g_p2x_p97,weight_norm,73320,26.68719661715917,26.651449485057054,0.9986605137806369,1.0000007889702023,0.0002645501250098793,714.0,2,False
g_p2x_p97,weight_norm,83320,27.314403412075734,27.28153507692126,0.9987966665550548,1.0000002611929204,0.00021061944699113605,718.0,2,False
g_p2x_p97,weight_norm,93320,27.56457537163633,27.49638738882636,0.9975262458466843,1.0000000334708987,0.00018362690861844328,721.0,2,False
g_p3_p97,train_loss,33320,19.225382963291754,18.594114827272794,0.9671648602670605,1.0034195178549379,0.0019156116194983127,436.0,2,False
g_p3_p97,train_loss,43320,18.68265861509304,18.65258650065445,0.9983903728554835,1.0005754635036948,0.004173317520033082,278.0,2,False
g_p3_p97,train_loss,53320,18.192801806266303,18.15311556884061,0.9978185747391575,1.0000415415743125,0.0013062226986380353,570.0,2,False
g_p3_p97,train_loss,63320,19.29230698742152,19.256902406340007,0.9981648342469049,1.0000083303550509,0.0007950545798964567,649.0,2,False
g_p3_p97,train_loss,73320,21.38808500083084,21.394791891760395,1.0003135807123122,1.0000027963070186,0.0005849427889002509,679.0,2,False
g_p3_p97,train_loss,83320,23.425358281611935,23.425388842462684,1.0000013046054785,1.000001216956105,0.000467038878268941,694.0,2,False
g_p3_p97,train_loss,93320,24.821223233422792,24.775396306557365,0.998153720046975,1.0000006164981323,0.00039033593606698,703.0,2,False
g_p3_p97,weight_norm,33320,24.3074980656444,23.968021497567985,0.9860340802183907,1.002535648070807,0.00182512169489418,410.0,2,False
g_p3_p97,weight_norm,43320,24.85426591763063,25.16375340884353,1.0124520873896887,1.023296945266799,0.005641435100085929,518.0,2,False
g_p3_p97,weight_norm,53320,23.605676446866827,23.547214969068328,0.997523414424065,1.0000005365114448,0.0004486559448933438,695.0,2,False
g_p3_p97,weight_norm,63320,24.88505969181746,24.865727615019985,0.9992231452511311,1.0000009702056838,0.00039165928725033705,702.0,2,False
g_p3_p97,weight_norm,73320,25.839503975129162,25.794395337295565,0.9982542761704322,1.000000519948596,0.0003243011071637751,709.0,2,False
g_p3_p97,weight_norm,83320,26.80227209445639,26.759551638605867,0.9984060882711746,1.00000026321809,0.0002770882472282515,714.0,2,False
g_p3_p97,weight_norm,93320,27.12132700692521,27.093694027415225,0.9989811346803595,1.0000001454187109,0.0002445825155028538,716.0,2,False
g_p3x_p97,train_loss,33320,18.597140576008982,17.96902797292223,0.9662253129442361,1.0008432061235615,0.0009588571568804204,650.0,2,False
g_p3x_p97,train_loss,43320,19.03688072466786,18.974528338840003,0.9967246532281383,1.0002462503387137,0.0022147859936968287,451.0,2,False
