metric,window_size,stride,start_step,center_step,end_step,mle_raw,mle_detrended
train_loss,50,5,4700,5200,5680,8.547562894153321,4.246919342899791
train_loss,50,5,4800,5300,5780,7.597555980636181,4.097859042286019
train_loss,50,5,4900,5400,5880,6.613540987263227,5.867211000414023
train_loss,50,5,5000,5500,5980,5.360212329522183,3.3711198757936875
train_loss,50,5,5100,5600,6080,4.781345265827891,2.7923731086436936
train_loss,50,5,5200,5700,6180,5.2504457312315616,2.885911143243491
train_loss,50,5,5300,5800,6280,5.649575240737291,3.3428944106924074
train_loss,50,5,5400,5900,6380,6.718011361814668,5.33212493049567
train_loss,50,5,5500,6000,6480,8.445728081865376,12.836593042633769
train_loss,50,5,5600,6100,6580,8.617221930739786,9.693617713226104
train_loss,50,5,5700,6200,6680,9.72664010662377,9.871340247863197
train_loss,50,5,5800,6300,6780,8.781580210105318,9.317288555284104
train_loss,50,5,5900,6400,6880,9.12466282371312,9.687869390414685
train_loss,50,5,6000,6500,6980,9.08197419501316,8.258057941568257
train_loss,50,5,6100,6600,7080,9.713660917463013,9.48622425635202
train_loss,50,5,6200,6700,7180,12.3069708806633,10.236291749423765
train_loss,50,5,6300,6800,7280,14.969675273914314,13.94706225690901
train_loss,50,5,6400,6900,7380,14.771989938089414,11.788255290009928
train_loss,50,5,6500,7000,7480,14.158976465909552,10.207560729311105
train_loss,50,5,6600,7100,7580,12.09522830409728,8.848914566399243
train_loss,50,5,6700,7200,7680,12.967793628502823,12.173917079922795
train_loss,50,5,6800,7300,7780,16.233769855598524,15.035640560517034
train_loss,50,5,6900,7400,7880,18.53611548442332,14.346853056306559
train_loss,50,5,7000,7500,7980,21.60381814116907,16.884333807504223
train_loss,50,5,7100,7600,8080,22.64758691348441,18.325286436594396
train_loss,50,5,7200,7700,8180,19.866180416948215,15.383597428414292
train_loss,50,5,7300,7800,8280,18.76818746286534,17.576090601107197
train_loss,50,5,7400,7900,8380,17.67355296484554,17.518985168987278
train_loss,50,5,7500,8000,8480,15.257677351279508,16.51429792619119
train_loss,50,5,7600,8100,8580,13.175322122610945,8.874177219382336
train_loss,50,5,7700,8200,8680,11.073066958289571,8.335863508329135
train_loss,50,5,7800,8300,8780,10.61013353233534,9.010765135498737
train_loss,50,5,7900,8400,8880,9.29089867240387,9.465346017793978
train_loss,50,5,8000,8500,8980,9.072221213238457,9.444809239520845
train_loss,50,5,8100,8600,9080,8.900726348302832,9.748835302610658
train_loss,50,5,8200,8700,9180,9.069343272105638,8.600284318979007
train_loss,50,5,8300,8800,9280,8.17947506965683,7.496801533482379
train_loss,50,5,8400,8900,9380,8.298403483619111,7.475967758193761
train_loss,50,5,8500,9000,9480,9.863355386079578,10.88935396627246
train_loss,50,5,8600,9100,9580,10.425138521693238,10.054141428489128
train_loss,50,5,8700,9200,9680,10.301984253024338,10.289679499151845
train_loss,50,5,8800,9300,9780,10.76791937077841,10.730240752119503
train_loss,50,5,8900,9400,9880,11.009863737264793,11.216142565108646
train_loss,50,5,9000,9500,9980,10.569774659344779,10.467455405801031
train_loss,50,5,9100,9600,10080,12.99257628321711,12.245343785614825
train_loss,50,5,9200,9700,10180,10.427202500587272,11.440328378224853
