observer,k,truth,MG,LB,PRdelay,roughness,n,error
gradient_projection,4,4.0,4.588085189537192,4.73040814463232,3.7499602337357096,1.6633287094242082,3,0.5880851895371917
gradient_projection,5,5.0,4.650360861302814,4.707452019194461,5.102513273211304,1.686146010069449,3,0.349639138697186
gradient_projection,7,7.0,6.692641637145808,6.754974604150718,6.906314550795458,1.6146844159477498,3,0.3073583628541918
gradient_projection,8,8.0,7.487114543037865,7.573420648164704,7.889859489782268,1.587824205695758,3,0.5128854569621346
gradient_projection,9,9.0,9.305082785445354,9.545791732413994,6.898225059700569,1.7121792434448238,3,0.3050827854453537
gradient_projection,11,11.0,9.81091299055438,10.087302074361627,10.108116681625974,1.6051016583462607,3,1.18908700944562
gradient_projection,12,12.0,10.2465816519513,10.544226193613229,8.99951294289826,1.6131737792630871,3,1.7534183480486991
gradient_projection,13,13.0,8.625649931434744,8.960940719858447,9.735096367768067,1.6368582629790636,3,4.374350068565256
gradient_projection,15,15.0,10.675816746050566,11.54886033353232,8.493045491800908,1.5587608335719534,3,4.324183253949434
gradient_projection,16,16.0,12.04080447931084,12.477375317538788,8.523904233737651,1.59105125972877,3,3.9591955206891605
gradient_projection,17,17.0,11.774886565897475,12.279590262911903,10.089005815080963,1.6363387940484142,3,5.225113434102525
gradient_projection,19,19.0,14.766938576766755,15.256024314278543,12.318450350426648,1.5510015999877194,3,4.233061423233245
gradient_projection,20,20.0,13.569708437050169,14.18342969480955,12.445851117024414,1.5909996306203351,3,6.430291562949831
loss,1,1.0,1.1500151318770964,1.156771344164143,1.999650016886001,1.8749168171813233,3,0.15001513187709636
loss,3,3.0,3.427476242617861,3.50024007278631,4.957051801298461,1.4689572581738104,3,0.4274762426178609
loss,4,4.0,5.289669420774128,5.451582514515352,5.975382883220287,1.7419116096359126,3,1.2896694207741284
loss,5,5.0,5.650121246091892,5.79149425412344,6.8211237172611625,1.6948730341054383,3,0.6501212460918921
loss,7,7.0,7.474916281973378,7.716332644914118,9.828878263884944,1.7633946890404122,3,0.4749162819733783
loss,8,8.0,8.373789574947422,8.697325032168417,9.119311892558475,1.6848125654774018,3,0.3737895749474216
loss,9,9.0,9.22084679560243,9.484539815103831,11.770021347715424,1.8095744631176778,3,0.22084679560243003
loss,11,11.0,11.00404507446755,11.509015885653104,9.824283855935356,1.8126598145955701,3,0.004045074467549981
loss,12,12.0,11.870541908392623,12.43773046579762,11.843267758193308,1.6982197263456411,3,0.1294580916073773
loss,13,13.0,12.799163819376002,13.475751225983283,12.27075749906796,1.8336124611596785,3,0.20083618062399822
loss,15,15.0,13.605229910722871,14.322304009723826,11.720766648567421,1.7975506580726728,3,1.394770089277129
loss,16,16.0,13.382782085310538,13.863699555067765,15.67010961978888,1.7709325618387184,3,2.617217914689462
loss,17,17.0,14.737293755450667,15.515272432597486,14.179775060646524,1.8066013208405538,3,2.2627062445493333
loss,19,19.0,16.27380515770521,17.070428089331298,17.612791860228008,1.8574851609849277,3,2.7261948422947917
loss,20,20.0,17.627896611572865,18.50828524542009,18.402908396760452,1.8115115191059106,3,2.372103388427135
weight_fro,1,1.0,1.0686003219150317,1.07092128027953,1.996380921750852,1.6419800348050961,3,0.06860032191503174
weight_fro,3,3.0,3.34755689307417,3.389985104449344,5.064797121969919,1.6998603675255788,3,0.34755689307417015
weight_fro,4,4.0,4.412339783699702,4.475019362959819,6.408162235040071,1.6704025599626309,3,0.4123397836997018
weight_fro,5,5.0,6.24838324190944,6.317499934418156,7.471671271224422,1.5717072464548698,3,1.2483832419094396
weight_fro,7,7.0,8.412436285403116,8.67389668949221,9.25763385165806,1.592838096530192,3,1.4124362854031158
weight_fro,8,8.0,8.900769124743935,9.243799350812427,12.74967601987805,1.6337516154461944,3,0.9007691247439347
weight_fro,9,9.0,8.977534905279985,9.132366360912267,12.7087486397296,1.5424313985979339,3,0.022465094720015344
weight_fro,11,11.0,10.689069216324764,11.254868339288766,10.264358728076116,1.533248175951472,3,0.31093078367523574
weight_fro,12,12.0,13.16766771830593,13.741051660175884,14.815707785541976,1.6437819533444866,3,1.16766771830593
weight_fro,13,13.0,13.539339177287076,14.175785898402438,16.172981501686582,1.5815706529874178,3,0.5393391772870757
weight_fro,15,15.0,14.721910256122838,15.326366694408145,17.65320220327804,1.5658695115864274,3,0.2780897438771621
weight_fro,16,16.0,14.115657000849598,14.673700667706267,16.518092013860695,1.5843948519307123,3,1.8843429991504017
weight_fro,17,17.0,16.909575960040375,17.688617453954453,16.692304643817764,1.547462736383686,3,0.09042403995962545
weight_fro,19,19.0,16.676938553914972,17.59620915081525,16.66148963399873,1.5533378403473603,3,2.3230614460850276
weight_fro,20,20.0,19.170837561783532,20.002027041058927,21.27764439876388,1.587846411940557,3,0.8291624382164677
weight_projection,1,1.0,1.0685975955046914,1.0709189856798988,1.9962884754524846,1.6419738153148438,3,0.06859759550469136
weight_projection,3,3.0,2.538032669888638,2.559176474237525,2.3524694375026027,1.4317519290224419,3,0.4619673301113618
weight_projection,4,4.0,5.046408181428539,5.111712975438953,2.7441416464545996,1.422948260320694,3,1.0464081814285393
weight_projection,5,5.0,6.220162322642078,6.323891630119106,4.782769675200065,1.5640675387898058,3,1.2201623226420777
weight_projection,7,7.0,7.765193408436592,7.992836319916301,5.483024197764597,1.630126259865559,3,0.7651934084365921
weight_projection,8,8.0,7.161937005651223,7.219855061382922,6.496423427287213,1.6950036515330575,3,0.8380629943487774
weight_projection,9,9.0,7.9576806690962245,8.145624708138552,6.673875108740554,1.5624373485278302,3,1.0423193309037755
weight_projection,11,11.0,9.382927804551493,9.59005736558774,5.173222876673755,1.7101490420513004,3,1.6170721954485074
weight_projection,12,12.0,8.213821729689414,8.517445536520691,5.639379472961531,1.5773649599715907,3,3.786178270310586
weight_projection,13,13.0,9.179937182731086,9.692901317612737,8.841579392910575,1.6025214754515105,3,3.820062817268914
weight_projection,15,15.0,10.131072879277356,10.343075053758422,8.478426751970957,1.5612054564919737,3,4.868927120722644
weight_projection,16,16.0,9.74047896149835,10.151687150730357,8.720691038957781,1.4987999152854647,3,6.259521038501649
weight_projection,17,17.0,11.672508323219818,12.064959890770709,9.278353475047567,1.6183582264896237,3,5.327491676780182
weight_projection,19,19.0,12.506766430930382,12.85756734680855,12.356040454219837,1.5637613949836793,3,6.493233569069618
weight_projection,20,20.0,12.673489850835294,13.127516516886537,12.565710062741703,1.5733046966695172,3,7.326510149164706
weight_trace,1,1.0,1.0685985839590548,1.0709197679578122,1.9962884754064658,1.6419738155218155,3,0.06859858395905483
