system,k,seed,observer,truth,verified,effective_rank,resonance_margin,n_windows,frac_degenerate,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd,tau_used,theiler_used
regression.linear,3,1,gradient_fro,3.0,True,2.6261788321157034,0.02733551033695608,7,0.0,3.440727052258213,0.0014543086699434547,3.4767498013690257,0.001816665037606038,6.047452900246836,0.055422193096787795,5.3020998741447745,0.0008786988454720746,2.7282244844464842,0.0007503224149909086,2.745712359294021,0.0007139631333012768,2.980268580811882,0.0008637374970447537,3.220504719072375,0.0007985556216603444,1.8113570153429241,4.1939291231951654e-05,1.0,0.0,16.0,150.0
regression.linear,3,1,gradient_projection,3.0,True,2.6261788321157034,0.02733551033695608,7,0.0,3.0269947068444374,0.00024896054174861656,3.0574191984375725,0.00026678960487765694,2.032814858323281,5.9136390249937194e-05,3.366621537168598,1.057233084494578e-05,1.7350561143033385,1.6859953688299047e-05,1.760581572674521,1.1846214795157475e-05,1.8064801168095768,1.3581057025309102e-05,2.181342463275647,2.496320723776419e-05,1.3436048414050539,2.42749536086235e-05,1.0,0.0,16.0,150.0
regression.linear,3,1,loss,3.0,True,2.6261788321157034,0.02733551033695608,7,0.0,3.564688899807308,0.0015618252242788385,3.606250895370409,0.0016378578990840326,5.769456680769709,0.0003949859581606443,4.997105497505985,0.0003811371674744099,2.537731097250826,0.0007907132380790383,2.5528667365432702,0.0005999493108395801,2.7609325168326007,0.0002569655836469835,2.9708962097786173,0.0006237703787104846,1.8289099171742635,6.58742261339861e-05,1.0,0.0,16.0,150.0
regression.linear,3,2,weight_fro,3.0,True,2.9704992201241427,0.009600376673467137,7,0.0,3.34755689307417,0.0006587260264292316,3.389985104449344,0.0006871904884037135,1.5850200904368017,8.901656567438298e-07,5.527716390324568,0.0003178833097202522,3.060684684767921,0.0017868245195747387,3.102725497720027,0.001768274271221984,3.4411832480202724,0.0006414221838119123,5.411661967709773,0.005632138945923285,1.6998603675255788,0.00013971046216506035,1.0,0.0,16.0,150.0
regression.linear,3,2,weight_trace,3.0,True,2.9704992201241427,0.009600376673467137,7,0.0,3.4032563405122134,0.0005159933310191014,3.4392368479363653,0.0005273165768095934,1.5853195785598824,8.577293208830053e-07,5.492555039650897,0.00035478328149287497,3.0666456868709995,0.0020427968460509593,3.108203787299759,0.0019342045006674978,3.4560770351374375,0.0005735795805107896,5.511450767603717,0.005405524174299773,1.696793079067112,0.0001408771404774649,1.0,0.0,16.0,150.0
regression.linear,3,2,weight_projection,3.0,True,2.9704992201241427,0.009600376673467137,7,0.0,2.538032669888638,0.000501816576742694,2.559176474237525,0.0005348080123837165,1.5824437249285908,1.8669151737724413e-05,4.50595325556541,4.615086149589874e-05,2.3393547106436787,0.00045459029699282974,2.374120783122012,0.0007044614904800936,2.593419905212634,0.0002117245762614725,3.764868915659842,0.0013986909684218427,1.695020673664015,9.667567736655684e-05,1.0,0.0,16.0,150.0
regression.linear,3,2,gradient_fro,3.0,True,2.9704992201241427,0.009600376673467137,7,0.0,3.210477054781595,0.0024946648092451615,3.2492488139982627,0.0036012302765053806,2.65953338650099,0.010590241344841043,5.283819691851862,0.0006350090652262524,2.810506509765498,0.0012315393881891011,2.8859775141708215,0.001484038546809898,3.30460380902628,0.0013031034784615,5.519793571518358,0.0029083418397262673,1.3472304924044862,7.913482305232174e-05,1.0,0.0,16.0,150.0
regression.linear,3,2,gradient_projection,3.0,True,2.9704992201241427,0.009600376673467137,7,0.0,3.224313638806694,0.0004843540914887317,3.2488883260956056,0.00037862041781623693,2.7261452414892835,3.446041953333708e-05,3.0356982329981004,8.989865187124135e-05,1.6357444235076688,0.0006195048827986701,1.6556202336399224,0.0006250265095285494,1.845775959040792,0.0006171156514145016,3.0336956895296545,0.0008391390695381277,1.4695171657946453,0.00012149968743545899,1.0,0.0,16.0,150.0
regression.linear,3,2,loss,3.0,True,2.9704992201241427,0.009600376673467137,7,0.0,3.2066175307442415,0.00037369361210039877,3.24593345165631,0.0003794814600479545,2.5734025526124964,0.00021121711754419167,4.957051801298461,0.0002922768702322194,2.628932645928524,0.0008043369624447307,2.6988131118958654,0.00021204529029026265,3.0888785896378845,0.000258785270379336,5.151686095226802,0.002071980581870695,1.3369496824262717,5.719783929984514e-05,1.0,0.0,16.0,150.0
regression.linear,4,0,weight_fro,4.0,True,3.555239673973573,0.002683720118670907,7,0.0,4.412339783699702,0.0009826883573702083,4.448039619187845,0.0010780633506153735,15.18985101265066,0.008013751768038806,6.895447271036431,0.00017345106415977122,3.679063814364305,0.0016832581344178963,3.8207803290202995,0.0016856448705042449,5.465996008588194,0.0024735152604683816,8.090770479602794,0.0040200361961505214,1.6787314900358614,0.0001248433428559847,1.0,0.0,16.0,150.0
regression.linear,4,0,weight_trace,4.0,True,3.555239673973573,0.002683720118670907,7,0.0,4.978067642126924,0.0010985917299419958,5.012963657336189,0.0010699247664521772,13.62959988034042,0.00513202841631072,6.744669633550278,0.0001896132285129398,3.6377582823168604,0.0019471261168773771,3.744628027996657,0.0012789899752039583,4.629451634045692,0.0013962399721710015,7.117272304146478,0.003905136223703094,1.5558824720070987,0.00010358823221172317,1.0,0.0,16.0,150.0
regression.linear,4,0,weight_projection,4.0,True,3.555239673973573,0.002683720118670907,7,0.0,5.046408181428539,0.001373829996976906,5.111712975438953,0.001507771898395208,1.3478212330009844,0.00019758620456493766,2.7441416464545996,3.3604519814999196e-05,1.4497789166177544,0.000596947958527352,1.467510281143886,0.00022428383780529173,1.6921538994425398,0.00032957639636944897,2.8129138029596326,0.0008798206762258651,1.4038420823304503,8.004508556076505e-05,1.0,0.0,16.0,150.0
regression.linear,4,0,gradient_fro,4.0,True,3.555239673973573,0.002683720118670907,7,0.0,5.3062331375724066,0.0031748781938500926,5.486603714330645,0.0051074496384943486,5.672131887222695,0.021025380169038325,7.302123527651128,0.0010820987758446028,3.7849958023168244,0.0016559684048310206,3.879423365869302,0.001175153345740801,4.282223897045971,0.0014525878331576652,6.088798907097018,0.005699669179615012,1.7332525389842828,0.0001476572633228114,1.0,0.0,16.0,150.0
regression.linear,4,0,gradient_projection,4.0,True,3.555239673973573,0.002683720118670907,7,0.0,4.719548802475287,0.001028844768420312,4.7814402338704545,0.0008444222759217818,2.3317073987408623,0.00014129226257439826,2.335565471828153,1.2222832452406057e-05,1.1842487086283573,0.0001757261285926043,1.231160116149196,0.00024147068575570835,1.4250476076225906,0.00018239562272876297,2.0913599082673064,0.00048698894810728083,1.4487717639691937,4.992854097936071e-05,1.0,0.0,16.0,150.0
regression.linear,4,0,loss,4.0,True,3.555239673973573,0.002683720118670907,7,0.0,5.289669420774128,0.006456094648699985,5.451582514515352,0.006655036054079715,5.560786678053883,0.007108066483207486,6.99869787867442,0.00014524592635887834,3.62028409090117,0.001480187527429798,3.703805685789063,0.0010258386910166376,4.088553300369915,0.0005948309476748603,5.8118372891617955,0.005237836692034389,1.7419116096359126,0.00014553913511277622,1.0,0.0,16.0,150.0
regression.linear,4,1,weight_fro,4.0,True,3.585383565747221,0.006829644871599372,7,0.0,5.23315774730594,0.0015942446325900156,5.30994977557216,0.0015672308412599276,3.4800114253537835,0.0030403338367576255,6.408162235040071,0.0003262054157603835,3.386569321753945,0.0038453874592274456,3.4280343116950767,0.004355746332040168,3.6563600656881716,0.0024941221194225483,4.58711883333442,0.0028202485806958734,1.6704025599626309,0.00021727098589031796,1.0,0.0,16.0,150.0
regression.linear,4,1,weight_trace,4.0,True,3.585383565747221,0.006829644871599372,7,0.0,5.681049541451865,0.0028299012723504834,5.920230553047801,0.00242503302002319,4.77757659544642,0.005760728293051041,6.892468223151611,0.0004328007616204859,3.652054473256499,0.0019007154571544305,3.7138081875128908,0.005660273057830614,3.932223042403043,0.0024868243217861766,4.800951905643339,0.0024109653768213017,1.6874705136248251,0.00022110698133424072,1.0,0.0,16.0,150.0
regression.linear,4,1,weight_projection,4.0,True,3.585383565747221,0.006829644871599372,7,0.0,5.567102810238742,0.0009592624396855284,5.830131844407269,0.0010537320546607856,1.7923520955333403,0.00164798188412661,2.377370881986382,3.76474771318307e-05,1.200307129139284,0.0005321554279622868,1.2268117938579304,0.0005863784609981942,1.3353903541608971,0.00031306810406500727,1.5533384402677048,0.0007229673128920709,1.8983883304222724,6.566689221420195e-05,1.0,0.0,16.0,150.0
regression.linear,4,1,gradient_fro,4.0,True,3.585383565747221,0.006829644871599372,7,0.0,6.431992130900867,0.016130850983848324,6.475278297018682,0.014455638155699788,8.979073414898187,0.06170661003867482,6.268985627645742,0.0013301244644361812,3.2628939260789847,0.004012467300415751,3.384365888952565,0.004505887014765949,4.181762249112962,0.0062605043902322875,7.425440327417192,0.015343014592192403,1.3983069077669776,8.948698253704064e-05,1.0,0.0,16.0,150.0
regression.linear,4,1,gradient_projection,4.0,True,3.585383565747221,0.006829644871599372,7,0.0,4.588085189537192,0.004769342860473276,4.73040814463232,0.005479846783807586,6.951274673992225,0.004599848323415265,4.413566398095195,0.0019162699484772331,2.2332118113149164,0.012966986387515915,2.3956855044676915,0.006722554377683284,2.561316364791793,0.0035617488141727795,3.884050346797858,0.01905402161924055,1.8479098516929215,0.00011412428287742634,1.0,0.0,16.0,150.0
regression.linear,4,1,loss,4.0,True,3.585383565747221,0.006829644871599372,7,0.0,6.484398175756545,0.0017801774099533015,6.513617817676382,0.0018005547018269074,8.523405679950544,0.0004687253041020436,5.975382883220287,7.319655088937601e-05,3.0931708243282645,0.0007411223464505745,3.2078632662891775,0.0009390460522617771,3.9614193106229396,0.0004927579269422973,7.0554166843148245,0.0026856293915671348,1.3924914906768722,7.281096303585022e-05,1.0,0.0,16.0,150.0
regression.linear,4,2,weight_fro,4.0,True,3.4812204675887353,0.0027809491221344462,7,0.0,4.301049299956921,0.0023809494599595403,4.475019362959819,0.00582045814148109,6.056621706565026,0.037873044587660186,4.280528414470989,9.665874047582783e-05,3.1834422223845773,0.0045056125451007146,3.4157709457744567,0.005051221100341019,3.744115376762177,0.0036206920254198225,6.46550589945146,0.005435905984200576,1.5038393106876777,4.294329712913495e-05,1.0,0.0,16.0,150.0
regression.linear,4,2,weight_trace,4.0,True,3.4812204675887353,0.0027809491221344462,7,0.0,3.806197669329863,0.0028846800262765596,3.9951577522126134,0.0049404326771820715,6.322027363395577,0.07199802180502622,4.521665441780637,0.00013165796095715394,3.5694122666257764,0.00523860818071832,3.7980823047441805,0.0046761437198762235,4.1994408626539395,0.003414030101121009,7.3414475395911944,0.004813322144838199,1.536248704603111,3.863422844233313e-05,1.0,0.0,16.0,150.0
regression.linear,4,2,weight_projection,4.0,True,3.4812204675887353,0.0027809491221344462,7,0.0,4.75186403862128,0.007505092518268579,4.902490327357999,0.01217175225040143,6.123233534006117,0.0726548444067354,3.6595083408504046,7.014808740601132e-05,2.0319240491497865,0.001510421661363984,2.2514533851537233,0.003977475356286197,2.381754447083538,0.0028598051922651803,3.9188925461965893,0.004618264076975995,1.422948260320694,9.796195088421012e-05,1.0,0.0,16.0,150.0
