observer,k,seed,MG,error
latent_projection,17,0,1.1844548094815521,-15.815545190518447
gradient_fro,17,0,1.5100240564266734,-15.489975943573327
gradient_projection,17,0,1.3744982209665615,-15.625501779033439
output_fro,17,0,1.2607757021200874,-15.739224297879913
loss,17,0,1.5099526998556916,-15.490047300144308
latent_fro,18,0,1.3389662911042488,-16.66103370889575
latent_projection,18,0,1.3577253664065394,-16.64227463359346
gradient_fro,18,0,1.4675407555437074,-16.53245924445629
gradient_projection,18,0,1.231173316325756,-16.768826683674245
output_fro,18,0,1.2650204540935854,-16.734979545906416
loss,18,0,1.4675781264306358,-16.532421873569366
latent_fro,19,0,1.468671313628182,-17.53132868637182
latent_projection,19,0,1.276542908772944,-17.723457091227054
gradient_fro,19,0,1.4383457672362692,-17.56165423276373
gradient_projection,19,0,1.2894997490360958,-17.710500250963904
output_fro,19,0,1.2606950255332814,-17.73930497446672
loss,19,0,1.4386096210110981,-17.561390378988904
latent_fro,20,0,1.4091312495263546,-18.590868750473646
latent_projection,20,0,1.2734295280230257,-18.726570471976974
gradient_fro,20,0,1.4827811670133824,-18.517218832986618
gradient_projection,20,0,1.2319170248855196,-18.76808297511448
output_fro,20,0,1.2061567140196017,-18.793843285980397
loss,20,0,1.4825787376062824,-18.517421262393718
latent_fro,1,1,1.1575835012660487,0.1575835012660487
latent_projection,1,1,1.1862559257770922,0.18625592577709216
gradient_fro,1,1,1.157578143158386,0.15757814315838603
gradient_projection,1,1,1.18471391288092,0.1847139128809201
output_fro,1,1,1.1858351336655701,0.18583513366557014
loss,1,1,1.1502848180883747,0.15028481808837468
latent_fro,2,1,1.3021602481408139,-0.6978397518591861
latent_projection,2,1,1.1851088311629663,-0.8148911688370337
gradient_fro,2,1,1.3162729630679817,-0.6837270369320183
gradient_projection,2,1,1.184573660435845,-0.815426339564155
output_fro,2,1,1.1866519941356874,-0.8133480058643126
loss,2,1,1.316191932357276,-0.6838080676427241
latent_fro,3,1,1.2157862397321473,-1.7842137602678527
latent_projection,3,1,1.1864710120442787,-1.8135289879557213
gradient_fro,3,1,1.2819463462921403,-1.7180536537078597
gradient_projection,3,1,1.1855735148157989,-1.8144264851842011
output_fro,3,1,1.186182966190966,-1.813817033809034
loss,3,1,1.2825144321078135,-1.7174855678921865
latent_fro,4,1,1.3745185668578577,-2.6254814331421423
latent_projection,4,1,1.1826522686420764,-2.8173477313579234
gradient_fro,4,1,1.3631427350601417,-2.6368572649398585
gradient_projection,4,1,1.1844925114738245,-2.8155074885261753
output_fro,4,1,1.1854638805927646,-2.8145361194072356
loss,4,1,1.3633977188349977,-2.6366022811650023
latent_fro,5,1,1.3763192457340752,-3.6236807542659246
latent_projection,5,1,1.1859718449745482,-3.8140281550254516
gradient_fro,5,1,1.3365140309522492,-3.663485969047751
gradient_projection,5,1,1.184596536537193,-3.8154034634628067
output_fro,5,1,1.1870177356449212,-3.812982264355079
loss,5,1,1.336721013064969,-3.663278986935031
latent_fro,6,1,1.3532095586990076,-4.646790441300992
latent_projection,6,1,1.1857823481044283,-4.8142176518955715
gradient_fro,6,1,1.2945430577276453,-4.705456942272354
gradient_projection,6,1,1.1829539273047995,-4.8170460726952005
output_fro,6,1,1.1835985928878936,-4.816401407112107
loss,6,1,1.2943238918976956,-4.705676108102304
latent_fro,7,1,1.3751052848658347,-5.6248947151341655
