observer,k,seed,MG,error
loss,18,2,1.4527887621340607,-16.547211237865938
latent_fro,19,2,1.3850270413031898,-17.61497295869681
latent_projection,19,2,1.22996636575048,-17.77003363424952
gradient_fro,19,2,1.4855939270625238,-17.514406072937476
gradient_projection,19,2,1.2988108081828533,-17.701189191817146
output_fro,19,2,1.3076247415935587,-17.692375258406443
loss,19,2,1.4857268413216376,-17.514273158678364
latent_fro,20,2,1.4600488260472373,-18.539951173952762
latent_projection,20,2,1.2882260192988577,-18.711773980701143
gradient_fro,20,2,1.4622977675547033,-18.537702232445298
gradient_projection,20,2,1.233851174358721,-18.766148825641277
output_fro,20,2,1.3573400746280841,-18.642659925371916
loss,20,2,1.4623711873388288,-18.537628812661172
