cfg_id,seed,k,observer,MG,error,functional_rank,jacobian_ratio,window,cycles,max_E,kn,tau,eta
1,0,12,gradient_fro,15.575972276055959,3.5759722760559587,12,0.12509399482662198,3000,600.0,31,30,2,0.2
1,0,12,output_fro,9.582545579507329,-2.417454420492671,12,0.12509399482662198,3000,600.0,31,30,2,0.2
1,0,12,loss,14.362716399065775,2.362716399065775,12,0.12509399482662198,3000,600.0,31,30,2,0.2
1,0,14,parameter_fro,6.273901851206525,-7.726098148793475,14,0.14106481947859645,3000,600.0,31,30,2,0.2
1,0,14,parameter_projection,6.675733930286891,-7.324266069713109,14,0.14106481947859645,3000,600.0,31,30,2,0.2
1,0,14,latent_fro,6.677682019570272,-7.322317980429728,14,0.14106481947859645,3000,600.0,31,30,2,0.2
1,0,14,latent_projection,7.144268837910713,-6.855731162089287,14,0.14106481947859645,3000,600.0,31,30,2,0.2
1,0,14,gradient_fro,16.12350545880729,2.1235054588072906,14,0.14106481947859645,3000,600.0,31,30,2,0.2
1,0,14,output_fro,6.92941037304461,-7.07058962695539,14,0.14106481947859645,3000,600.0,31,30,2,0.2
1,0,14,loss,15.226776859621316,1.2267768596213156,14,0.14106481947859645,3000,600.0,31,30,2,0.2
1,0,13,parameter_fro,8.176203346310956,-4.823796653689044,13,0.10482245433417738,3000,600.0,31,30,2,0.2
1,0,13,parameter_projection,7.322698078438377,-5.677301921561623,13,0.10482245433417738,3000,600.0,31,30,2,0.2
1,0,13,latent_fro,6.943603434531173,-6.056396565468827,13,0.10482245433417738,3000,600.0,31,30,2,0.2
1,0,13,latent_projection,9.20883217306693,-3.7911678269330693,13,0.10482245433417738,3000,600.0,31,30,2,0.2
1,0,13,gradient_fro,16.226635195665363,3.226635195665363,13,0.10482245433417738,3000,600.0,31,30,2,0.2
1,0,13,output_fro,9.111226396429656,-3.8887736035703444,13,0.10482245433417738,3000,600.0,31,30,2,0.2
1,0,13,loss,15.652622950546574,2.652622950546574,13,0.10482245433417738,3000,600.0,31,30,2,0.2
1,0,16,parameter_fro,7.100098153001419,-8.899901846998581,16,0.09713481163523295,3000,600.0,31,30,2,0.2
1,0,16,parameter_projection,7.907208544332825,-8.092791455667175,16,0.09713481163523295,3000,600.0,31,30,2,0.2
1,0,16,latent_fro,8.0240319075199,-7.9759680924801,16,0.09713481163523295,3000,600.0,31,30,2,0.2
1,0,16,latent_projection,8.539218670078201,-7.460781329921799,16,0.09713481163523295,3000,600.0,31,30,2,0.2
1,0,16,gradient_fro,17.773614839179775,1.7736148391797748,16,0.09713481163523295,3000,600.0,31,30,2,0.2
1,0,16,output_fro,7.7114482221761715,-8.288551777823828,16,0.09713481163523295,3000,600.0,31,30,2,0.2
1,0,16,loss,16.109144702314158,0.10914470231415763,16,0.09713481163523295,3000,600.0,31,30,2,0.2
1,0,15,parameter_fro,9.1489830640767,-5.851016935923299,15,0.09191036952427778,3000,600.0,31,30,2,0.2
1,0,15,parameter_projection,8.305374877298378,-6.694625122701622,15,0.09191036952427778,3000,600.0,31,30,2,0.2
1,0,15,latent_fro,8.927639023102472,-6.072360976897528,15,0.09191036952427778,3000,600.0,31,30,2,0.2
1,0,15,latent_projection,9.619144141794905,-5.380855858205095,15,0.09191036952427778,3000,600.0,31,30,2,0.2
1,0,15,gradient_fro,16.884407832668003,1.8844078326680034,15,0.09191036952427778,3000,600.0,31,30,2,0.2
1,0,15,output_fro,10.38664247444851,-4.613357525551489,15,0.09191036952427778,3000,600.0,31,30,2,0.2
1,0,15,loss,15.479522629792386,0.47952262979238647,15,0.09191036952427778,3000,600.0,31,30,2,0.2
1,0,18,parameter_fro,6.884092803229017,-11.115907196770983,18,0.07618794713662905,3000,600.0,31,30,2,0.2
1,0,18,parameter_projection,7.365063415717622,-10.634936584282379,18,0.07618794713662905,3000,600.0,31,30,2,0.2
1,0,18,latent_fro,5.887716331984201,-12.112283668015799,18,0.07618794713662905,3000,600.0,31,30,2,0.2
1,0,18,latent_projection,6.231677609736737,-11.768322390263263,18,0.07618794713662905,3000,600.0,31,30,2,0.2
1,0,18,gradient_fro,18.12984306691442,0.1298430669144217,18,0.07618794713662905,3000,600.0,31,30,2,0.2
1,0,18,output_fro,8.057927801802139,-9.942072198197861,18,0.07618794713662905,3000,600.0,31,30,2,0.2
