run,lr,seed,column,segment,subsample,tau,t_grok,eta_lam_over_2,start_sample,n_samples,MG,MG_2E,ident_ratio,PRdelay,roughness,acorr,crossings,rises,degenerate
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,4,802.0,0.9735302057833906,20000,8000,7.67313723402298,14.806804819364116,1.9296937312303217,1.0000000259026862,0.008108754077854411,1711.0,132.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,4,802.0,0.9735302057833906,22000,8000,7.529821757741898,14.779261759127296,1.962763825575523,1.0000000197520253,0.008182363863263476,1715.0,146.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,1,802.0,0.9735302057833906,0,8000,2.871530096902821,3.6382961692442484,1.2670235193315393,1.336302570617933,0.31002149711342186,569.0,16.0,0.42117764720590073,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,1,802.0,0.9735302057833906,2000,8000,2.6951259559837086,3.4394304072360264,1.276166852090833,1.002636232836806,0.011406878571507365,944.0,10.0,0.49406175771971494,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,1,802.0,0.9735302057833906,4000,8000,3.058123397630355,4.059254082933554,1.327367654973944,1.0012115139796292,0.009440137840085402,1394.0,38.0,0.4983122890361295,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,1,802.0,0.9735302057833906,6000,8000,3.7002968846547555,5.306501598006052,1.434074552237221,1.0003690453100658,0.008350309941422308,1552.0,76.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,1,802.0,0.9735302057833906,8000,8000,4.438552619431737,7.391824864737533,1.6653683077624302,1.0000930449645173,0.007986402402378948,1621.0,102.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,1,802.0,0.9735302057833906,10000,8000,4.9558681368917155,9.01705591425462,1.81947050752445,1.0000365475689053,0.00796076549966095,1657.0,52.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,1,802.0,0.9735302057833906,12000,8000,5.140117669344458,9.866401810770048,1.919489483599381,1.0000318938174366,0.00794789946830908,1676.0,74.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,1,802.0,0.9735302057833906,14000,8000,5.109431529380164,10.074621296786075,1.9717695087712133,1.0000317861135104,0.007957174094184413,1688.0,96.0,0.5000625078134767,False
