run,lr,column,segment,subsample,tau,MG,ident,PRdelay,crossings,rises,degen,eta_lam,n,admissible
eos_lr100000_s1,100000.0,train_loss,post,10,4,16.823483051173156,0.9830196956402824,1.0002045651917129,2.0,0.0,0.0,0.23794357275619404,6,False
eos_lr100000_s1,100000.0,train_loss,post,50,1,4.55655552623869,0.9622185977283808,1.0003085383343584,2.0,0.0,0.0,0.23794357275619404,6,False
eos_lr100000_s1,100000.0,train_loss,post,50,4,,,1.0015578197229988,2.0,0.0,1.0,0.23794357275619404,6,False
eos_lr100000_s1,100000.0,weight_norm,all,1,1,25.244634385378596,1.000541872727411,1.0000008698658793,2.0,0.638329791223903,0.0,0.23794357275619404,12,False
eos_lr100000_s1,100000.0,weight_norm,all,1,4,27.43668185781656,1.0019661039636665,1.0000139655028961,2.0,0.638329791223903,0.0,0.23794357275619404,12,False
eos_lr100000_s1,100000.0,weight_norm,all,10,1,16.20267813382005,1.0013396175997173,1.0000836214472373,2.0,0.639549436795995,0.0,0.23794357275619404,12,False
eos_lr100000_s1,100000.0,weight_norm,all,10,4,16.744379045937315,0.9920019274324554,1.000980767650339,2.0,0.639549436795995,0.0,0.23794357275619404,12,False
eos_lr100000_s1,100000.0,weight_norm,all,50,1,4.940221546182478,0.9875348918083866,1.001458228019221,2.0,0.6415094339622642,0.0,0.23794357275619404,12,False
eos_lr100000_s1,100000.0,weight_norm,all,50,4,,,1.0089700650630284,2.0,0.6415094339622642,1.0,0.23794357275619404,12,False
eos_lr100000_s1,100000.0,weight_norm,post,1,1,26.290043075813323,1.0496976351292533,1.0000005894677841,2.0,0.010126265783222902,0.0,0.23794357275619404,6,False
eos_lr100000_s1,100000.0,weight_norm,post,1,4,29.590835517255304,1.007585452666023,1.0000087228118768,2.0,0.010126265783222902,0.0,0.23794357275619404,6,False
eos_lr100000_s1,100000.0,weight_norm,post,10,1,16.704287483564173,1.005007693474989,1.0000474455762776,2.0,0.010638297872340425,0.0,0.23794357275619404,6,False
eos_lr100000_s1,100000.0,weight_norm,post,10,4,16.86946475517906,0.9901913779593757,1.0003740970936117,2.0,0.010638297872340425,0.0,0.23794357275619404,6,False
eos_lr100000_s1,100000.0,weight_norm,post,50,1,5.26534734014203,0.9872560197869499,1.000505523413929,2.0,0.009433962264150943,0.0,0.23794357275619404,6,False
eos_lr100000_s1,100000.0,weight_norm,post,50,4,,,1.0015915945043035,2.0,0.009433962264150943,1.0,0.23794357275619404,6,False
eos_lr100000_s2,100000.0,train_loss,all,1,1,22.97969594137036,0.9999964883198887,1.0000006489939584,2.0,0.0,0.0,0.22839619759906782,12,False
eos_lr100000_s2,100000.0,train_loss,all,1,4,22.9946045439194,0.9997470869728208,1.0000101999955673,2.0,0.0,0.0,0.22839619759906782,12,False
eos_lr100000_s2,100000.0,train_loss,all,10,1,16.486600400353588,0.9944392744136334,1.0000612994507565,2.0,0.0,0.0,0.22839619759906782,12,False
eos_lr100000_s2,100000.0,train_loss,all,10,4,15.857168757961764,0.9935761692725125,1.0007742131288506,2.0,0.0,0.0,0.22839619759906782,12,False
eos_lr100000_s2,100000.0,train_loss,all,50,1,4.316905541817358,0.952146395488126,1.0011008760956952,2.0,0.0,0.0,0.22839619759906782,12,False
eos_lr100000_s2,100000.0,train_loss,all,50,4,,,1.003753905781246,2.0,0.0,1.0,0.22839619759906782,12,False
eos_lr100000_s2,100000.0,train_loss,post,1,1,25.529540982913787,0.9999658698045069,1.0000001384843884,2.0,0.0,0.0,0.22839619759906782,6,False
eos_lr100000_s2,100000.0,train_loss,post,1,4,25.542687842931016,0.9998216362088075,1.0000021607650385,2.0,0.0,0.0,0.22839619759906782,6,False
eos_lr100000_s2,100000.0,train_loss,post,10,1,16.962851811559954,0.9948855819253845,1.000012934114249,2.0,0.0,0.0,0.22839619759906782,6,False
eos_lr100000_s2,100000.0,train_loss,post,10,4,16.721515496838258,0.9818076801387692,1.0001780572676682,2.0,0.0,0.0,0.22839619759906782,6,False
eos_lr100000_s2,100000.0,train_loss,post,50,1,4.507824206423187,0.9539403219018586,1.000268053520092,2.0,0.0,0.0,0.22839619759906782,6,False
eos_lr100000_s2,100000.0,train_loss,post,50,4,,,1.001337490549025,2.0,0.0,1.0,0.22839619759906782,6,False
eos_lr100000_s2,100000.0,weight_norm,all,1,1,26.544799171578106,1.000918744755723,1.0000008009760317,2.0,0.6273284160520065,0.0,0.22839619759906782,12,False
eos_lr100000_s2,100000.0,weight_norm,all,1,4,27.743668099230476,1.0028674553798442,1.0000125373611057,2.0,0.6273284160520065,0.0,0.22839619759906782,12,False
eos_lr100000_s2,100000.0,weight_norm,all,10,1,16.27446603380001,1.0006807824670245,1.0000761153956512,2.0,0.6282853566958698,0.0,0.22839619759906782,12,False
eos_lr100000_s2,100000.0,weight_norm,all,10,4,16.75535796880513,0.9921200357671778,1.0010617031044067,2.0,0.6282853566958698,0.0,0.22839619759906782,12,False
eos_lr100000_s2,100000.0,weight_norm,all,50,1,4.863148550738405,0.9864577595290578,1.0015834998696054,2.0,0.628930817610063,0.0,0.22839619759906782,12,False
eos_lr100000_s2,100000.0,weight_norm,all,50,4,,,1.0085492869858563,2.0,0.628930817610063,1.0,0.22839619759906782,12,False
eos_lr100000_s2,100000.0,weight_norm,post,1,1,26.50920691518074,1.023003610379056,1.000000508730774,2.0,0.006000750093761721,0.0,0.22839619759906782,6,False
eos_lr100000_s2,100000.0,weight_norm,post,1,4,29.523691066077728,1.0180051887243908,1.000007600626987,2.0,0.006000750093761721,0.0,0.22839619759906782,6,False
eos_lr100000_s2,100000.0,weight_norm,post,10,1,16.74334802382882,1.0046055785702737,1.0000420284985618,2.0,0.006257822277847309,0.0,0.22839619759906782,6,False
eos_lr100000_s2,100000.0,weight_norm,post,10,4,16.88771174519885,0.9901500106559671,1.000353468398247,2.0,0.006257822277847309,0.0,0.22839619759906782,6,False
eos_lr100000_s2,100000.0,weight_norm,post,50,1,5.241189384999792,0.9878943963895741,1.0004812774211533,2.0,0.006289308176100629,0.0,0.22839619759906782,6,False
eos_lr100000_s2,100000.0,weight_norm,post,50,4,,,1.0015547729590977,2.0,0.006289308176100629,1.0,0.22839619759906782,6,False
eos_lr1e+06_s1,1000000.0,train_loss,all,1,1,3.3841554035633203,1.309097819119292,1.0004691652488382,12.5,0.46537067133391674,0.0,0.9784497478904086,12,False
eos_lr1e+06_s1,1000000.0,train_loss,all,1,4,6.768356124082036,2.017715957512763,1.007454161471725,12.5,0.46537067133391674,0.0,0.9784497478904086,12,False
eos_lr1e+06_s1,1000000.0,train_loss,all,10,1,3.86517312598576,1.3720336982724777,1.0423752163702273,8.0,0.4549436795994994,0.0,0.9784497478904086,12,False
eos_lr1e+06_s1,1000000.0,train_loss,all,10,4,8.55549315364546,2.01667107389574,1.4861655473872846,8.0,0.4549436795994994,0.0,0.9784497478904086,12,False
eos_lr1e+06_s1,1000000.0,train_loss,all,50,1,4.359799103231561,1.3469338366165335,1.686201873536588,8.0,0.4559748427672956,0.0,0.9784497478904086,12,False
eos_lr1e+06_s1,1000000.0,train_loss,all,50,4,,,3.312755070259626,8.0,0.4559748427672956,1.0,0.9784497478904086,12,False
eos_lr1e+06_s1,1000000.0,train_loss,post,1,1,3.492211351497677,1.2981515073056895,1.0004781609769235,11.0,0.4614326790848856,0.0,0.9784497478904086,11,False
eos_lr1e+06_s1,1000000.0,train_loss,post,1,4,6.396154578744955,1.921011443795115,1.007636901129332,11.0,0.4614326790848856,0.0,0.9784497478904086,11,False
eos_lr1e+06_s1,1000000.0,train_loss,post,10,1,3.679010341777043,1.4177372542554343,1.045029351402858,8.0,0.4518147684605757,0.0,0.9784497478904086,11,False
eos_lr1e+06_s1,1000000.0,train_loss,post,10,4,7.789610103745025,2.2186351172647316,1.52411890065656,8.0,0.4518147684605757,0.0,0.9784497478904086,11,False
eos_lr1e+06_s1,1000000.0,train_loss,post,50,1,4.368818341304421,1.408556441506936,1.7125205907772847,8.0,0.4528301886792453,0.0,0.9784497478904086,11,False
