run,column,smooth,kind,i,depth
mod_wd1,weight_norm,101,surrogate,9,1.2426453704944966
mod_wd1,weight_norm,101,surrogate,10,1.281422739332804
mod_wd1,weight_norm,101,surrogate,11,1.2369293422560046
mod_wd1,weight_norm,101,surrogate,12,1.26735132774323
mod_wd1,weight_norm,101,surrogate,13,1.4342024256523898
mod_wd1,weight_norm,101,surrogate,14,1.7954917853037384
mod_wd1,weight_norm,101,surrogate,15,1.4632889055968072
mod_wd1,weight_norm,101,surrogate,16,1.296374570707488
mod_wd1,weight_norm,101,surrogate,17,1.2881268664168635
mod_wd1,weight_norm,101,surrogate,18,1.204619669880996
mod_wd1,weight_norm,101,surrogate,19,1.2167635088975135
mod_wd1,weight_norm,101,surrogate,20,1.5059956946816946
mod_wd1,weight_norm,101,surrogate,21,1.2939340117760008
mod_wd1,weight_norm,101,surrogate,22,1.3830088968940895
mod_wd1,weight_norm,101,surrogate,23,1.3265491133026381
mod_wd1,weight_norm,101,surrogate,24,1.4401960757260592
mod_wd1,weight_norm,101,surrogate,25,1.282368769143279
mod_wd1,weight_norm,101,surrogate,26,1.882555074117234
mod_wd1,weight_norm,101,surrogate,27,1.4051571861614685
mod_wd1,weight_norm,101,surrogate,28,1.4463907224605228
mod_wd1,weight_norm,101,surrogate,29,1.3737356685170958
mod_wd1,weight_norm,101,surrogate,30,1.266749332406762
mod_wd1,weight_norm,101,surrogate,31,1.437041783311561
mod_wd1,weight_norm,101,surrogate,32,1.3761182700531343
mod_wd1,weight_norm,101,surrogate,33,1.2083725212893228
mod_wd1,weight_norm,101,surrogate,34,1.3758017372214348
mod_wd1,weight_norm,101,surrogate,35,1.2664703796038612
mod_wd1,weight_norm,101,surrogate,36,1.5212880306939107
mod_wd1,weight_norm,101,surrogate,37,1.3892222581440805
mod_wd1,weight_norm,101,surrogate,38,1.5223073289654852
mod_wd1,weight_norm,201,observed,-1,2.3592533361077885
mod_wd1,weight_norm,201,surrogate,0,1.3325106330439809
mod_wd1,weight_norm,201,surrogate,1,1.3639305754961604
mod_wd1,weight_norm,201,surrogate,2,1.3940490605606592
mod_wd1,weight_norm,201,surrogate,3,1.4702298580199475
mod_wd1,weight_norm,201,surrogate,4,1.2428915042244966
mod_wd1,weight_norm,201,surrogate,5,1.3026672155984753
mod_wd1,weight_norm,201,surrogate,6,1.5304502373699904
mod_wd1,weight_norm,201,surrogate,7,1.4318380529532189
mod_wd1,weight_norm,201,surrogate,8,1.1268730909864304
mod_wd1,weight_norm,201,surrogate,9,1.33818491470356
mod_wd1,weight_norm,201,surrogate,10,1.4453063576255551
mod_wd1,weight_norm,201,surrogate,11,1.2413791178735876
mod_wd1,weight_norm,201,surrogate,12,1.3071786604453293
mod_wd1,weight_norm,201,surrogate,13,1.5479207009307094
mod_wd1,weight_norm,201,surrogate,14,1.390189761942738
mod_wd1,weight_norm,201,surrogate,15,1.2848839477738685
mod_wd1,weight_norm,201,surrogate,16,1.2838389360679585
mod_wd1,weight_norm,201,surrogate,17,1.3422282087961428
mod_wd1,weight_norm,201,surrogate,18,1.3657995912283278
mod_wd1,weight_norm,201,surrogate,19,1.5447876275918597
mod_wd1,weight_norm,201,surrogate,20,1.6860666963791013
mod_wd1,weight_norm,201,surrogate,21,1.2845895798090994
mod_wd1,weight_norm,201,surrogate,22,1.8149919094522493
mod_wd1,weight_norm,201,surrogate,23,1.3021762191041295
mod_wd1,weight_norm,201,surrogate,24,1.403693640246963
mod_wd1,weight_norm,201,surrogate,25,1.2726949413830948
