observer,k,seed,MG,error
loss,8,1,1.3295922981185706,-6.670407701881429
latent_fro,9,1,1.3295686943288176,-7.670431305671182
latent_projection,9,1,15.800202392194285,6.800202392194285
gradient_fro,9,1,1.3295686946185044,-7.670431305381496
output_fro,9,1,1.3295686943288176,-7.670431305671182
parameter_fro,9,1,1.3295686943288176,-7.670431305671182
parameter_projection,9,1,15.67818087802334,6.6781808780233405
loss,9,1,1.3295922981185706,-7.670407701881429
latent_fro,10,1,1.3295686943288174,-8.670431305671183
latent_projection,10,1,15.980877749754642,5.980877749754642
gradient_fro,10,1,1.3295686946185088,-8.670431305381491
output_fro,10,1,1.3295686943288174,-8.670431305671183
parameter_fro,10,1,1.3295686943288174,-8.670431305671183
parameter_projection,10,1,16.13412691906444,6.134126919064439
loss,10,1,1.329592298118571,-8.670407701881429
latent_fro,11,1,1.3295686943288174,-9.670431305671183
latent_projection,11,1,16.18380138047395,5.183801380473948
gradient_fro,11,1,1.3295686946185081,-9.670431305381491
output_fro,11,1,1.3295686943288174,-9.670431305671183
parameter_fro,11,1,1.3295686943288174,-9.670431305671183
parameter_projection,11,1,16.24066411545062,5.24066411545062
loss,11,1,1.3295922981185706,-9.67040770188143
latent_fro,12,1,1.3295686943288174,-10.670431305671183
latent_projection,12,1,15.856607738653343,3.8566077386533433
gradient_fro,12,1,1.3295686946184995,-10.6704313053815
output_fro,12,1,1.3295686943288174,-10.670431305671183
parameter_fro,12,1,1.3295686943288174,-10.670431305671183
parameter_projection,12,1,15.97860025905326,3.9786002590532608
loss,12,1,1.329592298118571,-10.670407701881429
latent_fro,13,1,1.3295686943288174,-11.670431305671183
latent_projection,13,1,15.791788849543012,2.7917888495430123
gradient_fro,13,1,1.3295686946184966,-11.670431305381504
output_fro,13,1,1.3295686943288174,-11.670431305671183
parameter_fro,13,1,1.3295686943288174,-11.670431305671183
parameter_projection,13,1,15.71452234180817,2.71452234180817
loss,13,1,1.3295922981185706,-11.67040770188143
latent_fro,14,1,1.3295686943288176,-12.670431305671183
latent_projection,14,1,16.136548736601277,2.136548736601277
gradient_fro,14,1,1.3295686946184972,-12.670431305381502
output_fro,14,1,1.3295686943288176,-12.670431305671183
parameter_fro,14,1,1.3295686943288176,-12.670431305671183
parameter_projection,14,1,15.836278443724584,1.8362784437245843
loss,14,1,1.3295922981185708,-12.670407701881429
latent_fro,15,1,1.3295686943288174,-13.670431305671183
latent_projection,15,1,15.810076071303145,0.8100760713031452
gradient_fro,15,1,1.3295686946185017,-13.670431305381499
output_fro,15,1,1.3295686943288174,-13.670431305671183
parameter_fro,15,1,1.3295686943288174,-13.670431305671183
parameter_projection,15,1,15.694298162999639,0.6942981629996385
loss,15,1,1.3295922981185708,-13.670407701881429
latent_fro,16,1,1.3295686943288174,-14.670431305671183
latent_projection,16,1,16.19462362225998,0.19462362225997865
gradient_fro,16,1,1.3295686946184961,-14.670431305381504
output_fro,16,1,1.3295686943288174,-14.670431305671183
parameter_fro,16,1,1.3295686943288174,-14.670431305671183
parameter_projection,16,1,15.828239687182872,-0.17176031281712767
loss,16,1,1.3295922981185704,-14.67040770188143
latent_fro,17,1,1.3295686943288174,-15.670431305671183
latent_projection,17,1,15.967217465605026,-1.0327825343949737
gradient_fro,17,1,1.3295686946184984,-15.670431305381502
output_fro,17,1,1.3295686943288174,-15.670431305671183
parameter_fro,17,1,1.3295686943288174,-15.670431305671183
parameter_projection,17,1,16.346772457415668,-0.6532275425843324
loss,17,1,1.3295922981185706,-15.67040770188143
latent_fro,18,1,1.3295686943288174,-16.670431305671183
latent_projection,18,1,16.09811561404282,-1.9018843859571817
gradient_fro,18,1,1.3295686946185028,-16.6704313053815
output_fro,18,1,1.3295686943288174,-16.670431305671183
parameter_fro,18,1,1.3295686943288174,-16.670431305671183
parameter_projection,18,1,15.773678640011296,-2.226321359988704
loss,18,1,1.3295922981185708,-16.67040770188143
latent_fro,19,1,1.3295686943288174,-17.670431305671183
latent_projection,19,1,15.82250258864149,-3.1774974113585106
gradient_fro,19,1,1.3295686946184977,-17.670431305381502
