system,observer,applicable,claims_state_only,n_cells,moves_when_silent,sd_ratio,series_correlation,rho_trained,rho_silent,mae_trained,mae_silent,MG_trained,MG_silent,survives_silence,fails_requirement_4,system_invalidated
digits_function,loss,True,True,8,1.0,1.0000000000358324,0.9892338881782852,1.0,1.0,0.46764607504488587,0.47847765882529025,5.777079906529374,5.787251797934282,True,True,True
digits_function,output_fro,True,True,8,0.0,9.946079898438306e-07,0.002254404322732063,0.8,,0.78074897283573,,5.667177867364104,,False,False,True
digits_function,output_projection,True,True,8,1.0,0.29067013912999495,-0.0010270252920069314,0.8,1.0,1.1139194370687324,9.72413123674859,4.986055144754748,14.724121032310855,True,True,True
digits_function,parameter_fro,True,True,8,0.0,1.0107212728166134e-06,0.00625298686884964,1.0,,0.39821394697855794,,5.314976419726597,,False,False,True
digits_function,parameter_projection,True,True,8,0.375,1.0052452077273496e-06,0.0023999200166900337,1.0,,0.40137296537318334,10.643538493546108,5.429974440176779,14.643538493546108,False,False,True
digits_parameter,acc_probe,True,True,8,0.0,0.0,,,,,,,,False,False,False
digits_parameter,c_norm,True,True,8,0.0,2.4301424206353223e-13,1.0182462291250424e-14,1.0,,0.6345685969288489,,5.647455275974119,,False,False,False
digits_parameter,c_proj1,True,True,8,0.0,1.1224579516442937e-13,-6.871241432498986e-15,1.0,,0.43982088970575794,,5.750755125431063,,False,False,False
digits_parameter,fn_fro,True,True,8,0.0,1.1299196539113631e-13,7.962355303705911e-14,1.0,,0.509294654733164,,5.193234354812465,,False,False,False
digits_parameter,fn_proj1,True,True,8,0.0,1.0482870913275854e-13,-2.432281301333003e-15,1.0,,0.5039113884650926,,4.70513639114308,,False,False,False
digits_parameter,g_fro,True,True,8,0.0,1.2602531276732319e-24,-7.901099640477677e-17,1.0,,1.9439416636253894,,7.5239269917340135,,False,False,False
digits_parameter,g_proj,True,True,8,0.0,2.568014673985254e-26,-9.178012562933956e-19,1.0,,0.23476181466000623,,4.802644755433891,,False,False,False
digits_parameter,loss_full,True,True,8,0.0,1.5929724312783756e-10,-4.72041840626372e-12,1.0,,2.3738432146324966,,8.127475617449758,,False,False,False
digits_parameter,loss_probe,True,True,8,0.0,4.111768459588425e-12,-1.5553742216282618e-13,1.0,,0.7441989467968407,,5.948624069026533,,False,False,False
digits_parameter,loss_step,True,False,8,1.0,0.999583725781948,0.9999867045194162,1.0,1.0,0.21510729813917573,0.21768662995365484,4.821129782633832,4.816819370378569,True,False,False
digits_parameter,margin,True,True,8,0.0,3.8944724327829646e-13,1.0434142137580183e-14,1.0,,0.48120403494574737,,4.8824541188565185,,False,False,False
digits_parameter,w_fro,True,True,8,0.0,2.49119850168254e-13,1.7855005402508548e-14,1.0,,0.6346058497368188,,5.647620765638804,,False,False,False
matrix,coord_active0,False,True,1,,,,,,,,,,False,False,False
matrix,coord_inactive,False,True,1,,,,,,,,,,False,False,False
matrix,logdet,False,True,1,,,,,,,,,,False,False,False
matrix,norm_fro,False,True,1,,,,,,,,,,False,False,False
matrix,norm_fro_sq,False,True,1,,,,,,,,,,False,False,False
matrix,norm_l1,False,True,1,,,,,,,,,,False,False,False
matrix,proj_half_active,False,True,1,,,,,,,,,,False,False,False
matrix,proj_inactive_only,False,True,1,,,,,,,,,,False,False,False
matrix,proj_rand0,False,True,1,,,,,,,,,,False,False,False
matrix,proj_rand1,False,True,1,,,,,,,,,,False,False,False
matrix,proj_rand2,False,True,1,,,,,,,,,,False,False,False
matrix,proj_rand3,False,True,1,,,,,,,,,,False,False,False
matrix,trace,False,True,1,,,,,,,,,,False,False,False
regression.linear,gradient_fro,True,True,8,1.0,0.9999999992484365,0.9844516692159788,1.0,1.0,0.5438771622730365,0.5460581731600361,5.896090353872466,5.894843352771285,True,True,True
regression.linear,gradient_projection,True,True,8,1.0,1.0000000000446168,0.9960293948319163,1.0,1.0,0.9919503502741153,0.9889374425513863,4.713633881559243,4.717143759985489,True,True,True
regression.linear,loss,True,True,8,1.0,1.0000000010045325,0.9850427522334628,1.0,1.0,0.5615521923659633,0.5637203268050639,5.928497948450354,5.928516471366499,True,True,True
regression.linear,weight_fro,True,True,8,0.0,1.003196333642356e-06,0.0014507340876205345,1.0,,0.6205011472140218,,5.896340799458809,,False,False,True
regression.linear,weight_projection,True,True,8,0.0,1.006691797232025e-06,0.005787060395748127,1.0,,0.7510907291445479,,4.919801596875517,,False,False,True
regression.linear,weight_trace,True,True,8,0.0,1.0023475258146247e-06,-0.004230591903927416,1.0,,0.9702256345010867,,6.215632624096254,,False,False,True
regression.logistic,gradient_fro,True,True,8,1.0,0.9999999986212311,0.9617047522021565,1.0,1.0,0.9482305559661666,1.7157090959610717,6.516097869590061,7.583098014806815,True,True,True
regression.logistic,gradient_projection,True,True,8,1.0,0.9999999999839015,0.9936371228843371,1.0,1.0,0.9811685487546308,0.9765784248129905,4.738048370403881,4.747368091451363,True,True,True
regression.logistic,loss,True,True,8,1.0,1.0000000002241802,0.9791840442297436,1.0,1.0,0.527523141967571,1.14212972664411,5.876075754293308,3.8717374413797048,True,True,True
regression.logistic,probability_fro,True,True,8,0.0,9.988817490876508e-07,0.007762537217877244,1.0,,0.7031510815157654,,6.085293907167248,,False,False,True
regression.logistic,weight_fro,True,True,8,0.0,1.0031963284031095e-06,0.00536041313188239,1.0,,0.567056806386104,,4.72641778037336,,False,False,True
regression.logistic,weight_projection,True,True,8,1.0,0.08944271667555895,0.0008528715480441503,1.0,1.0,0.7278418115773337,9.69443559620186,5.1804434747967,14.69443559620186,True,True,True
regression.logistic,weight_trace,True,True,8,0.0,1.0023475468202608e-06,-0.005337533552246192,1.0,,1.0979162637342137,,6.439856059684498,,False,False,True
subspace,gradient_fro,True,True,8,1.0,1.00000000033429,0.9981290555946729,1.0,1.0,2.0798991571238137,2.123161242759022,7.239465230498686,7.304097645016856,True,True,True
subspace,latent_fro,True,True,8,0.0,1.0040336592589344e-06,-0.0030696797743729027,1.0,,0.5993898689907,,5.705434085411144,,False,False,True
subspace,latent_projection,True,True,8,0.0,9.98285315342311e-07,0.0007756847340021585,1.0,,0.8249760649425807,,5.9376090861603865,,False,False,True
subspace,loss,True,True,8,1.0,0.9999999999020813,0.9975061086623248,1.0,1.0,2.1030710086945055,2.140118982990955,7.480137676526561,7.43305928461405,True,True,True
subspace,output_fro,True,True,8,0.0,9.946079837408913e-07,0.003898599908587749,1.0,,0.6607464091175402,,6.025997499064398,,False,False,True
subspace,parameter_fro,True,True,8,0.0,1.0107212787013236e-06,0.006277510813473832,1.0,,0.6670905497009045,,5.757376986960317,,False,False,True
subspace,parameter_projection,True,True,8,0.875,0.5476799998114328,-0.0007354443468488864,1.0,0.8,0.6527687198303521,9.735219495165614,5.776747246209033,14.70455349067224,False,False,True
