metric,phase,embedding_dimension,k_neighbors,lb,mg,local_median,local_iqr
train_loss,transition,9,5,10.06632575677667,6.675493282788594,7.707261185581929,5.782352754598634
train_loss,transition,9,8,8.415135467052751,6.5399012944216155,7.312144552606924,3.8586730989717974
train_loss,transition,9,10,7.765238770031087,6.219531098796022,7.042284068754289,3.270517481066644
train_loss,transition,9,15,7.038117511950461,5.275275678884758,6.4956714782263365,2.8552975604538364
train_loss,transition,12,5,12.843064104578252,8.430881313956217,9.564093559477534,8.441936720477973
train_loss,transition,12,8,10.512015963403893,8.00433995174839,8.50789528101642,5.256353753528019
train_loss,transition,12,10,9.798719580372861,7.080337001088902,8.075440704551674,4.446751710137445
train_loss,transition,12,15,8.838597536074541,6.038167154771425,7.151727157724703,4.07044431361515
train_loss,transition,15,5,13.430275986518996,9.092789692744793,10.616269823709628,8.39963434731053
train_loss,transition,15,8,11.660130526464465,8.629168330639255,9.819443804568948,5.225632417029668
train_loss,transition,15,10,10.811174940614428,8.01445118387026,9.223867568638186,5.1262035305813
train_loss,transition,15,15,9.666327897372831,6.864310752517004,7.73526267091354,4.035469389664456
train_loss,post_grok,6,5,5.9363656219132315,3.645013967004025,3.95153630123192,3.514829452703755
train_loss,post_grok,6,8,5.235446501139452,3.739532169668732,4.377211141174531,2.655505262014272
train_loss,post_grok,6,10,5.205214291031465,3.651493936955939,4.535755139731892,3.988098505971773
train_loss,post_grok,6,15,5.185259095791007,2.704724736913215,5.2613276678647,5.842033723828887
train_loss,post_grok,9,5,6.12670388897362,3.768017118640218,4.4936587429728565,4.320336831291339
train_loss,post_grok,9,8,5.993115706306027,4.037570689291355,5.199825636621787,3.293928919204048
train_loss,post_grok,9,10,5.774432771094458,3.824074720386741,5.496559517586402,3.005223071769284
train_loss,post_grok,9,15,6.368082840192584,4.465969401726616,6.492358990983224,3.8588391741053334
train_loss,post_grok,12,5,7.0355359698897795,4.7199353114732014,4.5081862945169044,2.8319183782588664
train_loss,post_grok,12,8,6.56488791537107,5.357034490423228,5.226431470536742,2.0612732477840447
train_loss,post_grok,12,10,6.522360236384381,5.856276429023509,5.969192721513059,1.9381790514208337
train_loss,post_grok,12,15,6.452151165840003,4.871746615650708,6.836416860572937,2.603601142792513
train_loss,post_grok,15,5,6.200993088511462,4.629962162932607,4.542549402469144,3.054108498555049
train_loss,post_grok,15,8,5.810858205149276,4.927242370485095,5.415770964938787,1.9872342468603117
train_loss,post_grok,15,10,6.159800584419971,5.258221592252957,6.121930947416956,1.9542579665505482
train_loss,post_grok,15,15,5.8784877896910785,5.126302239904889,5.73312990651182,2.7062209381351208
