cfg_id,seed,r,observer,family,traj_PR,upd_PR,drive_cond,max_E,tau,k_neighbors,theiler,window,stride,dither,frac_degenerate,n_windows,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd
45,92,6,w_fro,norm,5.999212227225837,5.051669169709828,8.04808008858471,20,4,20,embedding,8000,2000,1e-09,0.0,10,5.462481566136006,0.0031682477056213863,5.603890198541997,0.003924128511023661,3.215016166287998,0.01559803184438764,2.557280170806555,0.00016080042542835268,1.9804672813729098,0.002415823958607351,2.0715108134811415,0.002235452847503503,2.4840508435958193,0.002884972814332285,5.257997671213721,0.006173577863669035,0.6866653000113198,5.702212524790544e-05,2.0,0.0
46,92,6,w_fro,norm,5.999212227225837,5.051669169709828,8.04808008858471,20,4,20,autocorr,4000,2000,1e-09,0.0,12,5.20089151253732,0.007516545583677414,5.302728181321868,0.007081140037958337,14.53306086773561,0.1217848860849257,2.557308171364655,0.0003669856280541418,1.9892917782953288,0.0014167737588308656,2.106327658344067,0.0021490440428996683,2.5413584662942874,0.0035631445561982323,3.309896974105856,0.009525663864030288,0.6866829943084702,0.00023901587060131747,2.0,0.0
47,92,6,w_fro,norm,5.999212227225837,5.051669169709828,8.04808008858471,20,4,20,autocorr,8000,2000,1e-09,0.0,10,5.462481566136006,0.0031682477056213863,5.603890198541997,0.003924128511023661,3.215016166287998,0.01559803184438764,2.557280170806555,0.00016080042542835268,1.9804672813729098,0.002415823958607351,2.0715108134811415,0.002235452847503503,2.4840508435958193,0.002884972814332285,5.257997671213721,0.006173577863669035,0.6866653000113198,5.702212524790544e-05,2.0,0.0
0,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,1,5,embedding,4000,2000,1e-09,0.0,12,3.9385909140380138,0.052523192808231894,5.236322196229823,0.08768370731864666,4.175719733840504,0.09893774048683085,2.4784801215281473,0.0008022296917398678,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
1,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,1,5,embedding,8000,2000,1e-09,0.0,10,4.098414514599367,0.04215405842894693,5.41935557694042,0.05592029601747141,4.199909442112158,0.08990855234520792,2.478439175493626,0.0004207682827781158,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
2,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,1,5,autocorr,4000,2000,1e-09,0.0,12,3.9385909140380138,0.052523192808231894,5.236322196229823,0.08768370731864666,4.175719733840504,0.09893774048683085,2.4784801215281473,0.0008022296917398678,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
3,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,1,5,autocorr,8000,2000,1e-09,0.0,10,4.098414514599367,0.04215405842894693,5.41935557694042,0.05592029601747141,4.199909442112158,0.08990855234520792,2.478439175493626,0.0004207682827781158,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
4,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,1,20,embedding,4000,2000,1e-09,0.0,12,3.7968796027059204,0.029223436836013295,4.0359054788638975,0.02378707509256055,4.175719733840504,0.09893774048683085,2.4784801215281473,0.0008022296917398678,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
5,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,1,20,embedding,8000,2000,1e-09,0.0,10,3.8117827560671413,0.01596122377181797,4.069372787838928,0.012823094632459963,4.199909442112158,0.08990855234520792,2.478439175493626,0.0004207682827781158,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
6,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,1,20,autocorr,4000,2000,1e-09,0.0,12,3.7968796027059204,0.029223436836013295,4.0359054788638975,0.02378707509256055,4.175719733840504,0.09893774048683085,2.4784801215281473,0.0008022296917398678,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
