arm,observer,calibration,mae,bias,n
noise,c_proj1,isotonic,2.7482340002021397,1.756616049400866,16
noise,c_proj1,affine,9.409953794622744,9.409953794622744,16
noise,c_proj1,identity,10.853251367100132,10.853251367100132,16
noise,g_fro,isotonic,2.748313602435135,1.7567752538668568,16
noise,g_fro,affine,4.449744492978596,4.449744492978596,16
noise,g_fro,identity,11.359364832593991,11.359364832593991,16
noise,w_fro,isotonic,2.7482340002021397,1.756616049400866,16
noise,w_fro,affine,8.853367697277584,8.853367697277584,16
noise,w_fro,identity,10.883448824016284,10.883448824016284,16
noise_nopre,c_norm,isotonic,2.5731637321376244,2.199146483368824,8
noise_nopre,c_norm,affine,5.587270082878951,5.587270082878951,8
noise_nopre,c_norm,identity,6.872320351304596,6.872320351304596,8
noise_nopre,c_proj1,isotonic,2.5731637321376244,2.199146483368824,8
noise_nopre,c_proj1,affine,6.136142271452435,6.136142271452435,8
noise_nopre,c_proj1,identity,7.077902654398107,7.077902654398107,8
noise_nopre,g_fro,isotonic,2.57324333437062,2.1993056878348147,8
noise_nopre,g_fro,affine,3.0409924120214393,2.9797235920982907,8
noise_nopre,g_fro,identity,7.804129802267484,7.804129802267484,8
noise_nopre,w_fro,isotonic,2.5731637321376244,2.199146483368824,8
noise_nopre,w_fro,affine,5.586857455447487,5.586857455447487,8
noise_nopre,w_fro,identity,6.871943056362339,6.871943056362339,8
qp,c_norm,isotonic,1.207412409841898,0.04278574144095615,16
qp,c_norm,affine,0.498311662795636,0.10038075869616714,16
qp,c_norm,identity,0.5654857446051266,0.3735362751224629,16
qp,c_proj1,isotonic,1.0936667201210968,-0.18413888139655554,16
qp,c_proj1,affine,0.7287429891129301,-0.40443505483018294,16
qp,c_proj1,identity,0.6239858503282305,-0.28481834255578165,16
qp,g_fro,isotonic,1.1211476556490547,-0.17229627278855286,16
qp,g_fro,affine,0.659469323416739,-0.23924839096635286,16
qp,g_fro,identity,1.7007115771750336,1.5646499756385546,16
qp,w_fro,isotonic,1.2074203016602558,0.04277799622734868,16
qp,w_fro,affine,0.4983179254869431,0.10036280258349625,16
qp,w_fro,identity,0.5654949964313519,0.3735345828596981,16
qp_nopre,c_norm,isotonic,1.1659290126680792,0.11249805585554407,8
qp_nopre,c_norm,affine,0.5869517632995893,-0.1338893245004658,8
qp_nopre,c_norm,identity,0.790183009744339,0.0779248766384771,8
qp_nopre,c_proj1,isotonic,1.1833109890684022,-0.03959752839321817,8
qp_nopre,c_proj1,affine,0.8691138989193079,-0.47707928874818173,8
qp_nopre,c_proj1,identity,0.8348392120986485,-0.37686879432066844,8
qp_nopre,g_fro,isotonic,1.030059397480929,-0.4979743045669123,8
qp_nopre,g_fro,affine,1.164116015040282,-0.8533464780321286,8
qp_nopre,g_fro,identity,0.6746979595775411,0.20343612599084798,8
qp_nopre,w_fro,isotonic,1.1659322801285537,0.11249478450453804,8
qp_nopre,w_fro,affine,0.5869415768887197,-0.1339009961167701,8
qp_nopre,w_fro,identity,0.7901828393560446,0.0779247696510735,8
qp_slow,c_norm,isotonic,1.8026765534347091,-1.2638744146819751,16
qp_slow,c_norm,affine,1.6806336978896987,-1.4037272791591244,16
qp_slow,c_norm,identity,1.5720396185360923,-1.4385405808451293,16
qp_slow,c_proj1,isotonic,1.6923084547826175,-0.8168552227277608,16
qp_slow,c_proj1,affine,1.754791042824957,-1.508666410642085,16
qp_slow,c_proj1,identity,1.6913044152634238,-1.5420244859240406,16
qp_slow,g_fro,isotonic,1.800099258377935,-1.1666574269625145,16
qp_slow,g_fro,affine,1.793981202016558,-1.3160940937460173,16
qp_slow,g_fro,identity,1.3292895938637934,-0.7181996301464423,16
qp_slow,w_fro,isotonic,1.8026205001190228,-1.2637824662261588,16
qp_slow,w_fro,affine,1.680641012460766,-1.4037175462406866,16
qp_slow,w_fro,identity,1.5720386830269557,-1.4385389527526238,16
