seed,k,r,T,burn,eta,precondition,mode,drive_amp,f0,band,noise_amp,noise_rank,batch,gd_disp,n_groups,drive_space,eta_zero,rotate,lr_scale,amp_scale,noise_scale,r_schedule,obs_scale,traj_rank,traj_PR,upd_rank,upd_PR,func_rank,func_PR,available,traj_spec,margin_res,cycles_slow,samples_per_cycle,hess_cond,excursion,drift,drive_cond,observer,family,obs_sd,frac_degenerate,n_windows,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd,flat,arm,MG_2E,ident_ratio
1,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000006870310525,3,1.0000025144802303,10,9.032832869666874,10,1.000e+00;3.399e-07;3.600e-09;1.192e-13;8.646e-14;1.666e-15;2.207e-19;3.182e-21;6.081e-25;1.841e-25,0.08838834764831845,2298.0970388562796,11.31370849898476,3.8150697716706383,0.018260106699968214,0.001367892792450941,1.0,c_proj1,projection,0.0034301006290278417,0.0,7.0,0.9046676143631761,2.069832492507237e-08,0.9270972997259541,1.9756261309699223e-08,3.034473908007681,2.8455876864678544e-07,1.9998563118344335,1.179188245183958e-05,1.0023040236345393,1.9632978319421687e-05,1.0086971140059895,2.766454503383505e-05,1.0509637431915946,5.479428705758959e-05,1.0786168225380928,1.8066255804156502e-05,0.5485146571875618,3.4051261245260176e-05,3.0,0.0,False,qp,,
1,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000006870310525,3,1.0000025144802303,10,9.032832869666874,10,1.000e+00;3.399e-07;3.600e-09;1.192e-13;8.646e-14;1.666e-15;2.207e-19;3.182e-21;6.081e-25;1.841e-25,0.08838834764831845,2298.0970388562796,11.31370849898476,3.8150697716706383,0.018260106699968214,0.001367892792450941,1.0,fn_proj1,function,1.8950425660285902e-05,0.0,7.0,0.9046934215594186,4.6577946109418384e-08,0.9271151852723057,4.222222524859169e-08,3.0354050251249935,1.535726942798457e-07,2.051732122412388,1.240734843666516e-05,1.0290466580130002,3.599842128517322e-05,1.0356089807741262,3.987563472188088e-05,1.0790700384874052,8.685571295758835e-05,1.107451194332323,5.226270720103189e-05,0.5581830769821736,3.658469490277732e-05,3.0,0.0,False,qp,,
1,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000006870310525,3,1.0000025144802303,10,9.032832869666874,10,1.000e+00;3.399e-07;3.600e-09;1.192e-13;8.646e-14;1.666e-15;2.207e-19;3.182e-21;6.081e-25;1.841e-25,0.08838834764831845,2298.0970388562796,11.31370849898476,3.8150697716706383,0.018260106699968214,0.001367892792450941,1.0,margin,function,0.00026762245063392543,0.0,7.0,0.9047026049751017,6.387786971009391e-05,0.9271175305982738,5.59520104025289e-05,3.0380244234779705,0.0008552276357440249,2.0042800908820375,1.1877778986381487e-05,1.0045862707651207,2.409936141362645e-05,1.0109879993997346,3.142346887669921e-05,1.0533561214140439,5.6312851358178466e-05,1.0810592532331398,2.2627770121420376e-05,0.5493825616849648,3.452878922197598e-05,3.0,0.0,False,qp,,
1,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000006870310525,3,1.0000025144802303,10,9.032832869666874,10,1.000e+00;3.399e-07;3.600e-09;1.192e-13;8.646e-14;1.666e-15;2.207e-19;3.182e-21;6.081e-25;1.841e-25,0.08838834764831845,2298.0970388562796,11.31370849898476,3.8150697716706383,0.018260106699968214,0.001367892792450941,1.0,acc_probe,function,2.7755575615628914e-17,,,,,,,,,,,,,,,,,,,,,,,True,qp,,
2,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.000000517805489,3,1.000001879645032,10,8.818732532081757,10,1.000e+00;2.522e-07;6.736e-09;2.716e-13;1.122e-14;5.897e-15;1.771e-19;2.790e-21;6.010e-24;1.508e-25,0.08838834764831845,2298.0970388562796,11.31370849898476,4.050590711245793,0.01931433951477099,0.0008352044234546477,1.0,loss_step,loss*,0.002153471089320501,0.0,7.0,0.9046711008972776,1.5207698859235694e-08,0.9270997055481851,1.6180266350935083e-08,3.0346221527026063,2.584435773046887e-07,2.0038415022377096,1.242073405883217e-05,1.0043683789868563,1.8922492871426787e-05,1.0107842601677706,2.6772995164975915e-05,1.0530850663776425,6.441523371702822e-05,1.0808331993831193,2.563958290459329e-05,0.549240991329763,3.550790164342498e-05,3.0,0.0,False,qp,,
2,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.000000517805489,3,1.000001879645032,10,8.818732532081757,10,1.000e+00;2.522e-07;6.736e-09;2.716e-13;1.122e-14;5.897e-15;1.771e-19;2.790e-21;6.010e-24;1.508e-25,0.08838834764831845,2298.0970388562796,11.31370849898476,4.050590711245793,0.01931433951477099,0.0008352044234546477,1.0,loss_full,loss,3.980026548676876e-06,0.0,7.0,0.9047061109601084,1.246817221129907e-07,0.9271256065325919,1.1358375072780921e-07,3.0358240186918533,2.3954294507405787e-07,3.0060043478998852,3.1838107270704034e-05,1.5343186194815144,0.00043948500019655044,1.5573648642260978,0.0004064365298985167,1.8575733097092058,0.0006707954213287694,2.019107742635423,0.000575904115238497,0.9668861917782229,4.9886518263293687e-05,2.0,0.0,False,qp,,
2,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.000000517805489,3,1.000001879645032,10,8.818732532081757,10,1.000e+00;2.522e-07;6.736e-09;2.716e-13;1.122e-14;5.897e-15;1.771e-19;2.790e-21;6.010e-24;1.508e-25,0.08838834764831845,2298.0970388562796,11.31370849898476,4.050590711245793,0.01931433951477099,0.0008352044234546477,1.0,loss_probe,loss,0.00019017321328280694,0.0,7.0,0.9046677822857294,2.4932299522710756e-08,0.9270974180185345,2.4550116411557267e-08,3.0344834868238415,2.564794939762502e-07,2.0000345389911134,1.1151108245581283e-05,1.0024173253830404,1.7672030213848055e-05,1.0088189143136348,2.5221532065245792e-05,1.051018151966696,5.2890527591369366e-05,1.0787118135436327,1.803926594202111e-05,0.5485185262460973,3.199620414855292e-05,3.0,0.0,False,qp,,
2,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.000000517805489,3,1.000001879645032,10,8.818732532081757,10,1.000e+00;2.522e-07;6.736e-09;2.716e-13;1.122e-14;5.897e-15;1.771e-19;2.790e-21;6.010e-24;1.508e-25,0.08838834764831845,2298.0970388562796,11.31370849898476,4.050590711245793,0.01931433951477099,0.0008352044234546477,1.0,w_fro,norm,0.007652299803811159,0.0,7.0,0.9046679790403774,2.158735126989576e-08,0.9270975507887603,1.9915395770083177e-08,3.0344921260742472,2.891551349755947e-07,2.000245575386447,1.1131690185251355e-05,1.0025230034440953,1.7287260910329263e-05,1.0089256912189102,2.4792978893943845e-05,1.051126509416886,5.392262320445782e-05,1.0788259380505816,1.8968295429121276e-05,0.5485579023511691,3.1977083229532826e-05,3.0,0.0,False,qp,,
2,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.000000517805489,3,1.000001879645032,10,8.818732532081757,10,1.000e+00;2.522e-07;6.736e-09;2.716e-13;1.122e-14;5.897e-15;1.771e-19;2.790e-21;6.010e-24;1.508e-25,0.08838834764831845,2298.0970388562796,11.31370849898476,4.050590711245793,0.01931433951477099,0.0008352044234546477,1.0,c_norm,norm,0.010237571733449606,0.0,7.0,0.904667944078403,2.17716708673688e-08,0.9270975255011233,2.011005502919239e-08,3.034490569474943,2.8979663969075574e-07,2.0002091812836698,1.1131731422765406e-05,1.0025044025166008,1.728140480285968e-05,1.008906960485599,2.47951668733172e-05,1.0511065597722458,5.387146575661266e-05,1.078805537242091,1.890407399769316e-05,0.5485509925360815,3.19778195217068e-05,3.0,0.0,False,qp,,
2,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.000000517805489,3,1.000001879645032,10,8.818732532081757,10,1.000e+00;2.522e-07;6.736e-09;2.716e-13;1.122e-14;5.897e-15;1.771e-19;2.790e-21;6.010e-24;1.508e-25,0.08838834764831845,2298.0970388562796,11.31370849898476,4.050590711245793,0.01931433951477099,0.0008352044234546477,1.0,fn_fro,norm,0.02597865319307556,0.0,7.0,0.9046688206152985,1.9852443828763367e-08,0.9270981292179684,2.0417317029147372e-08,3.034535310691898,2.4176940148967025e-07,2.001291715396881,1.1135139591392e-05,1.0030588718149813,1.754469761897058e-05,1.0094652226488205,2.4820135795994176e-05,1.0516965021946147,5.523125254245059e-05,1.0794105503207507,2.0632381657909725e-05,0.5487565736706181,3.196319750282359e-05,3.0,0.0,False,qp,,
