arm,observer,family,rho_MG,rho_rough,rho_PRdelay,rho_specPR,mae_specPR,rho_specPR256,slope,mae_raw,ident,seed_sd,degen
batch_proj,g_proj,gradient,0.2857142857142857,0.0,0.42857142857142855,0.25,322.5276829822611,0.39285714285714285,0.021128145020938262,12.03271523893549,,0.08797737241257444,0.0
batch_proj,loss_full,loss,1.0,0.21428571428571427,-0.35714285714285715,-0.5714285714285714,635.3796957195852,-0.32142857142857145,0.5504330020397974,10.235231231833875,,0.22224507187179673,0.0
batch_proj,loss_probe,loss,0.5,-0.42857142857142855,0.4642857142857143,0.10714285714285714,330.674310296939,0.21428571428571427,0.07317747487255044,11.950807479141803,,0.18096776039300475,0.0
batch_proj,loss_step,loss,1.0,0.21428571428571427,-0.35714285714285715,-0.5714285714285714,635.478261801987,-0.32142857142857145,0.5503331764925194,10.23534573924737,,0.2221535846556716,0.0
batch_proj,margin,function,-0.35714285714285715,-0.7857142857142857,0.21428571428571427,-0.25,322.5880205855696,-0.07142857142857142,-0.02298529992027588,12.00019060478248,,0.08416561468583454,0.0
batch_proj,w_fro,norm,-0.25,-0.2857142857142857,0.10714285714285714,-0.25,322.8928110141157,0.14285714285714285,-0.018515520310838113,12.004798660320546,1.5306868430922451,0.14359688436584858,0.0
gd,acc_probe,function,,-0.5357142857142857,-0.8571428571428571,-0.5714285714285714,1.7769697475639055,-0.5,,,,,1.0
gd,c_norm,norm,0.03571428571428571,-0.8571428571428571,-0.6071428571428571,-0.7857142857142857,1.4912290244948332,-0.7857142857142857,2.080975694054938,15.056422413926386,,0.22684668829829502,0.0
gd,c_proj1,projection,0.07142857142857142,-0.39285714285714285,-0.14285714285714285,0.0,1.485785933087349,0.0,4.871277226316898,15.026466816856866,1.8500428733367498,0.25929871368768326,0.0
gd,fn_fro,norm,-0.32142857142857145,-0.75,-0.39285714285714285,-0.6071428571428571,1.500152420881417,-0.6071428571428571,-3.337207802041321,15.125046989920735,,0.21637915340641425,0.0
gd,fn_proj1,function,-0.4642857142857143,-0.6428571428571429,-0.42857142857142855,-0.6785714285714286,1.5256524373342366,-0.6785714285714286,-9.264565118055437,14.88979823991124,,0.26525982222465083,0.0
gd,g_fro,gradient,-0.6785714285714286,-0.7142857142857143,-0.35714285714285715,-0.6428571428571429,1.5496195209432746,-0.6071428571428571,-11.92683818310116,14.905723343698781,1.799872697063745,0.1382828268137876,0.0
gd,g_proj,gradient,-0.6428571428571429,-0.8571428571428571,0.5714285714285714,-0.7142857142857143,1.5565711360500711,-0.6785714285714286,-16.027396344892324,15.340440457162275,,0.37653108151865833,0.0
