label,metric,bias,MAE,MRE,sd_seed,rho,factor,level
snr=1000.0,PR,-0.9750911684161517,1.4994615445260102,0.45904015922379765,0.10499246567844521,0.2,snr,1000.0
snr=1000.0,TwoNN,0.11608991013657866,0.5736230039528102,0.20516699608493671,0.2158359246067663,0.7714285714285715,snr,1000.0
snr=1000.0,roughness,-2.5891513402614055,2.5891513402614055,0.6330290508366433,0.03280714294833412,0.2571428571428572,snr,1000.0
snr=10000.0,LB,1.0679720202021914,1.0679720202021914,0.3894319519201006,0.2105652575699365,0.942857142857143,snr,10000.0
snr=10000.0,MG,-0.012012593571827082,0.5224249948103662,0.15813012465881435,0.1396583908542763,0.942857142857143,snr,10000.0
snr=10000.0,PR,-0.9751061011959922,1.4994728271385849,0.459042229624145,0.10498735557100564,0.2,snr,10000.0
snr=10000.0,TwoNN,-0.013448479794325249,0.5490456240667921,0.18148402495590407,0.21188192251102766,0.7714285714285715,snr,10000.0
snr=10000.0,roughness,-2.589152835738628,2.589152835738628,0.6330296822839098,0.03280749902091979,0.2571428571428572,snr,10000.0
snr=1000000.0,LB,1.0680300567442702,1.0680300567442702,0.3894577130364906,0.21032260813622528,0.942857142857143,snr,1000000.0
snr=1000000.0,MG,-0.012999929393645285,0.5214288831199411,0.15712596232024958,0.13957071667564724,0.942857142857143,snr,1000000.0
snr=1000000.0,PR,-0.975107329053838,1.499473906938338,0.45904247978289664,0.10498680489610195,0.2,snr,1000000.0
snr=1000000.0,TwoNN,-0.01739067001325086,0.5532239169645973,0.18563909811975843,0.21169779544985298,0.7714285714285715,snr,1000000.0
snr=1000000.0,roughness,-2.5891529442373047,2.5891529442373047,0.6330297324130433,0.03280753027771175,0.2571428571428572,snr,1000000.0
window=1000,LB,1.973828911173363,1.973828911173363,0.6998000007436708,1.0314509627238484,0.7714285714285715,window,1000.0
window=1000,MG,0.6363690433633957,0.7478377104648896,0.3056670342134099,0.456096668214238,0.8857142857142858,window,1000.0
window=1000,PR,0.0437721355373375,1.2281381338112007,0.4768942804695804,0.3103002371466379,0.48571428571428577,window,1000.0
window=1000,TwoNN,1.048879206465491,1.1318403663857834,0.4993520848087603,0.47097167462273326,0.7714285714285715,window,1000.0
window=1000,roughness,-1.8855315172634644,2.0719759678121865,0.5330984584814444,0.04358341667291787,0.2571428571428572,window,1000.0
