H,delta,beta_rel,Q,delta_hold,disp_max,calib_hits,calib_n,calib_median_lead,strictness
600,0.2,0.05,600,0.2,0.08,5,8,715.0,3.5833333333333335
600,0.2,0.05,600,0.2,0.12,6,8,590.0,2.916666666666667
600,0.2,0.1,300,0.1,0.06,5,8,510.0,3.166666666666667
600,0.2,0.1,300,0.1,0.08,6,8,1015.0,2.8333333333333335
600,0.2,0.1,300,0.1,0.12,7,8,890.0,2.166666666666667
600,0.2,0.1,300,0.15,0.06,5,8,510.0,3.4166666666666665
600,0.2,0.1,300,0.15,0.08,6,8,1015.0,3.083333333333333
600,0.2,0.1,300,0.15,0.12,7,8,890.0,2.4166666666666665
600,0.2,0.1,300,0.2,0.06,5,8,510.0,3.666666666666667
600,0.2,0.1,300,0.2,0.08,6,8,1015.0,3.3333333333333335
600,0.2,0.1,300,0.2,0.12,7,8,890.0,2.666666666666667
600,0.2,0.1,600,0.1,0.06,4,8,210.0,3.666666666666667
600,0.2,0.1,600,0.1,0.08,5,8,715.0,3.3333333333333335
600,0.2,0.1,600,0.1,0.12,6,8,590.0,2.666666666666667
600,0.2,0.1,600,0.15,0.06,4,8,210.0,3.916666666666667
600,0.2,0.1,600,0.15,0.08,5,8,715.0,3.5833333333333335
600,0.2,0.1,600,0.15,0.12,6,8,590.0,2.916666666666667
600,0.2,0.1,600,0.2,0.06,4,8,210.0,4.166666666666667
600,0.2,0.1,600,0.2,0.08,5,8,715.0,3.8333333333333335
600,0.2,0.1,600,0.2,0.12,6,8,590.0,3.166666666666667
600,0.2,0.2,300,0.1,0.06,3,8,430.0,3.666666666666667
600,0.2,0.2,300,0.1,0.08,6,8,1015.0,3.3333333333333335
600,0.2,0.2,300,0.1,0.12,7,8,890.0,2.666666666666667
600,0.2,0.2,300,0.15,0.06,3,8,430.0,3.916666666666667
600,0.2,0.2,300,0.15,0.08,6,8,1015.0,3.5833333333333335
600,0.2,0.2,300,0.15,0.12,7,8,890.0,2.916666666666667
600,0.2,0.2,300,0.2,0.06,3,8,430.0,4.166666666666667
600,0.2,0.2,300,0.2,0.08,6,8,1015.0,3.8333333333333335
600,0.2,0.2,300,0.2,0.12,7,8,890.0,3.166666666666667
600,0.2,0.2,600,0.1,0.06,2,8,130.0,4.166666666666667
600,0.2,0.2,600,0.1,0.08,5,8,715.0,3.8333333333333335
600,0.2,0.2,600,0.1,0.12,6,8,590.0,3.166666666666667
600,0.2,0.2,600,0.15,0.06,2,8,130.0,4.416666666666667
600,0.2,0.2,600,0.15,0.08,5,8,715.0,4.083333333333334
600,0.2,0.2,600,0.15,0.12,6,8,590.0,3.416666666666667
600,0.2,0.2,600,0.2,0.06,2,8,130.0,4.666666666666667
600,0.2,0.2,600,0.2,0.08,5,8,715.0,4.333333333333334
600,0.2,0.2,600,0.2,0.12,6,8,590.0,3.666666666666667
600,0.25,0.05,300,0.1,0.06,4,8,345.0,3.0833333333333335
600,0.25,0.05,300,0.1,0.08,5,8,380.0,2.75
600,0.25,0.05,300,0.1,0.12,6,8,610.0,2.0833333333333335
600,0.25,0.05,300,0.15,0.06,4,8,345.0,3.3333333333333335
600,0.25,0.05,300,0.15,0.08,5,8,380.0,3.0
600,0.25,0.05,300,0.15,0.12,6,8,610.0,2.3333333333333335
600,0.25,0.05,300,0.2,0.06,4,8,345.0,3.5833333333333335
600,0.25,0.05,300,0.2,0.08,5,8,380.0,3.25
600,0.25,0.05,300,0.2,0.12,6,8,610.0,2.5833333333333335
600,0.25,0.05,600,0.1,0.06,3,8,45.0,3.5833333333333335
600,0.25,0.05,600,0.1,0.08,4,8,80.0,3.25
600,0.25,0.05,600,0.1,0.12,5,8,310.0,2.5833333333333335
600,0.25,0.05,600,0.15,0.06,3,8,45.0,3.8333333333333335
600,0.25,0.05,600,0.15,0.08,4,8,80.0,3.5
600,0.25,0.05,600,0.15,0.12,5,8,310.0,2.8333333333333335
600,0.25,0.05,600,0.2,0.06,3,8,45.0,4.083333333333334
600,0.25,0.05,600,0.2,0.08,4,8,80.0,3.75
600,0.25,0.05,600,0.2,0.12,5,8,310.0,3.0833333333333335
600,0.25,0.1,300,0.1,0.06,4,8,345.0,3.3333333333333335
600,0.25,0.1,300,0.1,0.08,5,8,380.0,3.0
600,0.25,0.1,300,0.1,0.12,6,8,610.0,2.3333333333333335
600,0.25,0.1,300,0.15,0.06,4,8,345.0,3.5833333333333335
600,0.25,0.1,300,0.15,0.08,5,8,380.0,3.25
600,0.25,0.1,300,0.15,0.12,6,8,610.0,2.5833333333333335
600,0.25,0.1,300,0.2,0.06,4,8,345.0,3.8333333333333335
600,0.25,0.1,300,0.2,0.08,5,8,380.0,3.5
600,0.25,0.1,300,0.2,0.12,6,8,610.0,2.8333333333333335
600,0.25,0.1,600,0.1,0.06,3,8,45.0,3.8333333333333335
600,0.25,0.1,600,0.1,0.08,4,8,80.0,3.5
