file,cfg_id,tag,mode,r,seed,observer,available,functional_rank,functional_pr,traj_rank,traj_pr,update_pr,n_windows,frac_degenerate,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd,tau_used,theiler_used
qp_r02_s01.npz,3,qp,qp,2,1,w_fro,20,20.0,16.754789462809946,10.0,2.0000055046557987,1.5696314943636989,1,0.0,1.722675114312429,0.0,1.7875557326038238,0.0,2.027895353070199,0.0,2.0389517613486436,0.0,1.0938849579025416,0.0,1.2109650920604542,0.0,1.3258312619095816,0.0,3.2026564224961045,0.0,0.43263451553428345,0.0,3.0,0.0,16.0,150.0
qp_r02_s01.npz,3,qp,qp,2,1,c_norm,20,20.0,16.754789462809946,10.0,2.0000055046557987,1.5696314943636989,1,0.0,1.7226681197906175,0.0,1.7875449742909393,0.0,2.0278771157388036,0.0,2.038958296476519,0.0,1.0938908423417912,0.0,1.2109718030783418,0.0,1.3258384570165578,0.0,3.2026736559010622,0.0,0.4326352881335523,0.0,3.0,0.0,16.0,150.0
qp_r02_s01.npz,3,qp,qp,2,1,g_fro,20,20.0,16.754789462809946,10.0,2.0000055046557987,1.5696314943636989,1,0.0,2.431918659270496,0.0,2.486707685785727,0.0,3.861794768314055,0.0,4.80167818713959,0.0,3.760666922422929,0.0,3.8070133698327333,0.0,4.339292274514361,0.0,6.951273871136014,0.0,1.122025522386815,0.0,2.0,0.0,16.0,150.0
qp_r02_s01.npz,3,qp,qp,2,1,g_proj,20,20.0,16.754789462809946,10.0,2.0000055046557987,1.5696314943636989,1,0.0,2.3023024554689657,0.0,2.340911009515433,0.0,3.4277609205640815,0.0,2.1681651208269175,0.0,1.4156890113598057,0.0,1.5097929776910488,0.0,1.5815793548786876,0.0,2.283155333286723,0.0,0.698261365530461,0.0,2.0,0.0,16.0,150.0
qp_r02_s01.npz,3,qp,qp,2,1,c_proj1,20,20.0,16.754789462809946,10.0,2.0000055046557987,1.5696314943636989,1,0.0,2.325987366153597,0.0,2.3702597882666936,0.0,3.9110267191621513,0.0,2.234592352972671,0.0,1.6506385969770818,0.0,1.7649577302488177,0.0,1.854723592060475,0.0,2.753536156409271,0.0,0.6733866739583599,0.0,2.0,0.0,16.0,150.0
qp_r02_s01.npz,3,qp,qp,2,1,fn_fro,20,20.0,16.754789462809946,10.0,2.0000055046557987,1.5696314943636989,1,0.0,1.7481927712793333,0.0,1.7934867842727111,0.0,1.8339911062640377,0.0,2.1001976403816904,0.0,1.241909482609325,0.0,1.3734688132585955,0.0,1.5037315161715161,0.0,3.6003793054580115,0.0,0.4602595947351855,0.0,3.0,0.0,16.0,150.0
qp_r02_s01.npz,3,qp,qp,2,1,fn_proj1,20,20.0,16.754789462809946,10.0,2.0000055046557987,1.5696314943636989,1,0.0,2.0448666138500555,0.0,2.0980553646453726,0.0,1.975638135027595,0.0,2.3020447597733202,0.0,1.9938432975162736,0.0,2.174896654317013,0.0,2.3380566971995167,0.0,4.403819912417736,0.0,0.5831572871284347,0.0,3.0,0.0,16.0,150.0
qp_r02_s01.npz,3,qp,qp,2,1,loss_full,20,20.0,16.754789462809946,10.0,2.0000055046557987,1.5696314943636989,1,0.0,2.3914357028785855,0.0,2.447963174751442,0.0,4.241664886162926,0.0,4.623330803820332,0.0,3.344397655629247,0.0,3.3895898221922156,0.0,3.830086305350162,0.0,5.956890797705759,0.0,1.0940498616540122,0.0,2.0,0.0,16.0,150.0
qp_r02_s02.npz,3,qp,qp,2,2,w_fro,20,20.0,16.140202643833927,9.0,2.000000583518806,1.56874757754359,1,0.0,1.74323263346069,0.0,1.7549727962727568,0.0,65.02185518171171,0.0,2.0886280451621,0.0,1.0502520226040017,0.0,1.064089296677745,0.0,1.1839867645421358,0.0,1.253765899552148,0.0,0.42771983398779906,0.0,3.0,0.0,16.0,150.0
qp_r02_s02.npz,3,qp,qp,2,2,c_norm,20,20.0,16.140202643833927,9.0,2.000000583518806,1.56874757754359,1,0.0,1.7431874422066693,0.0,1.7549291374034133,0.0,65.03911291571973,0.0,2.088618348177765,0.0,1.050247270633359,0.0,1.0640844629166544,0.0,1.1839813834579407,0.0,1.253760203763069,0.0,0.4277190612643427,0.0,3.0,0.0,16.0,150.0
qp_r02_s02.npz,3,qp,qp,2,2,g_fro,20,20.0,16.140202643833927,9.0,2.000000583518806,1.56874757754359,1,0.0,2.1041486777455174,0.0,2.1234335893698493,0.0,2.483417169896673,0.0,4.34232498389039,0.0,2.22593799095928,0.0,2.2747597306904543,0.0,2.499333013116327,0.0,2.999451996731568,0.0,1.2386949794544726,0.0,1.0,0.0,16.0,150.0
qp_r02_s02.npz,3,qp,qp,2,2,g_proj,20,20.0,16.140202643833927,9.0,2.000000583518806,1.56874757754359,1,0.0,2.127685270672377,0.0,2.1373036810425323,0.0,11.699597146429726,0.0,2.276574054123555,0.0,1.1473772601022618,0.0,1.1623750466739546,0.0,1.2926882748361497,0.0,1.3689795148069965,0.0,0.44704923828076376,0.0,3.0,0.0,16.0,150.0
qp_r02_s02.npz,3,qp,qp,2,2,c_proj1,20,20.0,16.140202643833927,9.0,2.000000583518806,1.56874757754359,1,0.0,1.558465534284735,0.0,1.5816847430461654,0.0,2.0996162020426192,0.0,2.0022157393027324,0.0,1.0060457821930915,0.0,1.0192800613836266,0.0,1.134140375059932,0.0,1.201022010850354,0.0,0.4178703323231876,0.0,3.0,0.0,16.0,150.0
qp_r02_s02.npz,3,qp,qp,2,2,fn_fro,20,20.0,16.140202643833927,9.0,2.000000583518806,1.56874757754359,1,0.0,2.327565196740979,0.0,2.3349481833931574,0.0,11.563441567672848,0.0,2.351976233534001,0.0,1.1863037232123548,0.0,1.2017721301580528,0.0,1.3361031967474652,0.0,1.414957071499288,0.0,0.45422236809059213,0.0,3.0,0.0,16.0,150.0
qp_r02_s02.npz,3,qp,qp,2,2,fn_proj1,20,20.0,16.140202643833927,9.0,2.000000583518806,1.56874757754359,1,0.0,2.058457584387638,0.0,2.075221634724111,0.0,2.418806955861231,0.0,2.517354428471032,0.0,1.267142671083075,0.0,1.273014436880494,0.0,1.299597092515996,0.0,1.372998175479484,0.0,0.7163740730265813,0.0,2.0,0.0,16.0,150.0
