r,seed,observer,MG,traj_pr,degenerate
16,2,c_proj1,16.057869288425923,15.998001237234016,False
16,2,fn_fro,17.687303516394046,15.998001237234016,False
16,2,fn_proj1,9.121520256067605,15.998001237234016,False
16,2,loss_full,22.897889914386212,15.998001237234016,False
20,0,w_fro,13.63626767633774,19.99284009698401,False
20,0,c_norm,13.636276136195889,19.99284009698401,False
20,0,g_fro,21.15326168484748,19.99284009698401,False
20,0,g_proj,14.635526953141389,19.99284009698401,False
20,0,c_proj1,16.328311800763075,19.99284009698401,False
20,0,fn_fro,12.897278914375521,19.99284009698401,False
20,0,fn_proj1,16.303466859045756,19.99284009698401,False
20,0,loss_full,19.29371500146899,19.99284009698401,False
20,1,w_fro,14.688087333552456,19.993459235002675,False
20,1,c_norm,14.68808373258099,19.993459235002675,False
20,1,g_fro,22.841500784075247,19.993459235002675,False
20,1,g_proj,11.459988051552024,19.993459235002675,False
20,1,c_proj1,10.174001789242531,19.993459235002675,False
20,1,fn_fro,14.015188589018367,19.993459235002675,False
20,1,fn_proj1,15.76032242714238,19.993459235002675,False
20,1,loss_full,21.715165221730654,19.993459235002675,False
20,2,w_fro,13.37576221606733,19.984007275563247,False
20,2,c_norm,13.37576180953751,19.984007275563247,False
20,2,g_fro,20.363314349360063,19.984007275563247,False
20,2,g_proj,16.030766915627527,19.984007275563247,False
20,2,c_proj1,15.497760962339767,19.984007275563247,False
20,2,fn_fro,17.761629710980277,19.984007275563247,False
20,2,fn_proj1,13.907817600403446,19.984007275563247,False
20,2,loss_full,17.5367105948141,19.984007275563247,False
