sweep,arm,max_E,N,r,seed,observer,tau,truth_r,traj_rank,traj_pr,MG,LB,TwoNN,PRdelay,specPR256,roughness,acorr,degenerate,frac_floor,frac_sumfloor,tau_used,theiler_used,theiler_requested,embed_span,n_delay_vectors,crossings,margin_res,drive_cond,MG_2E,rho_ident,theiler_used_2E
N,frozen,20,1000,2,1,c_norm,4,2,10,2.000016979201255,2.038010830663956,2.1028005450569105,2.109521413636652,2.0155815510134474,1.1471527506558887,0.3992715349432919,3.0,False,0.0,0.0,4,76,76,76,924,127,0.0051989785150333,1.1739745385968967,,,
N,frozen,20,1000,2,1,g_fro,4,2,10,2.000016979201255,2.346467257403523,2.430113185431669,5.793560477442741,3.5597024299300792,3.257607500126099,1.135008146162042,1.0,False,0.0,0.0,4,76,76,76,924,387,0.0051989785150333,1.1739745385968967,,,
N,frozen,20,1000,2,1,c_proj1,4,2,10,2.000016979201255,1.526078059316944,1.6364738658696203,7.240849078376248,1.9988132209848,1.137756686954901,0.3972882802923668,3.0,False,0.0,0.0,4,76,76,76,924,127,0.0051989785150333,1.1739745385968967,,,
N,frozen,20,1000,2,1,fn_proj1,4,2,10,2.000016979201255,1.337204682336725,1.3644818369718572,4.602248771147388,2.817138283082373,1.6738890298109843,0.4866635524916961,3.0,False,0.0,0.0,4,76,76,76,924,127,0.0051989785150333,1.1739745385968967,,,
N,frozen,20,1000,2,2,c_norm,4,2,10,1.9999587987311165,2.1007832358016145,2.121518195946746,8.855340545699448,1.4871107921840008,1.6916378001647163,0.7317542877847847,2.0,False,0.0,0.0,4,76,76,76,924,245,0.0051989785150333,2.101122264651804,,,
N,frozen,20,1000,2,2,g_fro,4,2,10,1.9999587987311165,2.3514674009276675,2.455304316230303,7.82760718413502,3.1090554917253725,3.217990861779566,1.1180394121019748,2.0,False,0.0,0.0,4,76,76,76,924,369,0.0051989785150333,2.101122264651804,,,
N,frozen,20,1000,2,2,c_proj1,4,2,10,1.9999587987311165,2.7226737193946784,2.793115498690651,13.073284794750208,1.3095535018006943,1.4976337119631935,0.7487615891953979,2.0,False,0.0,0.0,4,76,76,76,924,245,0.0051989785150333,2.101122264651804,,,
N,frozen,20,1000,2,2,fn_proj1,4,2,10,1.9999587987311165,1.5190075782876291,1.560865994892224,2.6454910105163063,2.388792796332745,1.3730950941330735,0.4437902275599479,3.0,False,0.0,0.0,4,76,76,76,924,128,0.0051989785150333,2.101122264651804,,,
N,frozen,20,1000,4,0,c_norm,4,4,20,4.000052168263919,4.080420835127754,4.149174147323453,3.181762158019396,3.1182137601830213,3.34382526537436,0.6719159697318685,2.0,False,0.0,0.0,4,76,76,76,924,231,0.0051989785150333,2.277822578222282,3.8478304321297694,0.9429984277612624,150.0
N,frozen,20,1000,4,0,g_fro,4,4,20,4.000052168263919,5.991904508000958,6.156633203969708,9.4250395971708,8.611536094081616,7.355874433612089,0.8892443470069165,2.0,False,0.0,0.0,4,76,76,76,924,284,0.0051989785150333,2.277822578222282,6.791403094037062,1.1334297943113978,150.0
