r,rho,seed,manifold,pr_pos,pr_pred,MG,LB,PRdelay,specPR256,roughness,frac_degenerate
4,0.5,0,4,1.6536100088674268,1.6536964980544746,3.829768698640703,3.8963196358194625,3.601694296607503,1.9847230387728472,0.5858288559249977,0.0
4,0.5,1,4,1.6537980243979986,1.6536964980544746,4.0596649660797794,4.12322594785593,3.114515801983714,1.641350623105038,0.5609070011544602,0.0
4,0.5,2,4,1.653815077576798,1.6536964980544746,4.263255515396393,4.327903111175568,3.070743123390609,1.6188501113840208,0.5657969482799068,0.0
6,1.0,0,6,5.999944491214993,6.0,8.193539635546186,8.604253250004065,8.592862306971936,6.845036268754071,0.605442200394043,0.0
6,1.0,1,6,5.999978959553404,6.0,8.9426329269835,9.388036132089116,8.094427279923437,6.486255715274057,0.6228815573870011,0.0
6,1.0,2,6,5.9999872342379685,6.0,8.764895334847898,9.208070759487217,8.234338740316483,6.3937635778761255,0.6129133905171775,0.0
6,0.9,0,6,5.330352562574226,5.330353553333241,7.528419260582449,7.943313094377821,8.373279650916306,6.242174799370887,0.5816510651180312,0.0
6,0.9,1,6,5.330211101073517,5.330353553333241,7.851984805527807,8.205650471679258,8.143925954293879,5.891716425232019,0.5977335705896293,0.0
6,0.9,2,6,5.330479598474459,5.330353553333241,8.03635630950209,8.376628767704366,7.387741468079828,5.365805833721546,0.6132408505130786,0.0
6,0.8,0,6,3.9695031257187305,3.969704168294112,7.439750446664007,7.700544448734478,7.215504127062756,4.994827567305921,0.5981052359328267,0.0
6,0.8,1,6,3.969888207844858,3.969704168294112,7.440114227549717,7.6807144369026865,6.699266863035016,4.297021341627185,0.5994061198622861,0.0
6,0.8,2,6,3.9694089395741483,3.969704168294112,7.859661203021567,8.141298131587956,6.102518427660537,3.918862782385599,0.6044068497936783,0.0
6,0.7,0,6,2.8420312228848497,2.841796239089047,6.918321272544623,7.119110098284826,5.534951892894931,3.2499341061055382,0.5845848324948866,0.0
6,0.7,1,6,2.8419619576371997,2.841796239089047,6.494352762832108,6.684611040737925,4.929197106835358,2.7821862703420304,0.5721564753745761,0.0
6,0.7,2,6,2.841693692429661,2.841796239089047,6.899507307760722,7.09649523462096,6.087014424168739,3.974412456530445,0.6099501680618421,0.0
6,0.6,0,6,2.11576537239124,2.1157687694515968,5.311722946646391,5.453219856869685,4.403907570166761,2.5286785017556155,0.5888939798707592,0.0
6,0.6,1,6,2.115922035292001,2.1157687694515968,5.3188411798557,5.454711615282542,4.696341690330337,2.824420205791512,0.6017302990528914,0.0
6,0.6,2,6,2.115900366443491,2.1157687694515968,4.592609632912972,4.7013684258594814,4.679296004250621,3.0082154884330583,0.6194761027562306,0.0
6,0.5,0,6,1.6657620972404192,1.6658530632169881,4.830765098650696,4.920607566794395,3.031416267632648,1.5900513441577235,0.5587152822966305,0.0
6,0.5,1,6,1.6658354138862845,1.6658530632169881,4.3427588703546665,4.42909282113632,3.7994196243207066,2.1626902753769643,0.5983697256660754,0.0
6,0.5,2,6,1.6658867529099188,1.6658530632169881,4.946598426093912,5.063624790378928,3.209411303593705,1.6946769994435658,0.5613150021038616,0.0
8,1.0,0,8,7.999889269543628,8.0,8.994051624353036,9.428685752460986,8.870483620318677,8.420712002103802,0.6000070876436027,0.0
8,1.0,1,8,7.999893923144077,8.0,8.567587060704708,8.950474472763936,8.75599362479689,8.19132742744603,0.6149103529935107,0.0
8,1.0,2,8,7.999889148404725,8.0,8.884030316715632,9.312865284092378,8.619652821548124,8.611724414492695,0.5976227465195844,0.0
8,0.9,0,8,6.547586644870481,6.547757548279507,6.694441826341155,7.032480499448467,7.787788843472281,6.440487205371998,0.6218147379178357,0.0
8,0.9,1,8,6.547692783664212,6.547757548279507,7.456276353971574,7.830233752037586,8.178080570017126,7.165995372498572,0.6146708540781012,0.0
8,0.9,2,8,6.54775375017991,6.547757548279507,6.968801120021136,7.276805230622095,8.072620385258729,5.825529941628055,0.6017930394693912,0.0
8,0.8,0,8,4.305888072070097,4.306121520690194,6.330800460095637,6.596735631420128,7.495584860789409,5.35700486506547,0.6185717523567598,0.0
