window,cycles,max_E,k_neighbors,tau,bias,mae,max_error,rho,inversions,objective,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
2000,300.0,25,30,2,-0.13472098271879354,0.8331768053490745,2.556589302478841,0.9757575757575757,2,1.8444946658448427,1.0821623927093833,2.1771823485361623,3.0032668663287763,4.629428595569209,6.622704815852772,6.694352914532723,7.283181179622379,6.831513737421087,7.885586624718414,7.443410697521159
2000,1000.0,25,10,1,-0.8730765469635559,1.0266005316473255,3.404527151857728,0.9878787878787878,1,1.957505962018871,0.6769375477187318,1.919485921244208,3.7183293156220474,4.0492906077968005,4.970565890622291,5.5462845585219425,6.351580485725757,6.057900027518144,6.383387327452247,6.595472848142272
2000,300.0,25,20,4,0.18244665999207274,0.8595334508074949,1.9921936757931622,0.9393939393939393,3,2.0079721859661275,1.1279204474653932,2.385118064415639,2.85669418903972,4.542055006729047,6.499131815886342,7.992193675793162,7.663481543708254,7.389561414727438,8.29466943192811,8.073641010227622
4000,1000.0,25,10,2,-0.8358781369966565,1.0826024499201723,3.473358923917936,0.9878787878787878,1,2.02727423470376,1.0768743812187556,1.5453339379325768,2.712698264960747,5.011875533985065,5.1448716494137585,5.371930316801693,6.431380981828337,6.300309978532605,6.519302509277833,6.526641076082064
2000,1000.0,25,20,4,1.1832546547764222,1.1832546547764222,3.057247080726164,0.9878787878787878,1,2.044704070921655,1.0777385789698934,2.3518217978151608,4.138124596746333,4.332443980787178,6.233189185638977,7.575318090716337,10.057247080726164,9.596842305048023,10.730202480319646,10.73961845099651
4000,1000.0,25,20,2,-0.9105599701037932,1.1005731014266122,3.5178720876233793,0.9878787878787878,1,2.054147518951288,1.1294678973936638,1.7273256704848572,3.3474145196914207,4.4731832395290105,4.662268524382976,5.191259550873947,6.355518623609221,6.13849197331697,6.38734238730338,6.482127912376621
4000,1000.0,25,10,1,-0.4742904251770558,0.7817762117278181,2.6140749645117154,0.9636363636363635,3,2.054591204630161,1.0790131062715311,1.532499733583572,2.693877528776228,5.210589191696026,4.591460664992881,5.5984682217148265,7.2478266347862546,7.065589035718627,7.851846595201211,7.385925035488285
4000,1000.0,25,30,2,-0.9294065270736255,1.1064076635667202,3.5907170338622167,0.9878787878787878,1,2.0745510703391634,1.0942348287083108,2.095140172459694,3.4001205882681362,4.295510093029332,4.577048699461416,5.149208261280974,6.286539831484897,6.084193360741726,6.314655927691474,6.409282966137783
2000,300.0,25,20,2,-0.07993067374671625,0.8627468609506831,2.378614102817563,0.9272727272727272,3,2.0884696815141957,1.1330535120775187,2.279280580064305,2.7564509169839173,4.344745947417272,6.912473601198638,6.769439311472245,7.475087983789856,6.882366403458583,8.026409108888066,7.621385897182437
2000,1000.0,25,20,1,-0.8692840274199956,1.1160157329846967,3.644909695723819,0.9272727272727272,1,2.0949976721294608,1.0674561405608693,2.3394720376509124,3.756421590062507,4.070308759549217,4.827823495945789,5.422181219875054,6.355093085826576,5.995254951645554,6.118058140407384,6.355090304276181
