observer,k,seed,expected,class,LB,MG,PR,TwoNN,roughness
logdet,2,0,2.0,good,3.006898456703173,2.311328385622334,2.578479762301705,2.4692375361331775,0.9310871756750152
norm_l1,2,0,2.0,good,3.1454443077250183,2.3537603065470045,2.560960033711283,2.4366896615048934,0.9272330045671029
proj_rand0,2,0,2.0,good,3.755372569249561,3.007563676319765,2.375463733568556,2.447653180108171,0.9013779498249794
proj_rand1,2,0,2.0,good,3.721501803489132,2.5326845443490886,2.446906745042324,3.2154869366199406,0.9835625368800929
proj_rand2,2,0,2.0,good,1.6642566231140443,1.5231751277597103,1.99836477583125,2.5754660158893157,1.0229815061405951
proj_rand3,2,0,2.0,good,2.6365208923429373,2.5446874018548136,2.0223858692316115,7.3053899833101,0.8673040038743658
coord_active0,2,0,1.0,bad_by_construction,1.5523010964903345,1.2211870333279586,1.991884652655581,0.6582267506896663,0.8644900655525347
proj_half_active,2,0,1.0,bad_by_construction,1.5523021687706189,1.221177872650216,1.9918846524582565,0.6582138585282462,0.8644900646774164
coord_inactive,2,0,,degenerate,17.462585480496433,13.183341376811963,14.907833637089484,13.51287556989023,1.4237952637123747
proj_inactive_only,2,0,,degenerate,17.34627756023664,13.04590169792396,14.907365376187071,13.360720164028551,1.4202016245822342
norm_fro,3,0,3.0,good,4.775439176874992,3.4681309377416376,2.7494741290153923,2.521158082797192,0.8692920911522853
norm_fro_sq,3,0,3.0,good,4.774836575311778,3.4682410910924704,2.749511414714752,2.5212911930136657,0.8692999155934255
trace,3,0,3.0,good,4.793532306095868,3.727697972863066,2.755560616306601,3.2511652836225395,0.8982261609263156
logdet,3,0,3.0,good,4.435637227656316,3.515163955915515,2.69396643077508,3.971617367876048,0.9175637363198751
norm_l1,3,0,3.0,good,4.793539436066473,3.7276994279282243,2.7555606990747346,3.251162634197171,0.898226158688735
proj_rand0,3,0,3.0,good,4.588136818252654,3.225168552683719,2.4603074242159395,2.9143664396475173,0.8322309294678569
proj_rand1,3,0,3.0,good,4.11509239275547,3.5030191680631657,2.4495173382954367,4.112408864291125,0.9833407999986331
proj_rand2,3,0,3.0,good,2.6824682377851943,2.544473353473007,2.915705413763125,4.090513460677783,0.9648747367631796
proj_rand3,3,0,3.0,good,6.371072226474524,4.868695612011359,2.1884943323816923,6.4935132819704915,0.8381074259951523
coord_active0,3,0,1.0,bad_by_construction,1.5522999187340762,1.2211726482746152,1.9918843489227624,0.6582077410829063,0.8644902427953722
proj_half_active,3,0,1.0,bad_by_construction,1.5523013075131307,1.2211889802086968,1.991884348890551,0.6582323091249167,0.8644902419794849
coord_inactive,3,0,,degenerate,17.456867933165285,13.195131619795477,14.908119703773854,13.534275995117108,1.4225503885688504
proj_inactive_only,3,0,,degenerate,17.36377072025836,13.0415847044098,14.906884202563312,13.344895218823288,1.4215389978474675
norm_fro,4,0,4.0,good,5.735919762955399,4.18576976309691,2.8287029981434832,4.954943199125951,0.9029667666841109
norm_fro_sq,4,0,4.0,good,5.73626639778339,4.1858239970468,2.82873606196588,4.954517877793348,0.902972592920354
trace,4,0,4.0,good,5.451514954434612,4.188440303854368,2.7418282456913694,4.671797569811379,0.9120954108296847
logdet,4,0,4.0,good,5.3104216185126285,4.139737497703119,2.675489382149443,4.204965611555412,0.9224472354698589
norm_l1,4,0,4.0,good,5.451522844599733,4.188444710150322,2.7418282628761115,4.671791462705381,0.9120954163971556
proj_rand0,4,0,4.0,good,4.552587330672029,3.3249998015065,2.4623349675824557,3.151824435788001,0.8323739283175281
proj_rand1,4,0,4.0,good,4.113129642713776,3.397751907728803,2.4486658883183026,3.5584063407242703,0.9833915713862712
proj_rand2,4,0,4.0,good,1.6174424280814583,1.4484650342197152,2.6410009639088177,2.0977890892730042,0.9693258248731689
proj_rand3,4,0,4.0,good,5.763138592292966,4.597695767746682,2.266443642285197,4.813574462736299,0.846306653872604
coord_active0,4,0,1.0,bad_by_construction,1.5523040286835976,1.2211801269058304,1.991879603417372,0.658226909458999,0.8644930133113232
proj_half_active,4,0,2.0,bad_by_construction,5.305832197898329,3.5471826494758547,2.28244770293062,2.5799343764424094,0.8917704631563431
coord_inactive,4,0,,degenerate,17.456867930548718,13.195131620053708,14.90811970377242,13.534275994431113,1.4225503885689634
proj_inactive_only,4,0,,degenerate,17.363770720520904,13.041584704396879,14.906884202560068,13.34489521839362,1.4215389978486708
norm_fro,5,0,5.0,good,6.2520668456916315,4.785487468236595,2.692956011657774,4.896070743199913,0.8765901493939471
norm_fro_sq,5,0,5.0,good,6.253023424388548,4.785582053641029,2.69299286745613,4.8971644358889534,0.8765992616814197
trace,5,0,5.0,good,5.976723937828649,4.62082572468199,2.643826036171285,4.718318420610476,0.879989448434592
logdet,5,0,5.0,good,6.041466431943054,4.646047856616057,2.6458498289276142,4.8032571414463465,0.8887009827489002
norm_l1,5,0,5.0,good,5.97670081615179,4.6208271277227055,2.6438261061844166,4.718327226902358,0.8799894493184748
proj_rand0,5,0,5.0,good,5.606231559133993,4.0834262362755664,2.243344149653146,4.480601682031238,0.8241136279809413
proj_rand1,5,0,5.0,good,4.986607290681575,3.9142015506867254,2.8168454441325625,4.376333269814882,0.9482123429263373
proj_rand2,5,0,5.0,good,6.111358571299913,4.774599245420008,2.985360550341233,4.751987253443887,0.9075815831193796
proj_rand3,5,0,5.0,good,5.819762721999892,4.471791928599827,2.160281355535821,4.8607283740890574,0.8318936046671265
coord_active0,5,0,1.0,bad_by_construction,1.5522983005006321,1.2211659398072832,1.9918832812474718,0.6581984529692552,0.864490867315648
proj_half_active,5,0,2.0,bad_by_construction,5.310991793399399,3.548154186815581,2.282583054567732,2.5799346979447426,0.8917984587271064
coord_inactive,5,0,,degenerate,17.4381341925229,13.203971214059806,14.908093600561855,13.525445996851637,1.423208237047718
proj_inactive_only,5,0,,degenerate,15.0,11.74456434157706,10.233748677105146,13.1708813593395,1.0007506240665576
norm_fro,6,0,6.0,good,6.01603080011518,4.636511361886694,2.7013648974159707,4.823388428116689,0.8883691904227141
norm_fro_sq,6,0,6.0,good,6.0137351304396,4.636596284819628,2.701408122839669,4.8234992601312285,0.8883777123238968
trace,6,0,6.0,good,5.900896892984197,4.479588103141856,2.6194378093688058,4.7040570929589824,0.90305171047061
logdet,6,0,6.0,good,6.101848645814267,4.618466429818058,2.4938851756119047,4.851974216871502,0.923003928430908
norm_l1,6,0,6.0,good,5.900886738049034,4.479587124172954,2.619437815461553,4.7040548522100645,0.9030517200326945
proj_rand0,6,0,6.0,good,5.580803818892301,4.279974787843083,2.6032462778846144,4.488394488739063,0.8824318036860496
proj_rand1,6,0,6.0,good,5.8597126477752965,4.4921959484004,2.3429752195441176,5.043635037461138,0.9552692654899768
proj_rand2,6,0,6.0,good,5.7238999455547575,4.09763730640322,2.7058647016564454,4.546998310039848,0.9257696502741193
proj_rand3,6,0,6.0,good,5.768801754252769,4.340877423243981,2.2053168069441553,4.732259352460848,0.8369688652286453
coord_active0,6,0,1.0,bad_by_construction,1.5523041346529953,1.2211848952176272,1.9918786351036855,0.6582394911422865,0.8644935798787227
proj_half_active,6,0,3.0,bad_by_construction,4.893790963373353,3.6614401644539427,2.2846507181949027,3.277320151691472,0.8914824861786615
coord_inactive,6,0,,degenerate,17.438134192216076,13.2039712144844,14.908093600559083,13.525445996440972,1.423208237048894
proj_inactive_only,6,0,,degenerate,15.0,11.972667238146188,10.233757976930509,13.170881360937333,1.0007513421292897
