max_E,tau,k,theiler,det,dep_mod_wd0,pct_mod_wd0,loc_mod_wd0,dep_mod_wd1,pct_mod_wd1,loc_mod_wd1,dep_mod_wd1_s43,pct_mod_wd1_s43,loc_mod_wd1_s43,dep_mod_wd1_s44,pct_mod_wd1_s44,loc_mod_wd1_s44,dep_s5_wd0,pct_s5_wd0,loc_s5_wd0,dep_s5_wd1,pct_s5_wd1,loc_s5_wd1,gen_min,ctrl_max,separates
6,1,5,autocorr,False,1.1870223308761931,0.36464088397790057,1835.0,1.1066198276779295,0.3063583815028902,-765.0,1.2642449461959149,0.27325581395348836,155.0,2.7196823363234417,0.9421965317919075,-285.0,1.1687298569517508,0.01556420233463035,1562.5,1.5483399192921177,0.7857142857142857,1162.5,1.1066198276779295,1.1870223308761931,False
6,1,5,autocorr,True,1.324049244197319,0.8066298342541437,-265.0,1.0769465339546085,0.1329479768786127,-665.0,1.2259427636024058,0.16279069767441862,55.0,1.653076162608842,0.930635838150289,-985.0,1.1801186331096185,0.058365758754863814,1562.5,1.527004066752722,0.7301587301587301,-37.5,1.0769465339546085,1.324049244197319,False
6,1,5,embedding,False,1.1870223308761931,0.3149171270718232,1835.0,1.1066198276779295,0.3815028901734104,-765.0,1.2642449461959149,0.42441860465116277,155.0,1.427586186670576,0.930635838150289,-285.0,1.1687298569517508,0.07392996108949416,1562.5,1.5483399192921177,0.8571428571428571,1162.5,1.1066198276779295,1.1870223308761931,False
6,1,5,embedding,True,1.324049244197319,0.8176795580110497,-265.0,1.0769465339546085,0.1329479768786127,-665.0,1.2259427636024058,0.16279069767441862,55.0,1.653076162608842,0.930635838150289,-985.0,1.1801186331096185,0.058365758754863814,1562.5,1.527004066752722,0.7857142857142857,-37.5,1.0769465339546085,1.324049244197319,False
6,1,20,autocorr,False,1.054732428440462,0.46408839779005523,-465.0,1.7967364107866775,0.884393063583815,735.0,2.314147156559977,0.936046511627907,455.0,2.1779906017138124,0.9248554913294798,515.0,1.1774093580060545,0.5252918287937743,512.5,4.580443932453332,0.8650793650793651,1212.5,1.7967364107866775,1.1774093580060545,True
6,1,20,autocorr,True,1.1308720927281721,0.9558011049723757,-765.0,1.3043625087095694,0.5317919075144508,135.0,1.827476191910857,0.9767441860465116,155.0,2.12055995619867,0.9075144508670521,-85.0,1.174101927631597,0.4785992217898833,-637.5,1.9582646077714623,0.9444444444444444,1562.5,1.3043625087095694,1.174101927631597,True
6,1,20,embedding,False,1.054732428440462,0.4696132596685083,-465.0,1.6267420971979158,0.8786127167630058,435.0,2.0742319127287367,0.936046511627907,755.0,1.481305849529048,0.9248554913294798,515.0,1.1774093580060545,0.5291828793774319,512.5,4.580443932453332,0.8650793650793651,1212.5,1.481305849529048,1.1774093580060545,True
6,1,20,embedding,True,1.1308720927281721,0.9558011049723757,-765.0,1.351088840597795,0.5491329479768786,135.0,1.827476191910857,0.9767441860465116,155.0,2.12055995619867,0.9075144508670521,-85.0,1.174101927631597,0.4785992217898833,-637.5,1.977150148407535,0.9444444444444444,1612.5,1.351088840597795,1.174101927631597,True
6,2,5,autocorr,False,1.201266823930661,0.13259668508287292,1635.0,1.3349601461314213,0.47398843930635837,-765.0,1.102635089627027,0.12790697674418605,255.0,2.692391573577324,0.9248554913294798,315.0,1.1800856482046251,0.05058365758754864,512.5,1.9017960460629657,0.8968253968253969,1212.5,1.102635089627027,1.201266823930661,False
6,2,5,autocorr,True,1.1041096534846264,0.10497237569060773,1435.0,1.226088733958263,0.19653179190751446,-765.0,1.1093679747516219,0.05813953488372093,-545.0,1.3391276192711281,0.6878612716763006,-585.0,1.170594290589569,0.07003891050583658,512.5,1.5714618564165683,0.6666666666666666,562.5,1.1093679747516219,1.170594290589569,False
6,2,5,embedding,False,1.201266823930661,0.1270718232044199,1635.0,1.3349601461314213,0.47398843930635837,-765.0,1.102635089627027,0.12790697674418605,255.0,2.7178710526124803,0.9942196531791907,315.0,1.1800856482046251,0.11284046692607004,512.5,1.9017960460629657,0.8968253968253969,1212.5,1.102635089627027,1.201266823930661,False
6,2,5,embedding,True,1.1041096534846264,0.10497237569060773,1435.0,1.226088733958263,0.19653179190751446,-765.0,1.1093679747516219,0.05813953488372093,-545.0,1.3391276192711281,0.6878612716763006,-585.0,1.170594290589569,0.07003891050583658,512.5,1.5714618564165683,0.6666666666666666,562.5,1.1093679747516219,1.170594290589569,False
6,2,20,autocorr,False,1.142253984178537,0.5359116022099447,1835.0,1.4537592851677976,0.7283236994219653,535.0,1.9669323492778548,0.872093023255814,855.0,2.162005511792458,0.9190751445086706,315.0,1.2597027487408605,0.23735408560311283,562.5,5.1840651496776,0.9484126984126984,1262.5,1.4537592851677976,1.2597027487408605,True
6,2,20,autocorr,True,1.1770305543557549,0.7292817679558011,-865.0,1.4062503028327116,0.6589595375722543,-65.0,1.9976002634826187,0.9011627906976745,255.0,2.264075984982197,0.9132947976878613,315.0,1.2981213753040524,0.23346303501945526,562.5,1.8358776705809776,0.8888888888888888,662.5,1.4062503028327116,1.2981213753040524,True
6,2,20,embedding,False,1.142253984178537,0.5359116022099447,1835.0,1.4537592851677976,0.7283236994219653,535.0,1.9669323492778548,0.872093023255814,855.0,2.073846775604014,0.9653179190751445,315.0,1.2597027487408605,0.2801556420233463,562.5,5.1840651496776,0.9484126984126984,1262.5,1.4537592851677976,1.2597027487408605,True
6,2,20,embedding,True,1.1770305543557549,0.7292817679558011,-865.0,1.4062503028327116,0.6589595375722543,-65.0,1.9976002634826187,0.9011627906976745,255.0,2.264075984982197,0.9132947976878613,315.0,1.2981213753040524,0.23346303501945526,562.5,1.8358776705809776,0.8888888888888888,662.5,1.4062503028327116,1.2981213753040524,True
6,4,5,autocorr,False,,,,,,,,,,,,,,,,,,,,,False
6,4,5,autocorr,True,,,,,,,,,,,,,,,,,,,,,False
6,4,5,embedding,False,,,,,,,,,,,,,,,,,,,,,False
