seed,observer,truth,observed_roughness,frac_degenerate,n_windows,tau_used,theiler_used,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd
2,identity,4,0.09098563507534699,0.0,3,4.0,76.0,3.8852123190008974,0.03368760103661266,4.525946531052062,0.06647162638656072,6.488150469013905,0.16536867850945916,2.1962536761266955,0.0009581121101158143,1.8568530553626135,0.003950568200236237,2.5751638062391735,0.004853650902819515,3.8127260275985506,0.012753152118347582,4.562502289468798,0.01930276104955158,0.09098974495837506,2.2358456444123426e-05,14.0,0.0
2,x + 0.25 x^3,4,0.09785272703031264,0.0,3,4.0,76.0,3.9564960225434715,0.017833112494461217,4.677612977350151,0.04483676168253839,7.297190460365185,0.2809125865136041,2.313199068739571,0.0043499227955605,1.9125505306391732,0.004132885120735414,2.8317195338680086,0.019832315600643628,4.300990150524589,0.08739765160709333,5.17093847441899,0.10719887688551855,0.09768291711776729,0.00018276130677645356,13.0,0.0
2,x + x^3,4,0.11027430382198838,0.0,3,4.0,76.0,4.001738852599614,0.007472052020815563,4.733293364222454,0.027784300797538276,7.8848847584522925,0.5538551093311131,2.5663868109152355,0.006683842561869029,2.0568710320707564,0.0055911621757190845,3.4606387664954457,0.04002475168324413,5.496235371575487,0.2562661274010566,6.647573576588822,0.31148945722843224,0.1100199084358413,0.0002539999210174458,13.0,0.0
2,x + x^5,4,0.14604406800568415,0.0,3,4.0,76.0,3.9959357855538764,0.0359886565387546,4.782267892269284,0.014448079618589531,8.89383369679909,0.6107087660863662,3.583207970847937,0.018413393330561675,2.6416831421378744,0.011903715979733333,6.451006138262073,0.13682726215073293,12.91867741995944,1.6698828808906865,16.637146929930385,1.986554190221521,0.14537002331491045,0.0005885801085188066,10.0,0.0
2,x + 0.1 x^7,4,0.16629327165978286,0.0,3,4.0,76.0,4.033877847513163,0.019007252922742298,4.811820141823043,0.04060840101113949,9.12954943726137,0.30725178067467096,4.180725808738412,0.07290680086348908,3.0386769100326463,0.01019198410706761,8.163970048866357,0.3261011847334011,18.324596330652398,2.990979440838068,24.878621776546407,3.84293635478282,0.1643475563257993,0.0017353652988754012,9.0,0.0
3,identity,4,0.08963581082818309,0.0,3,4.0,76.0,3.808964616735376,0.023000476988128682,4.433126433324601,0.05949412038183466,6.11541360803549,0.204715383131234,2.2407661999038004,0.00035558488560078616,1.710567551173322,0.008788333592495317,2.717961843808048,0.014734162260870279,4.079628885622491,0.007587746578600579,4.719628798086838,0.0036751291502943443,0.08964385880866516,9.969884070548372e-06,14.0,0.0
3,x + 0.25 x^3,4,0.096743925547582,0.0,3,4.0,76.0,3.837976551732849,0.03756904743855951,4.530021932755486,0.08367538109748836,7.185994165006172,0.10061217333886922,2.362200544606565,0.0021451758318960196,1.7820739326178703,0.001761323267217371,2.989915013195081,0.0066292881091794785,4.63566464131873,0.03661985017342521,5.367125654811875,0.04196027100795193,0.09663454184857126,0.0001525625832319963,14.0,0.0
3,x + x^3,4,0.1091679492383742,0.0,3,4.0,76.0,3.8161390218226168,0.014722643170941118,4.59814631508039,0.04301422807885073,7.577910318591814,0.2712877882505541,2.625850636859286,0.0038331401606548528,1.9451712717393201,0.004765995632840048,3.6355425162132056,0.01038941632663168,5.9793635510672365,0.1552946725611952,6.938868042292274,0.1854907284586277,0.10898395790526434,0.00026409167678633465,13.0,0.0
3,x + x^5,4,0.14482361790599407,0.0,3,4.0,76.0,3.7456478701870117,0.0559212210996509,4.624680010120828,0.06472768743082831,7.726571806929062,0.878683493167501,3.6827751372077246,0.01418788732559143,2.5969470190072985,0.009076813744822176,6.727376970727016,0.020142874200463175,14.468074679388954,1.275149104809243,17.62248759587375,1.379009188549626,0.14434409511028184,0.0006801846301592477,10.0,0.0
3,x + 0.1 x^7,4,0.1650440830342848,0.0,3,4.0,76.0,3.844129698610102,0.04803228660297481,4.601117177139776,0.09625497991849018,8.268273351939694,0.8820197268759526,4.334112015684698,0.06014782031533585,3.038152605397933,0.030362971123735132,8.597114044126313,0.183133838879199,20.901795956321152,2.358999735076045,26.78357908356007,2.743547503723612,0.16401564429769716,0.001607118095697785,9.0,0.0
4,identity,4,0.0871429698992704,0.0,3,4.0,76.0,4.059598847821786,0.029208322693112746,4.902420203030159,0.025579303499269873,7.622001814690186,0.7591990649326255,2.223656157616927,0.001077298220509615,1.5068960730112797,0.021125947820577428,2.283722071855661,0.013729677258116928,4.005939029753845,0.006334970801127019,5.008635584809529,0.020552474964665356,0.08699962886939226,0.00015011684958654957,14.0,0.0
4,x + 0.25 x^3,4,0.09441977468017099,0.0,3,4.0,76.0,4.094743324676115,0.04213837687310016,5.038937488092596,0.03317628633255808,9.653344249664373,1.106567879324952,2.3434445063330074,0.0011275719412939037,1.6054078776968417,0.02304890581977144,2.6063133258272386,0.015052071787984875,4.5655716483778175,0.052021794239526645,5.682055297681616,0.06713006432914234,0.09434466435957639,0.00023472718493819668,14.0,0.0
4,x + x^3,4,0.10679947809423468,0.0,3,4.0,76.0,4.071383774949092,0.04189410993170773,5.072129872576219,0.016509812633166476,10.037962492771227,1.1078972787487764,2.603809974302875,0.0015870050801746864,1.7882405717336636,0.02496674922631206,3.255047751240446,0.029703616601814677,5.937762241742893,0.12576956864485198,7.386851402653813,0.1498688049028695,0.10671394590176086,0.0003182893848414457,13.0,0.0
