period,r,tau,max_E,seed,tau_used,theiler_used,span,span_periods,MG,PRdelay,specPR0,specPR256,roughness,degenerate,margin
16,2,8,20,1,8,150,152,9.5,3.2597452763479158,2.6319027039731875,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,16,10,0,16,144,144,9.0,2.147984497884686,1.8973984900963226,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
16,2,16,10,1,16,144,144,9.0,2.800957526345805,1.5766679063023488,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,16,20,0,16,150,304,19.0,2.049200830520903,2.141028893300026,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
16,2,16,20,1,16,150,304,19.0,3.016326772140615,2.414190487160148,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,32,10,0,32,150,288,18.0,2.0506066812677357,2.1355233786449466,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
16,2,32,10,1,32,150,288,18.0,3.0185458276729418,2.4079056845515714,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,32,20,0,32,150,608,38.0,2.443199210973843,2.4706401891320215,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
16,2,32,20,1,32,150,608,38.0,2.88049132706969,3.468003888842015,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,acorr,10,0,1,9,9,0.5625,2.1858377308715835,2.318830207931338,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
16,2,acorr,10,1,1,9,9,0.5625,3.0775594581237278,2.932629135675075,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,acorr,20,0,1,19,19,1.1875,2.4999904179921417,2.5115557654329006,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
