period,r,tau,max_E,seed,tau_used,theiler_used,span,span_periods,MG,PRdelay,specPR0,specPR256,roughness,degenerate,margin
400,1,8,10,0,8,72,72,0.18,1.425351376955002,1.5892607493102555,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,8,10,1,8,72,72,0.18,1.4253507921240984,1.5340511302625937,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,1,8,20,0,8,150,152,0.38,1.4303579807310325,2.108163147395374,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,8,20,1,8,150,152,0.38,1.4303582440786429,1.980948785858077,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,1,16,10,0,16,144,144,0.36,1.4298539763993403,2.106510253719188,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,16,10,1,16,144,144,0.36,1.4298540100749118,1.9800522384978934,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,1,16,20,0,16,150,304,0.76,1.4400717468794069,2.17821981378315,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,16,20,1,16,150,304,0.76,1.4400721667404992,1.9868631584653214,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,1,32,10,0,32,150,288,0.72,1.439036829310251,2.1742030394762235,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,32,10,1,32,150,288,0.72,1.4390375717599146,1.9837692786208292,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,1,32,20,0,32,150,608,1.52,1.4557415555853344,2.1920061899707073,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,32,20,1,32,150,608,1.52,1.4557416625613118,1.9972088326446389,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,1,acorr,10,0,13,117,117,0.2925,1.428157639076672,2.078766326372272,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,acorr,10,1,14,126,126,0.315,1.4287232565054448,2.004218407188557,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,1,acorr,20,0,13,150,247,0.6175,1.436399624349575,2.1891307791184014,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,acorr,20,1,14,150,266,0.665,1.4376215901785245,2.008147188491648,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,2,1,10,0,1,9,9,0.0225,2.0226742194743763,1.016686802605752,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,1,10,1,1,9,9,0.0225,2.1679119615665376,1.004862829834532,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,1,20,0,1,19,19,0.0475,2.2057511752892798,1.0676778528153006,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,1,20,1,1,19,19,0.0475,2.681411660553242,1.0196328237865977,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,2,10,0,2,18,18,0.045,2.201617053206012,1.0671836799278092,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,2,10,1,2,18,18,0.045,2.6693730823320925,1.0194865329979241,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,2,20,0,2,38,38,0.095,2.2973290908520694,1.274072305395094,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,2,20,1,2,38,38,0.095,2.9625055017836344,1.0790591709175161,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,4,10,0,4,36,36,0.09,2.297697547809003,1.2722686649368453,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,4,10,1,4,36,36,0.09,2.9663076357642155,1.0784809859831879,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,4,20,0,4,76,76,0.19,2.3070503338211013,1.9120311361750473,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,4,20,1,4,76,76,0.19,3.133707512591846,1.319164066323186,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,8,10,0,8,72,72,0.18,2.3034127275233653,1.9098870565392871,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,8,10,1,8,72,72,0.18,3.131872448814949,1.3170663840971155,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,8,20,0,8,150,152,0.38,2.192088778134769,2.0330806281320153,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,8,20,1,8,150,152,0.38,3.35699210173113,1.9936142138865025,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,16,10,0,16,144,144,0.36,2.192185381848458,2.0277933516368485,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,16,10,1,16,144,144,0.36,3.3582598390714544,1.9916275186848285,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,16,20,0,16,150,304,0.76,2.348203832632912,2.1478477836822947,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,16,20,1,16,150,304,0.76,3.6582934418266753,2.1343712872348797,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,32,10,0,32,150,288,0.72,2.3427253595907693,2.1459560483150444,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,32,10,1,32,150,288,0.72,3.6491557420761693,2.128987452797449,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,32,20,0,32,150,608,1.52,2.3820724425288065,2.155541689928202,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,32,20,1,32,150,608,1.52,3.7460052824078556,2.2046880571108414,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,acorr,10,0,10,90,90,0.225,2.3320969407757026,2.054813465084974,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,acorr,10,1,18,150,162,0.405,3.3626188768352065,2.074251866562132,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,2,acorr,20,0,10,150,190,0.475,2.2365632905339266,2.129935598916283,3.1885065222692512,1.1014098321698536,0.03176508332878514,False,0.0002079591406013324
400,2,acorr,20,1,18,150,342,0.855,3.661127998447222,2.2022380417702747,1.7291369610582195,1.124369141896765,0.017163431593695856,False,0.0002079591406013324
400,3,1,10,0,1,9,9,0.0225,2.2972422859875414,1.0084796431358598,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,1,10,1,1,9,9,0.0225,2.144490032623363,1.014238530521817,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,1,20,0,1,19,19,0.0475,2.5709998778512215,1.034271396755404,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,1,20,1,1,19,19,0.0475,2.418291875509279,1.0576322502497593,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,2,10,0,2,18,18,0.045,2.567213554310839,1.034013106103374,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,2,10,1,2,18,18,0.045,2.4138534154191897,1.0572099444085554,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,2,20,0,2,38,38,0.095,2.7821227531184434,1.1377396925230083,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,2,20,1,2,38,38,0.095,2.680707128163062,1.2324549946993568,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,4,10,0,4,36,36,0.09,2.7758290704989648,1.1367465383081232,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,4,10,1,4,36,36,0.09,2.673080458196989,1.2308933000610636,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,4,20,0,4,76,76,0.19,3.3153750733082803,1.5318142094832996,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,4,20,1,4,76,76,0.19,3.3121337272297118,1.8285189038286194,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,8,10,0,8,72,72,0.18,3.308376193673769,1.529001699345384,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,8,10,1,8,72,72,0.18,3.293797881184847,1.825456638194466,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,8,20,0,8,150,152,0.38,3.941399361270292,2.3706093884464337,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,8,20,1,8,150,152,0.38,4.425787339344243,2.3396242518719554,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,16,10,0,16,144,144,0.36,3.9270180612432366,2.3651271581981606,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,16,10,1,16,144,144,0.36,4.388768622174149,2.332600039906989,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,16,20,0,16,150,304,0.76,4.731350831905663,3.313614568794776,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,16,20,1,16,150,304,0.76,7.115103233343069,3.131041752142613,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,32,10,0,32,150,288,0.72,4.687145318040055,3.298476945537745,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,32,10,1,32,150,288,0.72,6.935303877437451,3.121875953238678,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,32,20,0,32,150,608,1.52,7.444910966984276,3.5722302866302718,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,32,20,1,32,150,608,1.52,12.348170938517933,3.353152403998371,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,acorr,10,0,14,126,126,0.315,3.8015209020512923,2.2044853254692547,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,acorr,10,1,10,90,90,0.225,3.5800131005401505,2.065711374013882,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,3,acorr,20,0,14,150,266,0.665,4.493862410839962,3.0999205635877733,3.4244303949403356,1.8719105859168146,0.022649074053329308,False,0.0002079591406013324
400,3,acorr,20,1,10,150,190,0.475,5.012544127359964,2.5668392872320993,4.884000401600395,1.712434376545116,0.029352214308596178,False,0.0002079591406013324
400,4,1,10,0,1,9,9,0.0225,2.250983300242826,1.0113586095582117,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,1,10,1,1,9,9,0.0225,2.194626939050399,1.011334364521056,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,1,20,0,1,19,19,0.0475,2.645855949452532,1.0460175507314395,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,1,20,1,1,19,19,0.0475,2.6103921245992208,1.0459290103961174,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,2,10,0,2,18,18,0.045,2.636829330850613,1.0456753097584053,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,2,10,1,2,18,18,0.045,2.602133050191857,1.045588049221289,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,2,20,0,2,38,38,0.095,3.0974976113582513,1.1866209209651757,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,2,20,1,2,38,38,0.095,3.0979433812055293,1.1864124545672203,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,4,10,0,4,36,36,0.09,3.0890603447994773,1.1853089708880917,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,4,10,1,4,36,36,0.09,3.0898666212127086,1.1851115960738907,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,4,20,0,4,76,76,0.19,3.8377208615171705,1.70285340112336,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,4,20,1,4,76,76,0.19,3.8202164958644196,1.7019829183895212,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,8,10,0,8,72,72,0.18,3.8155797969034424,1.6999327043979482,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,8,10,1,8,72,72,0.18,3.7888917973846863,1.6992002286051986,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,8,20,0,8,150,152,0.38,6.093065314715741,2.1255379855364476,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,8,20,1,8,150,152,0.38,6.2201106668441595,2.09767605234834,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,16,10,0,16,144,144,0.36,6.023499521625813,2.1207833963216842,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,16,10,1,16,144,144,0.36,6.15432380826115,2.0931051310163853,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,16,20,0,16,150,304,0.76,13.230205333016604,2.6588497690064754,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,16,20,1,16,150,304,0.76,14.094160181208132,2.57162770689146,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,32,10,0,32,150,288,0.72,12.941310142237777,2.649699759149533,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,32,10,1,32,150,288,0.72,13.775970794959273,2.5650455651947808,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,32,20,0,32,150,608,1.52,33.846415219778216,3.990416948826926,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,32,20,1,32,150,608,1.52,32.722491577746936,3.2300421136478557,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,acorr,10,0,12,108,108,0.27,4.724041829971445,2.0742181324732827,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,acorr,10,1,12,108,108,0.27,4.907690643665293,2.0597288835565535,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,4,acorr,20,0,12,150,228,0.57,9.50130878916577,2.3838551618519865,3.8706597767455126,1.8760844772016894,0.02621047487213067,False,0.00014817387620107408
400,4,acorr,20,1,12,150,228,0.57,9.415903551816978,2.338817338870472,2.1137894381044244,1.54697076899944,0.026181846094348482,False,0.00014817387620107408
400,6,1,10,0,1,9,9,0.0225,2.1759175930561208,1.0068454077848112,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,1,10,1,1,9,9,0.0225,2.135001888399819,1.0114958685023654,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,1,20,0,1,19,19,0.0475,2.5347304756470943,1.0276910299352555,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,1,20,1,1,19,19,0.0475,2.3474342745864365,1.0465958743057295,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,2,10,0,2,18,18,0.045,2.5276578170205903,1.0274826093949245,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,2,10,1,2,18,18,0.045,2.3416958076484167,1.046250100208202,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,2,20,0,2,38,38,0.095,3.106705096594021,1.111970277989012,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,2,20,1,2,38,38,0.095,2.881593171727771,1.189249656887774,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,4,10,0,4,36,36,0.09,3.094243826934804,1.1111478364492557,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,4,10,1,4,36,36,0.09,2.8725064249590324,1.1879344371909526,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,4,20,0,4,76,76,0.19,4.212046339931701,1.4476888045343639,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,4,20,1,4,76,76,0.19,3.674112400129184,1.7105366229718701,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,8,10,0,8,72,72,0.18,4.177034124427783,1.4450721168582537,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,8,10,1,8,72,72,0.18,3.6503452899493256,1.7078206164679257,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,8,20,0,8,150,152,0.38,7.320814309557146,2.0879359448322594,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,8,20,1,8,150,152,0.38,5.822318851178236,2.010293855245199,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,16,10,0,16,144,144,0.36,7.236300264487488,2.0865581380825575,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,16,10,1,16,144,144,0.36,5.774140813039207,2.006319025430779,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,16,20,0,16,150,304,0.76,15.120049423242286,2.323333331905695,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,16,20,1,16,150,304,0.76,10.540562528900564,2.2241779840893066,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,32,10,0,32,150,288,0.72,14.88272267721325,2.3198841069359073,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,32,10,1,32,150,288,0.72,10.430836255509007,2.218788232658339,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,32,20,0,32,150,608,1.52,36.05530430625147,2.760758213388103,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,32,20,1,32,150,608,1.52,25.98773461873897,2.592505402194189,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,acorr,10,0,15,135,135,0.3375,6.787721226198515,2.0609615732823716,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,acorr,10,1,12,108,108,0.27,4.608232526289942,2.037500903383882,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,6,acorr,20,0,15,150,285,0.7125,13.902922201368472,2.2816707676834915,3.935069210529299,1.2830012980621261,0.020350988396962807,False,6.0027333695148594e-05
400,6,acorr,20,1,12,150,228,0.57,8.169795562629396,2.1583790219734973,4.699455163186449,1.3011404364244572,0.026365506478144594,False,6.0027333695148594e-05
400,8,1,10,0,1,9,9,0.0225,2.1928037575946844,1.010048825168962,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,1,10,1,1,9,9,0.0225,2.218321472180484,1.0094874082833112,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,1,20,0,1,19,19,0.0475,2.6244921780531314,1.040652627744679,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,1,20,1,1,19,19,0.0475,2.572023816442525,1.038378703551421,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,2,10,0,2,18,18,0.045,2.615569712389444,1.040350503695038,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,2,10,1,2,18,18,0.045,2.5641755774578794,1.0380930723522095,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,2,20,0,2,38,38,0.095,3.234332953354986,1.164356202440408,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,2,20,1,2,38,38,0.095,3.1675896472148795,1.1550673711582016,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,4,10,0,4,36,36,0.09,3.223336606470937,1.163182120173794,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,4,10,1,4,36,36,0.09,3.154115185576253,1.1539652604086377,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,4,20,0,4,76,76,0.19,4.357204030526233,1.6324633978937304,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,4,20,1,4,76,76,0.19,4.225148640556342,1.6001896075958693,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,8,10,0,8,72,72,0.18,4.313570002706484,1.6292166554777312,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,8,10,1,8,72,72,0.18,4.187728497624006,1.5971577142670803,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,8,20,0,8,150,152,0.38,8.598346798596117,2.2095075937019706,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,8,20,1,8,150,152,0.38,8.4598290683972,2.175230125939292,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,16,10,0,16,144,144,0.36,8.443280402952624,2.204969187542804,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,16,10,1,16,144,144,0.36,8.29833015783907,2.1718622313228555,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,16,20,0,16,150,304,0.76,19.588447028783964,2.8705957679916194,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,16,20,1,16,150,304,0.76,21.934832005835908,2.6610065974399877,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,32,10,0,32,150,288,0.72,19.282331195754292,2.85858821141506,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,32,10,1,32,150,288,0.72,21.317695015169157,2.6522927490742383,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,32,20,0,32,150,608,1.52,62.60743831665785,4.3080436549588335,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,32,20,1,32,150,608,1.52,64.084555203702,3.952002983626413,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,acorr,10,0,12,108,108,0.27,5.995883522920208,2.0686585701890823,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,acorr,10,1,13,117,117,0.2925,6.378704958987356,2.0983547056869765,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
400,8,acorr,20,0,12,150,228,0.57,14.161224736102314,2.5162398988842694,7.921918738604286,2.129941473422462,0.02466187538895123,False,1.2306740830036762e-05
400,8,acorr,20,1,13,150,247,0.6175,16.786212616379952,2.4712263211076704,4.520433590177799,2.0504995064104525,0.023960848753188557,False,1.2306740830036762e-05
