cfg_id,seed,k,observer,MG,error,roughness,theiler,functional_rank,functional_ratio,trajectory_rank,trajectory_pr,trajectory_ratio,update_rank,update_pr,update_ratio,mean_accuracy,min_accuracy,resonance_margin,window,cycles,max_E,kn,tau,eta
1,0,5,parameter_projection,4.538716203422925,-0.4612837965770753,1.0785330309921646,24,5,0.9972772438509265,5,4.675628297011771,0.7071941311240605,5,4.951894121519775,0.8742663054305876,0.9900000000000001,0.99,0.0005172738362833051,4000,800.0,25,30,1,0.15
1,0,5,latent_fro,4.756020840907557,-0.24397915909244272,1.1471167268841804,24,5,0.9972772438509265,5,4.675628297011771,0.7071941311240605,5,4.951894121519775,0.8742663054305876,0.9900000000000001,0.99,0.0005172738362833051,4000,800.0,25,30,1,0.15
1,0,5,latent_projection,4.576927997456167,-0.42307200254383304,1.1275360347854033,24,5,0.9972772438509265,5,4.675628297011771,0.7071941311240605,5,4.951894121519775,0.8742663054305876,0.9900000000000001,0.99,0.0005172738362833051,4000,800.0,25,30,1,0.15
1,0,5,gradient_fro,8.914939111226875,3.914939111226875,1.699693518975277,24,5,0.9972772438509265,5,4.675628297011771,0.7071941311240605,5,4.951894121519775,0.8742663054305876,0.9900000000000001,0.99,0.0005172738362833051,4000,800.0,25,30,1,0.15
1,0,5,gradient_projection,4.488992792485282,-0.5110072075147176,1.1079394659888187,24,5,0.9972772438509265,5,4.675628297011771,0.7071941311240605,5,4.951894121519775,0.8742663054305876,0.9900000000000001,0.99,0.0005172738362833051,4000,800.0,25,30,1,0.15
1,0,5,output_fro,4.566024761597344,-0.43397523840265606,1.1426597863805397,24,5,0.9972772438509265,5,4.675628297011771,0.7071941311240605,5,4.951894121519775,0.8742663054305876,0.9900000000000001,0.99,0.0005172738362833051,4000,800.0,25,30,1,0.15
1,0,5,output_projection,3.82295243052574,-1.1770475694742601,1.184471581198683,24,5,0.9972772438509265,5,4.675628297011771,0.7071941311240605,5,4.951894121519775,0.8742663054305876,0.9900000000000001,0.99,0.0005172738362833051,4000,800.0,25,30,1,0.15
1,0,5,loss,5.385915421829858,0.38591542182985794,1.8581568853201602,24,5,0.9972772438509265,5,4.675628297011771,0.7071941311240605,5,4.951894121519775,0.8742663054305876,0.9900000000000001,0.99,0.0005172738362833051,4000,800.0,25,30,1,0.15
1,0,6,parameter_fro,4.830523966427457,-1.1694760335725434,1.1144550274504754,24,6,0.9954546525696921,6,5.84849025712276,0.7652487560397824,6,5.937001978712295,0.8735757244275771,0.9900000000000001,0.99,1.8808998528796472e-05,4000,800.0,25,30,1,0.15
1,0,6,parameter_projection,5.06922622276,-0.9307737772399998,1.1289823489872453,24,6,0.9954546525696921,6,5.84849025712276,0.7652487560397824,6,5.937001978712295,0.8735757244275771,0.9900000000000001,0.99,1.8808998528796472e-05,4000,800.0,25,30,1,0.15
1,0,6,latent_fro,6.131021968756771,0.1310219687567713,1.174949455014963,24,6,0.9954546525696921,6,5.84849025712276,0.7652487560397824,6,5.937001978712295,0.8735757244275771,0.9900000000000001,0.99,1.8808998528796472e-05,4000,800.0,25,30,1,0.15
1,0,6,latent_projection,4.556913077259624,-1.4430869227403758,1.1219605406901088,24,6,0.9954546525696921,6,5.84849025712276,0.7652487560397824,6,5.937001978712295,0.8735757244275771,0.9900000000000001,0.99,1.8808998528796472e-05,4000,800.0,25,30,1,0.15
1,0,6,gradient_fro,9.158668401174126,3.1586684011741255,1.6950245576500818,24,6,0.9954546525696921,6,5.84849025712276,0.7652487560397824,6,5.937001978712295,0.8735757244275771,0.9900000000000001,0.99,1.8808998528796472e-05,4000,800.0,25,30,1,0.15
1,0,6,gradient_projection,5.060565105728764,-0.939434894271236,1.2234149715701015,24,6,0.9954546525696921,6,5.84849025712276,0.7652487560397824,6,5.937001978712295,0.8735757244275771,0.9900000000000001,0.99,1.8808998528796472e-05,4000,800.0,25,30,1,0.15
1,0,6,output_fro,4.584620817011417,-1.4153791829885831,1.1596888357599555,24,6,0.9954546525696921,6,5.84849025712276,0.7652487560397824,6,5.937001978712295,0.8735757244275771,0.9900000000000001,0.99,1.8808998528796472e-05,4000,800.0,25,30,1,0.15
1,0,6,output_projection,4.4783519635082305,-1.5216480364917695,1.120608151580645,24,6,0.9954546525696921,6,5.84849025712276,0.7652487560397824,6,5.937001978712295,0.8735757244275771,0.9900000000000001,0.99,1.8808998528796472e-05,4000,800.0,25,30,1,0.15
1,0,6,loss,5.393564771755065,-0.6064352282449352,1.8920226211482112,24,6,0.9954546525696921,6,5.84849025712276,0.7652487560397824,6,5.937001978712295,0.8735757244275771,0.9900000000000001,0.99,1.8808998528796472e-05,4000,800.0,25,30,1,0.15
2,0,1,parameter_fro,1.0324388381729694,0.03243883817296944,1.3113795306625173,48,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.2276467529817257,5000,1200.0,25,40,2,0.12
2,0,1,parameter_projection,1.0324507351099645,0.032450735109964546,1.311370015903641,48,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.2276467529817257,5000,1200.0,25,40,2,0.12
2,0,1,latent_fro,1.0324451594030661,0.03244515940306614,1.3113700158532793,48,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.2276467529817257,5000,1200.0,25,40,2,0.12
2,0,1,latent_projection,1.0324510452194462,0.032451045219446195,1.3113700160612316,48,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.2276467529817257,5000,1200.0,25,40,2,0.12
2,0,1,gradient_fro,1.1230015384565841,0.12300153845658413,1.9419453209357282,48,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.2276467529817257,5000,1200.0,25,40,2,0.12
2,0,1,gradient_projection,1.032445287801592,0.03244528780159195,1.3115848197958335,48,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.2276467529817257,5000,1200.0,25,40,2,0.12
2,0,1,output_fro,1.0324472574156194,0.03244725741561938,1.3113700386885787,48,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.2276467529817257,5000,1200.0,25,40,2,0.12
2,0,1,output_projection,1.0324516796098924,0.03245167960989237,1.3113699493058555,48,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.2276467529817257,5000,1200.0,25,40,2,0.12
2,0,1,loss,1.0689375718285912,0.06893757182859117,1.980404521504296,48,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.2276467529817257,5000,1200.0,25,40,2,0.12
1,0,7,parameter_fro,5.658779841975778,-1.341220158024222,1.1010721919765236,24,7,0.9973074486555935,7,6.62760454327197,0.7024562569969555,7,6.985826530088529,0.9289857102366653,0.9900000000000001,0.99,7.974367500662716e-06,4000,800.0,25,30,1,0.15
1,0,7,parameter_projection,5.108998842945405,-1.8910011570545953,1.055265280750973,24,7,0.9973074486555935,7,6.62760454327197,0.7024562569969555,7,6.985826530088529,0.9289857102366653,0.9900000000000001,0.99,7.974367500662716e-06,4000,800.0,25,30,1,0.15
